name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
BYJU'S Future School - Coding for Beginners (Ages 6-8),"Introduction to coding through visual programming and storytelling. One-on-one live classes teaching Scratch basics, game creation, and logical thinking. Build first coding projects with personalized teacher guidance.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Coding, Programming, Scratch",1-3,Paid,Online,1-2 classes per week,None,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - App Development (Ages 9-12),"Learn mobile app development with block-based coding and app design. Create functional apps, understand user interface design, and publish student projects. One-on-one personalized instruction.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, App Development, Coding, UI/UX Design",4-7,Paid,Online,2-3 classes per week,Low,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Python Programming (Ages 10-14),"Text-based Python programming for middle schoolers. Learn variables, functions, data structures, and real-world applications. Build games, tools, and projects with professional programming language.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Python, Programming, Software Development",5-9,Paid,Online,2-3 classes per week,Low,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Web Development (Ages 12-18),"Full-stack web development teaching HTML, CSS, JavaScript, and modern frameworks. Build responsive websites, interactive applications, and portfolio projects. Industry-relevant skills with personalized mentorship.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Web Development, JavaScript, HTML/CSS",7-12,Paid,Online,2-3 classes per week,Medium,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Game Development (Ages 9-16),"Create 2D and 3D games using Unity and other game engines. Learn game design, physics, animation, and coding for games. Build portfolio of playable games with published projects.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Game Development, Unity, Programming",4-11,Paid,Online,2-3 classes per week,Low,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Data Science for Kids (Ages 11-16),"Introduction to data science, analytics, and machine learning. Learn Python libraries, data visualization, and basic AI concepts. Real-world data projects with guided instruction.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Data Science, Python, Machine Learning, Statistics",6-11,Paid,Online,2-3 classes per week,Medium,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Artificial Intelligence Fundamentals (Ages 13-18),"Explore artificial intelligence and machine learning concepts. Build AI projects, understand neural networks, and create intelligent applications. Advanced programming with cutting-edge technology.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Artificial Intelligence, Machine Learning, Computer Science, Python",8-12,Paid,Online,2-3 classes per week,High,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Math Foundations (Ages 6-10),"Build strong math foundations through one-on-one live classes. Number sense, operations, word problems, and mathematical reasoning. Personalized curriculum adapting to student pace.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Mathematics, Arithmetic, Problem Solving",1-5,Paid,Online,2-3 classes per week,None,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Advanced Math (Ages 11-14),"Middle school math acceleration covering algebra, geometry, and advanced problem-solving. Prepare for high school mathematics and competitions. Individualized learning path.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Mathematics, Algebra, Geometry, Problem Solving",6-9,Paid,Online,2-3 classes per week,Low,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Calculus and Advanced Topics (Ages 14-18),"High school calculus, statistics, and college-prep mathematics. AP exam preparation, advanced problem-solving, and mathematical rigor. One-on-one instruction with expert teachers.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Mathematics, Calculus, Statistics, Advanced Math",9-12,Paid,Online,2-3 classes per week,High,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Music Production (Ages 10-16),"Learn digital music production, composition, and audio engineering. Create original music, understand music theory, and use professional software. One-on-one creative instruction.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Music Technology, Audio Engineering, Music Theory",5-11,Paid,Online,1-2 classes per week,None,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Coding Competition Prep (Ages 10-18),"Prepare for coding competitions and hackathons. Advanced algorithms, problem-solving strategies, and competitive programming. Build portfolio for college applications.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Algorithms, Competitive Programming",5-12,Paid,Online,2-3 classes per week,High,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Math Olympiad Training (Ages 8-16),"Advanced math problem-solving for competitions. Number theory, combinatorics, geometry, and algebra for Math Olympiad preparation. Intensive one-on-one training.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Mathematics, Competition Math, Problem Solving",3-11,Paid,Online,2-3 classes per week,High,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Free Trial Classes,Free trial classes to experience one-on-one learning approach. Sample coding or math class with certified teacher. No commitment required to try platform.,https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Mathematics, Trial Program",K-12,Free,Online,1 class,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Medium,False,Teacher
BYJU'S Future School - Project-Based Learning Bootcamps,Intensive bootcamp programs building complete projects. One week to one month focused courses on specific technologies or concepts. Portfolio-building experiences.,https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Project-Based Learning, STEM",5-12,Paid,Online,1-4 weeks intensive,Low,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher
