name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
AMS Freshman Undergraduate Scholarship,Scholarship for high school seniors planning to pursue atmospheric science or related field in college. Award recognizes academic achievement and interest in meteorology. Recipients receive financial support for freshman year and connections to AMS professional community. Renewable scholarship for continued excellence.,https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Meteorology, Atmospheric Science, Climate Science, Environmental Science",12,Free,Online application,2-4 hours (application),Medium,Medium,February (typically early February),None,"Scholarship award ($5,000+)",None,None,Free,AMS diversity initiatives in atmospheric sciences,True,True,High,True,False,Basic,National,None,True,Professional
AMS Undergraduate Scholarship,"Merit-based scholarships for college students majoring in atmospheric science, meteorology, or related fields. Multiple awards available annually. Recipients gain access to AMS conferences, networking opportunities, and professional development resources. Recognizes academic excellence and career commitment to atmospheric sciences.",https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Meteorology, Atmospheric Science, Oceanography, Hydrology",College,Free,Online application,3-5 hours (application),Medium,Medium,February (typically early February),None,"Scholarship award ($3,000-5,000)",None,None,Free,AMS diversity initiatives,True,True,High,True,False,Basic,National,None,True,Professional
AMS Minority Scholarship,"Scholarships specifically supporting underrepresented minority students pursuing atmospheric and related sciences. Awards recognize traditionally underrepresented groups in meteorology including Hispanic, Black/African American, and Native American students. Provides financial support and mentorship connections to increase diversity in atmospheric sciences.",https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Meteorology, Atmospheric Science, Climate Science",College,Free,Online application,3-5 hours (application),Medium,High,February (typically early February),None,"Scholarship award ($3,000+)",None,None,Free,Underrepresented minorities in atmospheric sciences,True,True,High,True,False,Basic,National,None,True,Professional
AMS Women in Science Scholarship,Scholarship supporting women pursuing careers in atmospheric and related oceanic and hydrologic sciences. Encourages female students entering traditionally male-dominated field. Recipients receive financial support and access to women in science mentorship networks within AMS. Promotes gender equity in meteorology.,https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Meteorology, Atmospheric Science, Oceanography",College,Free,Online application,3-5 hours (application),Medium,High,February (typically early February),None,"Scholarship award ($3,000+)",None,None,Free,Women in atmospheric sciences,True,True,High,True,False,Basic,National,None,True,Professional
AMS Student Conference Travel Grants,"Travel grants for students to attend AMS Annual Meeting and present research. Supports undergraduate and graduate students presenting posters or papers. Grants cover registration, travel, and lodging expenses. Provides networking opportunities with meteorology professionals and exposure to cutting-edge atmospheric science research.",https://www.ametsoc.org/index.cfm/ams/education-careers/,American Meteorological Society,Meteorology Program,"Meteorology, Atmospheric Science, Climate Science",College,Free,Annual conference (varies by year),3-5 days (January conference),Medium,High,Fall (varies by conference),None,Travel grant provided,None,None,Free,Student participation in professional meetings,True,True,High,True,True,Basic,National,None,True,Professional
AMS Student Chapter Program,"Student-led chapters at universities providing meteorology community and professional development. Chapters organize weather discussions, guest speakers, field trips to National Weather Service offices, and career workshops. Free membership connects students with atmospheric science peers and professionals. Leadership development opportunities.",https://www.ametsoc.org/index.cfm/ams/education-careers/,American Meteorological Society,Meteorology Program,"Meteorology, Atmospheric Science, Weather Forecasting",College,Free,University campus,Ongoing (1-2 hours/week),Basic,Medium,Ongoing enrollment,None,N/A,None,None,Free,Inclusive student community,True,True,High,Limited,False,Basic,National,None,True,Peer
AMS DataStreme Atmospheric Science Program,"Online professional development for educators teaching atmospheric science. While targeting teachers, enhances quality of meteorology education in classrooms. Provides current weather data, educational resources, and expert instruction. Improved teaching benefits high school students learning about weather and climate.",https://www.ametsoc.org/index.cfm/ams/education-careers/k-12-resources/,American Meteorological Society,Meteorology Program,"Meteorology, Atmospheric Science, Earth Science",9-12,Free,Online (teacher program benefiting students),School year (indirect benefit),None,High,N/A (teacher program),None,N/A,None,None,Free,Quality science education for all students,True,True,High,True,False,High-speed-required,National,None,False,Adult
AMS K-12 Weather and Climate Education Resources,"Free educational materials for middle and high school students learning about weather, climate, and atmospheric science. Includes lesson plans, weather data activities, career information, and educational videos. Resources align with science standards and inspire students to explore meteorology careers. Self-directed learning tools.",https://www.ametsoc.org/index.cfm/ams/education-careers/k-12-resources/,American Meteorological Society,Meteorology Program,"Meteorology, Climate Science, Earth Science",6-12,Free,Online,Self-paced learning,Basic,Low,Available year-round,None,N/A,None,None,Free,Free access to atmospheric science education,True,True,High,True,False,Basic,National,None,False,None
AMS Graduate Fellowship in History of Science,"Fellowship supporting graduate students researching history of atmospheric sciences and meteorology. Awards fund dissertation research on development of meteorological science, technology, and institutions. Connects students with science historians and meteorology professionals. Interdisciplinary scholarship opportunity.",https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"History of Science, Meteorology, Science Studies",Graduate,Free,University research,Academic year (dissertation research),High,Medium,February (typically),None,"Fellowship award ($15,000)",None,None,Free,Interdisciplinary scholarship,True,Limited,High,True,False,Basic,National,None,True,Professional
AMS Student Membership Program,"Discounted professional membership for students ($35/year) providing access to journals, conference discounts, career resources, and networking. Members receive monthly publications, access to job board, and invitations to student events. Gateway to meteorology profession with resume-building credentials and professional development.",https://www.ametsoc.org/index.cfm/ams/education-careers/,American Meteorological Society,Meteorology Program,"Meteorology, Atmospheric Science, Career Development",College,Low-cost ($35/year),Online membership,Ongoing benefits,Basic,Medium,Ongoing enrollment,Low,Discounted student rate,None,None,Under-$100,Professional development for all students,True,True,High,True,False,Basic,National,None,True,Professional
AMS Summer Policy Colloquium,"Intensive week-long program in Washington, D.C. introducing early-career professionals and students to weather, water, and climate policy. Participants meet with policymakers, federal agencies, and advocacy organizations. Learn about science policy, government decision-making, and career paths at science-policy interface. Fully funded program.",https://www.ametsoc.org/index.cfm/ams/education-careers/,American Meteorological Society,Meteorology Program,"Meteorology, Climate Policy, Science Policy","College, Graduate",Free,"Washington, D.C.",1 week (summer),Medium,High,Spring (typically March-April),None,Fully funded (travel and lodging),None,None,Free,Diverse perspectives in science policy,True,True,High,True,True,Basic,National,None,True,Professional
AMS Broadcast Meteorology Scholarship,"Scholarship for students pursuing careers in broadcast meteorology and weather communication. Supports students combining meteorology science with communications skills for television, radio, or digital media weather forecasting. Recipients gain connections to broadcast meteorology community and career mentorship.",https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Broadcast Meteorology, Atmospheric Science, Communications",College,Free,Online application,3-5 hours (application),Medium,Medium,February (typically),None,"Scholarship award ($3,000+)",None,None,Free,Weather communication careers,True,True,High,True,False,Basic,National,None,True,Professional
