name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
DMA Coding & AI Camp,"Week-long day camp teaching coding fundamentals and AI concepts. Students learn Python, machine learning basics, and create AI-powered projects.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Computer Science, Artificial Intelligence, Programming",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA Game Design Camp,"Intensive game development camp using Unity and Unreal Engine. Students create 3D games while learning programming and design principles.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Game Design, Computer Science, Programming",6-8,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA Robotics Engineering Camp,"Hands-on robotics camp with VEX and LEGO platforms. Students build and program robots while learning engineering concepts.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Robotics, Engineering, Programming",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA Roblox Game Development,"Create multiplayer games on Roblox platform. Learn Lua programming and game design while building interactive experiences.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Game Design, Programming, Computer Science",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA Minecraft Modding Camp,"Learn Java programming through Minecraft modding. Create custom mods and understand game development fundamentals.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Programming, Game Design, Computer Science",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA Python Coding & AI,"Advanced Python programming with machine learning applications. Build AI projects including chatbots and image recognition systems.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Computer Science, Artificial Intelligence, Python",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA Java Coding Camp,"Comprehensive Java programming course covering object-oriented programming and software development principles.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Computer Science, Programming, Software Engineering",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA C++ Programming Camp,"Learn C++ for game development and systems programming. Build projects while mastering advanced programming concepts.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Computer Science, Programming, Game Development",9-12,Paid,In-person,1 week,Medium,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA Mobile App Development,"Create iOS and Android apps using Swift and Kotlin. Learn mobile development from concept to deployment.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Computer Science, Mobile Development, Programming",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA VR/AR Development Camp,"Build virtual and augmented reality experiences using Unity. Learn 3D development and immersive technology design.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Virtual Reality, Computer Science, Game Design",9-12,Paid,In-person,1 week,Medium,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA Cybersecurity & Encryption,"Learn ethical hacking and cybersecurity fundamentals. Understand encryption, network security, and digital safety.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"Cybersecurity, Computer Science, Technology",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
DMA 3D Modeling & Printing,"Create 3D models using Blender and print designs. Learn CAD software and manufacturing principles.",https://www.digitalmediaacademy.org/summer-camps,Digital Media Academy,Camp,"3D Design, Engineering, Technology",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Professional
