name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Prodigy Math - Free Account,"Free game-based math learning for grades 1-8. Adaptive curriculum covering 1,500+ math skills aligned to Common Core and state standards. Students explore fantasy world while solving math problems.",https://www.prodigygame.com/,Prodigy Math,Learning Platform,Mathematics,1-8,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,Premium Features,Free,False,True,True,Medium,True,False,Required,International,Optional,True,None
Prodigy Math - Premium Membership,"Premium subscription unlocking exclusive in-game content, pets, items, and features. All educational content remains free. Premium adds engagement features without affecting curriculum access.",https://www.prodigygame.com/,Prodigy Math,Learning Platform,Mathematics,1-8,Paid,Online,Self-paced,None,Low,Rolling,Low,False,Optional,Subscription,$50-$500,False,True,True,Medium,True,False,Required,International,Optional,True,None
Prodigy Math - Parent Dashboard,"Free parent account to monitor child progress. View skills practiced, time spent, areas of strength and improvement. Set goals and receive weekly progress reports.",https://www.prodigygame.com/main-en/parents/,Prodigy Math,Learning Platform,Mathematics,1-8,Free,Online,Variable,None,Medium,Rolling,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,High,False,Parent
Prodigy Math - Teacher Tools,"Free teacher dashboard for classroom use. Assign specific math skills, create assessments, track student progress, and differentiate instruction. Standards-aligned reports.",https://www.prodigygame.com/,Prodigy Math,Learning Platform,"Mathematics, Education",1-8,Free,Online,Variable,None,High,Rolling,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,None,False,Teacher
Prodigy Math - Adaptive Learning System,"AI-powered adaptive math curriculum that adjusts difficulty based on student performance. Provides personalized learning path through 1,500+ skills covering all elementary and middle school math.",https://www.prodigygame.com/main-en/math-games/,Prodigy Math,Learning Platform,"Mathematics, Educational Technology",1-8,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,Premium Features,Free,False,True,True,Medium,True,False,Required,International,Optional,True,None
Prodigy Math - Elementary Curriculum (Grades 1-5),"Comprehensive elementary math curriculum covering number sense, operations, fractions, decimals, geometry, and measurement. Aligned to Common Core and provincial standards.",https://www.prodigygame.com/main-en/math-games/,Prodigy Math,Learning Platform,Mathematics,1-5,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,Premium Features,Free,False,True,True,Medium,True,False,Required,International,Optional,True,None
Prodigy Math - Middle School Curriculum (Grades 6-8),"Middle school math curriculum including ratios, proportions, integers, algebraic expressions, equations, statistics, and probability. Pre-algebra and algebra preparation.",https://www.prodigygame.com/main-en/math-games/,Prodigy Math,Learning Platform,"Mathematics, Algebra",6-8,Free,Online,Self-paced,Low,Low,Rolling,None,Not applicable,Not required,Premium Features,Free,False,True,True,Medium,True,False,Required,International,Optional,True,None
Prodigy Math - Multiplayer Battles,Competitive math battles where students compete against peers using math skills. Motivates practice through game-based social interaction while solving math problems.,https://www.prodigygame.com/,Prodigy Math,Learning Platform,Mathematics,1-8,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,Premium Features,Free,False,True,True,Medium,True,False,Required,International,Optional,True,None
Prodigy Math - Home Practice Tool,Self-directed math practice at home with engaging gameplay. No teacher assignment needed. Students practice grade-level appropriate math skills independently.,https://www.prodigygame.com/main-en/parents/,Prodigy Math,Learning Platform,Mathematics,1-8,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,Premium Features,Free,False,True,True,Medium,True,False,Required,International,Low,True,None
Prodigy Math - Assessment and Placement,Built-in placement assessment determines appropriate starting level. Diagnostic questions identify knowledge gaps and create personalized learning path for each student.,https://www.prodigygame.com/,Prodigy Math,Learning Platform,"Mathematics, Assessment",1-8,Free,Online,30-60 minutes (initial),None,Low,Rolling,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,Optional,False,None
Prodigy Math - Multi-Platform Access,"Play on web browsers, iOS, and Android devices. Cross-platform progress syncing allows seamless learning at home or school on any device.",https://www.prodigygame.com/,Prodigy Math,Learning Platform,Mathematics,1-8,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,Device Access,Free,False,True,True,Medium,True,False,Required,International,Optional,True,None
Prodigy Math - Skill Practice by Topic,"Focused practice on specific math topics like fractions, multiplication, geometry. Students can target weak areas or review concepts as needed.",https://www.prodigygame.com/main-en/math-games/,Prodigy Math,Learning Platform,Mathematics,1-8,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,Premium Features,Free,False,True,True,Medium,True,False,Required,International,Optional,False,None
