name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Responsive Web Design Certification,"Learn HTML and CSS fundamentals to build responsive websites. Complete 5 certification projects including tribute page, survey form, product landing page, technical documentation, and personal portfolio. Master flexbox, CSS Grid, and responsive design principles. 300 hours estimated. Completely free with certificate upon completion.",https://www.freecodecamp.org/learn/2022/responsive-web-design/,freeCodeCamp,Programming Certification,"Computer Science, Web Development",9-12,Free,Online,300 hours,None,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
JavaScript Algorithms and Data Structures Certification,"Learn JavaScript fundamentals including variables, arrays, objects, loops, and functions. Master ES6, regular expressions, debugging, and data structures. Complete 5 algorithm projects. Build problem-solving skills with hundreds of coding challenges. 300 hours estimated. Essential programming foundation.",https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/,freeCodeCamp,Programming Certification,"Computer Science, Programming",9-12,Free,Online,300 hours,Basic,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
Front End Development Libraries Certification,"Learn popular JavaScript libraries including Bootstrap, jQuery, React, and Redux. Build interactive user interfaces and single-page applications. Complete 5 projects including calculator, pomodoro timer, and markdown previewer. 300 hours estimated. Great for modern web development.",https://www.freecodecamp.org/learn/front-end-development-libraries/,freeCodeCamp,Programming Certification,"Computer Science, Web Development",10-12,Free,Online,300 hours,Medium,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
Data Visualization Certification,"Learn to visualize data with D3.js library. Create charts, graphs, maps, and interactive visualizations. Complete 5 data visualization projects. Combines programming with design principles. 300 hours estimated. Valuable skill for data science and web development.",https://www.freecodecamp.org/learn/data-visualization/,freeCodeCamp,Programming Certification,"Computer Science, Data Science",10-12,Free,Online,300 hours,Medium,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
Back End Development and APIs Certification,"Learn Node.js and Express to build server-side applications and APIs. Master MongoDB, Mongoose, and database management. Complete 5 back-end projects including microservices. 300 hours estimated. Essential for full-stack development. Create scalable web applications.",https://www.freecodecamp.org/learn/back-end-development-and-apis/,freeCodeCamp,Programming Certification,"Computer Science, Web Development",11-12,Free,Online,300 hours,Medium,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
Quality Assurance Certification,"Learn testing and quality assurance with Chai, Mocha, and other tools. Write unit tests, functional tests, and integration tests. Complete QA projects. 300 hours estimated. Critical skill for software development. Ensure code quality and reliability.",https://www.freecodecamp.org/learn/quality-assurance/,freeCodeCamp,Programming Certification,"Computer Science, Software Engineering",11-12,Free,Online,300 hours,Medium,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
Scientific Computing with Python Certification,"Learn Python programming for scientific computing. Cover Python basics, data structures, and problem-solving. Complete 5 projects including arithmetic formatter, time calculator, and budget app. 300 hours estimated. Great for students interested in data science or programming.",https://www.freecodecamp.org/learn/scientific-computing-with-python/,freeCodeCamp,Programming Certification,"Computer Science, Python Programming",9-12,Free,Online,300 hours,None,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
Data Analysis with Python Certification,"Learn data analysis using Python, NumPy, Pandas, Matplotlib, and Seaborn. Import, clean, and visualize data. Complete 5 data analysis projects. 300 hours estimated. Valuable for data science careers. Hands-on statistical analysis.",https://www.freecodecamp.org/learn/data-analysis-with-python/,freeCodeCamp,Programming Certification,"Computer Science, Data Science",10-12,Free,Online,300 hours,Basic,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
Information Security Certification,"Learn cybersecurity fundamentals including penetration testing, security protocols, and best practices. Use Python for security automation. Complete information security projects. 300 hours estimated. Critical field with high demand. Ethical hacking skills.",https://www.freecodecamp.org/learn/information-security/,freeCodeCamp,Programming Certification,"Computer Science, Cybersecurity",11-12,Free,Online,300 hours,Medium,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
Machine Learning with Python Certification,Introduction to machine learning using TensorFlow and neural networks. Build ML models for classification and prediction. Complete machine learning projects. 300 hours estimated. Cutting-edge technology skills. Foundation for AI careers.,https://www.freecodecamp.org/learn/machine-learning-with-python/,freeCodeCamp,Programming Certification,"Computer Science, Artificial Intelligence",11-12,Free,Online,300 hours,High,High,Self-paced,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Peer
