name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Google Computer Science Summer Institute (CSSI),"Intensive 4-week summer program for graduating high school seniors interested in computer science. Students learn programming fundamentals, build projects, and connect with Google engineers. Program includes hands-on coding, group projects, and exposure to industry professionals. Fully funded with stipend.",https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute,Google,Internship,"Computer Science, Software Engineering, Programming",12,Free,Hybrid,4 weeks full-time summer,Beginner-Intermediate,High,February 1 annually,None,Fully funded with stipend,Yes,None,Free,True,True,True,High,True,Varies by location,High,National - Multiple locations,No,High,High
Microsoft High School Discovery Program,"Week-long workshop for high school students to explore computer science and technology careers at Microsoft. Students participate in coding workshops, meet Microsoft engineers, tour facilities, and work on technology projects. Focus on students from underrepresented communities.",https://www.microsoft.com/en-us/diversity/programs/high-school-discovery,Microsoft,Internship,"Computer Science, Software Engineering, Technology",11-12,Free,In-Person,1 week summer,Beginner,High,March 15 annually,Low,Travel and accommodation provided,Yes,None,Free,True,True,True,High,Conditional,Yes,Low,"Redmond, WA",No,High,High
Amazon Future Engineer Summer Internship,"Paid summer internship for high school students interested in software engineering and computer science. Students work on real Amazon projects, receive mentorship from Amazon engineers, and participate in professional development workshops. Stipend provided.",https://www.amazonfutureengineer.com/summer-internship,Amazon,Internship,"Software Engineering, Computer Science, Cloud Computing",12,Free,In-Person,8 weeks full-time summer,Intermediate,High,January 31 annually,Low,Paid internship with housing stipend,Yes,Low,Free,True,True,True,High,Conditional,Yes,Low,"Seattle, WA and other locations",No,High,High
Meta University for High School Students,"Engineering-focused program for high school students from underrepresented communities. Students learn software engineering fundamentals, work on projects, and receive mentorship from Meta engineers. Program includes technical training and career development.",https://www.metacareers.com/careerprograms/pathways/metauniversity,Meta (Facebook),Internship,"Software Engineering, Computer Science, Mobile Development",11-12,Free,Virtual,6 weeks part-time,Beginner-Intermediate,High,March 1 annually,None,Stipend provided,Yes,None,Free,True,True,True,High,True,No,High,National - Virtual,No,High,High
Apple Pathways Alliance Program,"Year-round program for high school students from underrepresented communities interested in technology careers. Includes summer internship component where students work on real Apple projects, receive mentorship, and participate in professional development workshops.",https://www.apple.com/jobs/us/pathways-alliance.html,Apple,Internship,"Software Engineering, Hardware Engineering, Computer Science",11-12,Free,In-Person,10 weeks full-time summer,Intermediate,High,February 15 annually,Medium,Paid internship,Yes,Medium,Free,True,True,True,High,Conditional,Yes,Low,"Cupertino, CA",No,High,High
IBM Accelerate Program for High School,"Virtual 8-week summer program teaching high school students professional software development skills. Students learn agile methodology, design thinking, and build projects using IBM technologies. Includes mentorship from IBM professionals.",https://www.ibm.com/employment/accelerate.html,IBM,Internship,"Software Development, Computer Science, Data Science, AI",11-12,Free,Virtual,8 weeks part-time summer,Beginner-Intermediate,High,April 1 annually,None,N/A,No,None,Free,True,True,True,High,True,No,High,National - Virtual,No,High,High
Salesforce Futureforce Tech Launchpad,"Multi-week program for high school students exploring software engineering and technology careers. Students learn coding, participate in workshops, and work on projects. Strong focus on students from underrepresented backgrounds in tech.",https://www.salesforce.com/company/careers/futureforce/tech-launchpad/,Salesforce,Internship,"Software Engineering, Cloud Computing, Computer Science",11-12,Free,Hybrid,4 weeks summer,Beginner,High,March 31 annually,Low,Stipend provided,Yes,Low,Free,True,True,True,High,True,Varies,High,"San Francisco, CA and virtual",No,High,High
Intel Student Honor Research Program,"Research internship for high school students interested in computer science, engineering, and technology. Students work alongside Intel researchers on cutting-edge projects in AI, chip design, and software development.",https://www.intel.com/content/www/us/en/jobs/students-and-grads.html,Intel,Internship,"Computer Engineering, Computer Science, AI, Hardware Design",11-12,Free,In-Person,8-10 weeks full-time summer,Intermediate-Advanced,High,February 28 annually,Medium,Paid internship,No,Medium,Free,True,True,False,Medium,Conditional,Yes,Low,"Santa Clara, CA and other locations",No,Medium,High
Adobe Digital Academy - High School Track,"Program introducing high school students to digital design, user experience, and front-end development. Students learn Adobe Creative Suite, design principles, and web development while working on real projects.",https://www.adobe.com/careers/university/digital-academy.html,Adobe,Internship,"Web Development, UX Design, Computer Science, Digital Media",11-12,Free,Virtual,6 weeks part-time summer,Beginner,High,April 15 annually,None,Stipend provided,Yes,None,Free,True,True,True,High,True,No,High,National - Virtual,No,Medium,High
Twitter #EarlyBird Engineering Program,"Summer program for high school students from underrepresented backgrounds interested in software engineering. Students learn coding, work on projects, and receive mentorship from Twitter engineers. Includes workshops on career development.",https://careers.twitter.com/en/early-career.html,Twitter (X),Internship,"Software Engineering, Computer Science, Mobile Development",11-12,Free,In-Person,6 weeks full-time summer,Intermediate,High,March 1 annually,High,Paid internship,Yes,High,Free,True,True,True,High,Conditional,Yes,Low,"San Francisco, CA",No,High,High
