name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Khan Academy Early Math,"Foundational math skills for young learners including counting, addition, subtraction, shapes, and measurement. Interactive exercises and videos. Builds number sense and mathematical thinking. Kindergarten through 2nd grade content.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,K-2,Free,Online,Self-paced,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Arithmetic,"Core arithmetic skills including addition, subtraction, multiplication, division, fractions, and decimals. Practice exercises with instant feedback. Mastery-based progression. Elementary and middle school mathematics fundamentals.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,3-6,Free,Online,Self-paced,Basic,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Pre-Algebra,"Pre-algebra topics including negative numbers, exponents, order of operations, variables, and equations. Prepares students for algebra. Interactive practice and instructional videos. Middle school mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,7-8,Free,Online,Self-paced,Basic,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Algebra 1,"Complete Algebra 1 curriculum including linear equations, inequalities, functions, polynomials, and quadratic equations. Aligned with Common Core standards. Videos, practice problems, and assessments. High school mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,9-10,Free,Online,Self-paced,Medium,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Geometry,"Comprehensive geometry course covering angles, triangles, circles, polygons, coordinate geometry, and geometric proofs. Interactive constructions and problem-solving. Aligned with high school geometry standards.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,9-10,Free,Online,Self-paced,Medium,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Algebra 2,"Advanced algebra topics including polynomials, rational expressions, exponential and logarithmic functions, trigonometry, and complex numbers. Prepares for precalculus. High school mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,10-11,Free,Online,Self-paced,High,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Trigonometry,"Trigonometric functions, identities, equations, and applications. Right triangle trigonometry, unit circle, graphs, and laws of sines and cosines. Essential for calculus preparation.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,10-11,Free,Online,Self-paced,High,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Precalculus,"Pre-calculus topics including functions, conic sections, vectors, matrices, series, and limits. Prepares students for AP Calculus. Advanced high school mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,11-12,Free,Online,Self-paced,High,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy AP Calculus AB,"Complete AP Calculus AB curriculum including limits, derivatives, integrals, and Fundamental Theorem of Calculus. Practice problems aligned with AP exam. Video lessons and test preparation.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,11-12,Free,Online,Self-paced,High,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy AP Calculus BC,"Advanced calculus topics including series, parametric equations, polar coordinates, and advanced integration techniques. Full AP Calculus BC curriculum. College-level mathematics.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,11-12,Free,Online,Self-paced,High,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Statistics and Probability,"Introduction to statistics and probability including data analysis, probability theory, distributions, inference, and hypothesis testing. Real-world applications and data interpretation.",https://www.khanacademy.org/math,Khan Academy,Online Course,Mathematics,9-12,Free,Online,Self-paced,Medium,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Biology,"Comprehensive biology course covering cells, genetics, evolution, ecology, human biology, and biochemistry. Aligned with high school and AP Biology standards. Interactive diagrams and practice.",https://www.khanacademy.org/science,Khan Academy,Online Course,Biology,9-12,Free,Online,Self-paced,Basic,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Chemistry,"High school chemistry covering atoms, molecules, chemical reactions, stoichiometry, thermodynamics, and equilibrium. Laboratory concepts and problem-solving. Aligned with chemistry standards.",https://www.khanacademy.org/science,Khan Academy,Online Course,Chemistry,10-12,Free,Online,Self-paced,Medium,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Physics,"Physics fundamentals including motion, forces, energy, waves, electricity, and magnetism. Problem-solving with real-world applications. Aligned with high school physics standards.",https://www.khanacademy.org/science,Khan Academy,Online Course,Physics,10-12,Free,Online,Self-paced,Medium,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Computer Programming,"Introduction to programming using JavaScript. Learn coding fundamentals including variables, functions, loops, and arrays through interactive projects. Create drawings, animations, and games.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,6-12,Free,Online,Self-paced,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy HTML/CSS,"Web development basics covering HTML structure, CSS styling, and responsive design. Build webpages and understand web technologies. Hands-on projects creating websites.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,6-12,Free,Online,Self-paced,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy SQL,"Database fundamentals and SQL programming. Learn to query, manipulate, and manage data. Relational database concepts and practical database skills.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,9-12,Free,Online,Self-paced,Basic,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Computer Science Principles,"AP Computer Science Principles curriculum covering programming, internet, data, and impacts of computing. Aligned with AP CSP exam. Develops computational thinking.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,9-12,Free,Online,Self-paced,Basic,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Algorithms,"Introduction to algorithms including sorting, searching, graph algorithms, and algorithm analysis. Computational problem-solving and efficiency. Computer science fundamentals.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,10-12,Free,Online,Self-paced,Medium,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
Khan Academy Cryptography,"Introduction to cryptography covering encryption, decryption, ciphers, and cryptographic protocols. Historical and modern cryptography. Internet security concepts.",https://www.khanacademy.org/computing,Khan Academy,Online Course,Computer Science,9-12,Free,Online,Self-paced,Medium,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,False,None
