name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
ACS ChemClub,"Hands-on opportunity for high school students to experience chemistry beyond the classroom. Student-led clubs organize chemistry activities, demonstrations, community outreach, and chemistry explorations. Supported by local ACS sections with resources, grants, and mentorship from professional chemists. Build chemistry community and leadership skills.",https://www.acs.org/education/students/highschool.html,American Chemical Society,Student Organization,"Chemistry, Chemical Engineering",9-12,Free,School-based,Academic year,Basic,High,Check ACS website,None,False,False,None,Free,True,True,True,High,False,False,Basic,National,Optional,True,Professional
Chemistry Olympiad,"International chemistry competition testing knowledge and skills of the most talented high school chemistry students. Multi-tiered competition including local, national, and international levels. Top students represent USA at International Chemistry Olympiad. Covers all areas of chemistry with challenging problems. Highly competitive and prestigious.",https://www.acs.org/education/students/highschool.html,American Chemical Society,Science Competition,"Chemistry, Chemical Engineering",9-12,Free,In-person,Competition season,High,High,Check ACS website,None,False,False,None,Free,True,True,False,High,False,True,Basic,National,Optional,True,Professional
Project SEED,"Summer research program for economically disadvantaged high school juniors and seniors. Students work alongside scientists in research laboratories conducting authentic chemistry research. Provides stipend, mentorship, and exposure to chemistry careers. Focus on underrepresented students in chemistry. Includes presentations and research poster sessions.",https://www.acs.org/education/students/highschool.html,American Chemical Society,Research Program,"Chemistry, Chemical Engineering",11-12,Paid-stipend,In-person,8-10 weeks,Medium,High,Check ACS website,None,False,False,None,Free,True,True,True,High,False,True,Basic,National,Optional,True,Professional
ChemMatters Magazine,"Award-winning magazine for high school students that demystifies chemistry with exciting articles, games, and puzzles. Connects chemistry to everyday life and current events. Published quarterly with teacher guides. Available online and in print. Engages students in chemistry through relatable content and interactive features.",https://www.acs.org/education/students/highschool.html,American Chemical Society,Educational Resource,"Chemistry, Chemical Engineering",9-12,Free,Online,Self-paced,Basic,High,Check ACS website,None,False,False,None,Free,True,True,False,High,True,False,High-speed-required,National,Optional,True,Professional
Celebrating Chemistry,"Outreach program helping children ages 9-12 (grades 4-6) develop interest in chemistry. Themed editions aligned with National Chemistry Week and Chemists Celebrate Earth Week. Available in English and Spanish. Contains articles, hands-on activities, games, and experiments. Free digital PDFs and print copies. Makes chemistry engaging and accessible.",https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",K-6,Free,Hybrid,Flexible,None,High,Check ACS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
Adventures in Chemistry,"Chemistry exploration program for elementary students featuring experiments, games, and science activities. Introduces young students to chemistry concepts through hands-on activities. Available through ACS website with resources for teachers and parents. Includes Secret Science of Stuff investigations.",https://www.acs.org/education/students.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",K-5,Free,Online,Flexible,None,High,Check ACS website,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
Middle School Chemistry,"Chemistry education resource designed specifically for middle school students and teachers. Provides engaging content, activities, and experiments appropriate for middle school level. Builds foundation for high school chemistry. Interactive and hands-on approach to chemistry learning.",https://www.acs.org/education/students.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",6-8,Free,Online,Flexible,Basic,High,Check ACS website,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
National Chemistry Week,"Annual celebration promoting awareness of chemistry role in everyday life. Features community events, activities, demonstrations, and hands-on experiments organized by local ACS sections nationwide. Different theme each year. Includes school visits, public events, and chemistry outreach. Free participation.",https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",K-12,Free,Hybrid,1 week,None,High,Check ACS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
Chemists Celebrate Earth Week,"Annual environmental chemistry celebration promoting environmental stewardship and chemistry applications to sustainability. Community events, workshops, and activities organized by local ACS sections. Focus on green chemistry, environmental science, and sustainability. Hands-on activities for all ages.",https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",K-12,Free,Hybrid,1 week,None,High,Check ACS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
ACS High School Student Affiliates,"Membership program connecting high school chemistry students with ACS professional community. Receive benefits including magazine subscriptions, networking opportunities, career resources, and discounts. Access to ACS resources and programs. Build chemistry professional network early.",https://www.acs.org/education/students/highschool.html,American Chemical Society,Student Organization,"Chemistry, Chemical Engineering",9-12,Low-cost,Hybrid,Ongoing,Basic,High,Check ACS website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional
