name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
AMC 8,"25-question, 40-minute multiple choice examination in middle school mathematics designed to promote development of problem-solving skills. Open to students in grade 8 and below. Covers topics from Pre-Algebra curriculum. Administered in November. No calculator permitted.",https://www.maa.org/math-competitions,Mathematical Association of America,Math Competition,Mathematics,6-8,20,School-based,40 minutes,Medium,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
AMC 10,"25-question, 75-minute multiple choice examination covering topics from a typical pre-calculus curriculum. For students in grade 10 and below. Administered in February. Tests mathematical problem-solving with applications of secondary school competencies. No calculator permitted.",https://www.maa.org/math-competitions,Mathematical Association of America,Math Competition,Mathematics,9-10,30,School-based,75 minutes,Medium,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
AMC 12,"25-question, 75-minute multiple choice examination in secondary school mathematics containing problems which can be understood and solved with pre-calculus concepts. For students in grade 12 and below. Administered in February. Top scorers invited to AIME. No calculator permitted.",https://www.maa.org/math-competitions,Mathematical Association of America,Math Competition,Mathematics,9-12,30,School-based,75 minutes,High,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
AIME (American Invitational Mathematics Examination),"15-question, 3-hour examination where each answer is an integer from 0 to 999. Invitation-only for top scorers on AMC 10/12. Covers topics through pre-calculus. Administered in March. Gateway to USAMO/USAJMO. Significantly more challenging than AMC.",https://www.maa.org/math-competitions,Mathematical Association of America,Math Competition,Mathematics,9-12,20,School-based,3 hours,High,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
USAMO (United States of America Mathematical Olympiad),"Premier mathematics competition for high school students. 6-question, 9-hour proof-based examination over two days. Invitation-only for top AIME performers. Extremely challenging problems requiring creative solutions. Top performers invited to Mathematical Olympiad Program.",https://www.maa.org/math-competitions,Mathematical Association of America,Math Competition,Mathematics,9-12,Free,School-based,2 days,High,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
USAJMO (United States of America Junior Mathematical Olympiad),"Proof-based mathematics competition for top middle school and early high school students. 6-question, 9-hour examination over two days. Invitation-only for top AMC 10 performers. Challenging problems requiring rigorous mathematical reasoning and proof writing.",https://www.maa.org/math-competitions,Mathematical Association of America,Math Competition,Mathematics,9-10,Free,School-based,2 days,High,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
Math League High School Contest,"Annual series of 6 contests for high school students. Each contest consists of 6 questions, 30 minutes. Short answer format testing problem-solving and mathematical reasoning. School-based competition with individual and team scoring. Results compiled nationally.",https://www.mathleague.com/,Math League,Math Competition,Mathematics,9-12,66,School-based,30 minutes per contest,Medium,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
Math League Middle School Contest,Contest series for grades 6-8 featuring problem-solving challenges. Multiple rounds throughout academic year. Short answer format with individual and team competitions. Develops mathematical thinking and competition skills. School-based administration.,https://www.mathleague.com/,Math League,Math Competition,Mathematics,6-8,66,School-based,45 minutes per contest,Medium,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
Math League Elementary Contests,Mathematics competitions for elementary students in grades 3-6. Age-appropriate problem-solving challenges. Multiple contests per year. Builds mathematical confidence and competition experience. Individual and team scoring formats.,https://www.mathleague.com/,Math League,Math Competition,Mathematics,3-6,66,School-based,30 minutes per contest,Basic,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
MOEMS (Math Olympiads for Elementary and Middle Schools),"Contest program for students in grades 4-8 featuring 5 monthly contests. Each contest has 5 non-routine problems, 30 minutes. Promotes mathematical problem-solving and fosters enthusiasm for mathematics. School or homeschool team participation.",https://www.moems.org/,Math Olympiads,Math Competition,Mathematics,4-8,99,School-based,30 minutes monthly,Medium,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
Purple Comet Math Meet,"Free online international mathematics competition for middle and high school teams. 25 problems, 60 minutes. Team-based problem solving. Held annually in April. Teams of up to 6 students collaborate. Results posted online immediately after competition.",https://purplecomet.org/,Purple Comet,Math Competition,Mathematics,6-12,Free,Online,60 minutes,Medium,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,High-speed-required,National,Optional,True,Adult
ARML (American Regions Mathematics League),"Annual team mathematics competition with regional and national competitions. Teams of 15 students. Individual, relay, team, and power rounds. Challenging problems requiring collaboration. Regional qualifying competitions leading to national championship.",https://www.arml.com/,ARML,Math Competition,Mathematics,9-12,Varies,In-person,1 day,High,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,True,Basic,National,Optional,True,Adult
Mathlete,Individual mathematics coaching and competition program. Online practice problems and competitions. Personalized problem sets adapting to student level. Monthly competitions with instant results. Develops problem-solving skills through regular practice.,https://www.mathlete.com/,Mathlete,Math Competition,Mathematics,K-12,50,Online,Monthly competitions,Basic,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,High-speed-required,National,Optional,True,Adult
Math Kangaroo,"International mathematics competition with over 6 million participants worldwide. Multiple choice format, 75 minutes. Levels from grades 1-12. Encourages mathematical thinking for students of all ability levels. Administered annually in March.",https://www.mathkangaroo.org/,Math Kangaroo,Math Competition,Mathematics,K-12,20,School-based,75 minutes,Basic,Medium,Check competition website,Low,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
