rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,University of Michigan RISE Research Fellows,Research Opportunity,Engineering,Medium,In-person,11-12,0.372,https://www.riseprograms.org/programs,"7-week summer research fellowship at University of Michigan for Midwest high school students. Research in natural sciences, engineering, or mathematics. Close mentorship from U-M faculty and graduate ..."
2,University of Chicago Research in the Biological Sciences (RIBS),Mentorship Program,Biology,Low,In-person,11-12,0.369,https://www.uchicago.edu/,"Summer research program pairing students with UChicago biology faculty. Full-time laboratory research experience in molecular biology, genetics, or neuroscience. Students receive stipend and housing. ..."
3,Johns Hopkins University Research Internship,Research Opportunity,Biology,Low,In-Person,11-12,0.365,https://www.jhu.edu/summer-programs/,"Summer research program pairing high school students with JHU faculty. Work in biomedical, engineering, or science labs. Gain hands-on research experience and learn about academic careers. Program inc..."
4,Neuroscience,Summer Program,Biology,Prohibitive,Residential,9-12,0.363,https://cty.jhu.edu/programs/on-campus/courses/science/neuroscience,"Investigate the structure and function of the nervous system through laboratory experiments, brain dissections, and research projects. This Summer Program focuses on Biology, Psychology and serves gra..."
5,Roswell Park Cancer Institute - High School Summer Research Program,Internship,Biology,Low,In-Person,11-12,0.353,https://www.roswellpark.org/education/high-school-summer-internship,"Cancer research internship for high school students at comprehensive cancer center. Students participate in laboratory research focused on cancer biology, immunology, and treatment development while l..."
6,MD Anderson Cancer Center - High School Summer Research Program,Internship,Biology,Low,In-Person,11-12,0.349,https://www.mdanderson.org/education-training/high-school-program.html,"Elite cancer research program for Texas high school students at one of nation's top cancer centers. Students conduct research in cancer prevention, treatment, and biology while learning from world-cla..."
7,Jackson Laboratory - Summer Student Program,Internship,Biology,Low,In-Person,11-12,0.345,https://www.jax.org/education-and-learning/high-school-students/summer-student-program,Hands-on genomics and genetics research experience for high school students at premier biomedical research institution. Students work with world-class scientists on projects involving mammalian geneti...
8,Pioneer Academics - Biochemistry and Molecular Biology,Other,Biology,High,Online,11-12,0.339,https://pioneeracademics.com/subjects/,"Research in biochemistry exploring protein structure, enzyme function, or metabolic pathways. Work with biochemistry professor on topics like drug discovery, structural biology, or cellular processes...."
9,Computational Biology,Summer Program,Biology,High,Residential,9-12,0.335,https://www.cmu.edu/pre-college/,"Interdisciplinary program at the intersection of biology, computer science, and mathematics. Learn bioinformatics, genomic analysis, computational modeling, and data science applications in biology. W..."
10,Polygence - Biotechnology and Life Sciences,Mentorship Program,Biology,High,Online,8-12,0.330,https://www.polygence.org/programs,"Research mentorship in biology, biotechnology, and life sciences. Explore topics like genetics, molecular biology, neuroscience, or ecology. Projects may involve computational biology, bioinformatics ..."
11,Fred Hutchinson Cancer Center High School Internship,Research Opportunity,Biology,Low,In-Person,11-12,0.329,https://www.fredhutch.org/en/education-outreach/high-school.html,"Eight-week summer research internship for Seattle-area students. Work in cancer research labs at Fred Hutch. Stipend provided. Weekly seminars on cancer biology, research careers, and professional dev..."
12,Garcia Research Scholars - Biology and Life Sciences Track,Other,Biology,Low,In-person,11-12,0.329,https://www.stonybrook.edu/commcms/garcia/,"Research opportunities in molecular biology, genetics, neuroscience, ecology, or biomedical sciences. Work in university laboratories using advanced equipment and techniques. Learn experimental design..."
13,UC San Francisco - High School Biomedical Research Internship,Internship,Biology,Low,In-Person,11-12,0.325,https://graduate.ucsf.edu/high-school-intern-program,"Summer research program at UCSF for Bay Area high school students interested in biomedical sciences. Students conduct hands-on research in laboratories focused on precision medicine, stem cell researc..."
14,Science Explorers for Young Kids,Online Course,Biology,Medium,Online,K-5,0.323,https://outschool.com/classes/science,"Hands-on science experiments for ages 5-8. Learn about animals, plants, weather, and simple machines. This Online Class focuses on Science, Biology, Physics and serves grade K-2 students. The program ..."
15,USABO Open Exam,Other,Biology,Low,School-based,12-SEP,0.322,https://www.usabo-trc.org/competition-structure,"First round of USA Biology Olympiad competition for high school students. 50-minute, 50-question multiple choice exam covering biology curriculum. Tests general biology knowledge including cell biolog..."
16,Paleontology Field Research Expedition,Other,Biology,Prohibitive,National,11-12,0.320,https://www.nationalgeographic.com/expeditions/student-expeditions/paleontology/,Participate in authentic paleontological research through fossil excavation and analysis. Students learn scientific research methods while contributing to ongoing paleontological discoveries. This Exp...
17,Minority Student Pipeline Network Summer Research Early Identification Program,Other,Biology,Low,In-person,11-12,0.317,https://pathwaystoscience.org/programs.aspx,"Six-week biomedical research program for underrepresented high school students. Provides hands-on research experience and college preparation. This Research focuses on Biomedical Science, Biology, Che..."
18,Biology Olympiad Training Camp,Other,Biology,Low,Residential,9-12,0.315,https://www.usabo-trc.org/,"Intensive two-week residential training for USABO National Finals participants. Advanced biology lectures from leading professors and researchers. Hands-on laboratory work in molecular biology, physio..."
19,Rockefeller University Summer Science Research Program (SSRP),Research Opportunity,Biology,Low,In-Person,11-12,0.314,https://www.rockefeller.edu/education/high-school/,"Paid summer research internship at prestigious research institution. High school students work full-time in labs alongside scientists. Weekly seminars, career guidance, and end-of-summer research pres..."
20,NIH RISE Summer Research Program,Research Opportunity,Biology,Low,In-person,11-12,0.314,https://www.riseprograms.org/programs,8-week summer research internship at National Institutes of Health for high school students interested in biomedical research. Work alongside NIH scientists on health-related research projects. Stipen...
