name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Coolmath Games - Strategy Games,"Strategic thinking games that develop planning, resource management, and logical reasoning. Games like Bloxorz, Red Ball, and Papa's games teach sequential thinking and problem-solving through engaging gameplay.",https://www.coolmathgames.com/,Coolmath Games,Learning Platform,"Mathematics, Logic, Problem Solving, Strategy",K-12,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
Coolmath Games - Logic and Puzzle Games,"Pure logic puzzles that develop deductive reasoning, pattern recognition, and critical thinking. Includes games like 2048, Minesweeper, and Sudoku variants that strengthen mathematical thinking without explicit computation.",https://www.coolmathgames.com/,Coolmath Games,Learning Platform,"Logic, Mathematics, Pattern Recognition, Critical Thinking",K-12,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
Coolmath Games - Skill and Timing Games,"Hand-eye coordination games that combine reflexes with mathematical timing and spatial awareness. Games teach estimation, trajectory calculation, and precision through engaging arcade-style gameplay.",https://www.coolmathgames.com/,Coolmath Games,Learning Platform,"Mathematics, Physics, Spatial Reasoning, Estimation",K-12,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
Coolmath Games - Number and Math Games,"Direct mathematical skill-building through number puzzles and arithmetic challenges. Games explicitly practice addition, multiplication, division, and number theory concepts in engaging formats.",https://www.coolmathgames.com/,Coolmath Games,Learning Platform,"Mathematics, Arithmetic, Number Theory, Algebra",K-12,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
Coolmath Games - Geometry and Spatial Games,"Spatial reasoning and geometric thinking games. Develop understanding of shapes, angles, transformations, and spatial relationships through interactive puzzles and construction challenges.",https://www.coolmathgames.com/,Coolmath Games,Learning Platform,"Geometry, Spatial Reasoning, Mathematics, Visual Math",K-12,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
Coolmath.com - Pre-Algebra Lessons,"Comprehensive pre-algebra curriculum covering integers, fractions, decimals, percents, order of operations, and algebraic expressions. Interactive lessons with practice problems and clear explanations.",https://www.coolmath.com/,Coolmath Games,Learning Platform,"Algebra, Mathematics, Pre-Algebra",6-9,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
Coolmath.com - Algebra Lessons,"Complete algebra curriculum including equations, inequalities, graphing, polynomials, factoring, quadratic equations, and systems of equations. Step-by-step tutorials with interactive examples.",https://www.coolmath.com/,Coolmath Games,Learning Platform,"Algebra, Mathematics, Equations",8-12,Free,Online,Self-paced,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
Coolmath.com - Calculus Lessons,"Introduction to calculus concepts including limits, derivatives, integrals, and applications. Visual explanations and interactive tools to understand fundamental calculus principles.",https://www.coolmath.com/,Coolmath Games,Learning Platform,"Calculus, Mathematics, Advanced Math",11-12,Free,Online,Self-paced,High,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
Coolmath4Kids - Elementary Math Games,"Age-appropriate math games for young learners covering counting, basic addition/subtraction, shapes, patterns, and early problem-solving. Engaging graphics and simple controls for grades K-5.",https://www.coolmath4kids.com/,Coolmath Games,Learning Platform,"Mathematics, Basic Arithmetic, Counting",K-5,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,False,None
Coolmath4Kids - Fun Facts and Brain Teasers,"Mathematical fun facts, riddles, and brain teasers for elementary students. Develops curiosity about numbers, patterns, and mathematical thinking through entertaining content.",https://www.coolmath4kids.com/,Coolmath Games,Learning Platform,"Mathematics, Logic, Critical Thinking",K-5,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,False,None
