name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
AI4ALL at Stanford University,"Intensive 2-week residential AI summer program at Stanford. Learn machine learning fundamentals, neural networks, computer vision, and NLP. Hands-on projects with real-world datasets. Mentorship from Stanford faculty and graduate students. Explore AI ethics and societal impact. Build AI applications for social good. Campus housing and meals included. Focus on increasing diversity in AI.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,California,Optional,TRUE,Professional
AI4ALL at Carnegie Mellon University,"Two-week residential program at CMU School of Computer Science. Introduction to AI, robotics, and computer vision. Work with CMU researchers on cutting-edge projects. Programming in Python with AI/ML libraries. Team projects addressing real-world problems. Tours of CMU AI labs. Interaction with diverse AI professionals. Full financial aid available for eligible students.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Robotics, Computer Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,Pennsylvania,Optional,TRUE,Professional
AI4ALL at Princeton University,"Residential summer program introducing AI and machine learning at Princeton. Learn from world-renowned faculty. Hands-on coding workshops and research projects. Explore AI applications in healthcare, education, and social justice. Develop technical skills and leadership abilities. Network with peers passionate about AI. Full room, board, and instruction provided. Need-based financial aid covers all costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Data Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,New Jersey,Optional,TRUE,Professional
AI4ALL at UC Berkeley,"Two-week immersive AI program at UC Berkeley. Introduction to machine learning, deep learning, and AI applications. Work alongside Berkeley researchers and PhD students. Project-based learning with real datasets. Explore AI for social impact. Learn responsible AI development. College preparation and career guidance. On-campus housing at UC Berkeley. Generous financial aid including travel stipends.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,California,Optional,TRUE,Professional
AI4ALL at Boston University,"Residential AI summer program at Boston University. Fundamentals of artificial intelligence and machine learning. Python programming and data analysis. Work on team projects solving real-world challenges. Mentorship from BU faculty and industry professionals. Explore Boston tech scene. College readiness workshops. Financial aid covers tuition, housing, meals, and materials.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Data Analysis",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,Massachusetts,Optional,TRUE,Professional
AI4ALL at University of Michigan,"Two-week residential AI program at University of Michigan. Introduction to machine learning, neural networks, and AI ethics. Hands-on projects with Michigan faculty. Explore AI applications in healthcare, environment, and education. Learn Python and ML frameworks. Campus life experience at top university. Support from diverse AI community. Full scholarships available covering all program costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Ethics",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,Michigan,Optional,TRUE,Professional
AI4ALL at Simon Fraser University,"Residential summer program at SFU in Vancouver, Canada. Learn AI and machine learning fundamentals. Work with SFU computer science researchers. Projects focusing on AI for social good and sustainability. International cohort of students. Experience Canadian university life. Python programming and data science skills. Financial aid available for international and domestic students.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Sustainability",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,International,Optional,TRUE,Professional
AI4ALL at Columbia University,"Two-week residential program at Columbia in New York City. Introduction to AI, machine learning, and data science. Work with Columbia faculty and researchers. Explore AI applications in urban challenges, healthcare, and media. Tours of NYC tech companies. Networking with Columbia students and alumni. Housing in NYC. Generous financial aid including travel to New York.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Data Science, Urban Technology",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,New York,Optional,TRUE,Professional
AI4ALL at University of Illinois Urbana-Champaign,"Residential AI program at UIUC, top computer science university. Learn machine learning, computer vision, and natural language processing. Hands-on projects with UIUC researchers. Access to state-of-the-art AI labs. Build AI models and applications. College preparation and career mentorship. Campus housing and meals included. Need-based financial aid covers full program costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Vision, NLP",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,TRUE,TRUE,None,Subsidized,TRUE,TRUE,TRUE,High,TRUE,TRUE,Basic,Illinois,Optional,TRUE,Professional
AI4ALL Online Programs,"Virtual AI summer programs for students unable to travel to campus programs. Live online instruction from university faculty. Interactive coding workshops and group projects. Learn Python, machine learning, and AI ethics. Virtual mentorship from AI professionals. Flexible schedule for different time zones. Completely free with no hidden costs. Accessible to students worldwide. Great alternative to residential programs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",11-Sep,Free,Online,2-3 weeks,Basic,High,Annual-Spring,None,FALSE,TRUE,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,High-speed-required,International,Optional,TRUE,Professional
