name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
NASA High School Aerospace Scholars,Interactive online learning experience for high school juniors interested in space exploration and STEM careers. Students complete online coursework followed by summer onsite experience at NASA.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Research,"Aerospace Engineering, Physics, Computer Science",9-12,Free,In-person,4 weeks (summer),Medium,High,February 28,Low,True,Not required,Travel,Paid-Program,True,True,True,High,Variable,True,Basic,National,None,True,Professional
NIH Summer Internship Program for High School Students,Eight-week summer internship for high school students to conduct biomedical research at NIH facilities. Students work alongside senior investigators on cutting-edge projects.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Internship,"Biomedical Science, Biology, Chemistry",11-12,Free,In-person,8 weeks (summer),High,High,March 1,Low,True,Not required,Travel,Paid-Program,True,True,True,High,Variable,True,Basic,MD,None,True,Professional
Research Science Institute (RSI),Intensive summer research program bringing together accomplished high school students for hands-on research in STEM fields. Students work with mentors at MIT and partnering institutions.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Research,"General STEM, Engineering, Computer Science, Biology",11-12,Free,In-person,6 weeks (summer),High,High,January 31,Low,True,Not required,Travel,Paid-Program,True,True,True,High,Variable,True,Basic,MA,None,True,Professional
SSTP - Secondary Student Training Program at University of Iowa,"Research-based program where high school students conduct independent research projects under faculty mentorship. Includes coursework, lab work, and final presentations.",https://pathwaystoscience.org/programs.aspx,Pathways to Science,Research,"Biology, Chemistry, Engineering, Physics",11-12,Free,In-person,5 weeks (summer),High,High,February 15,Low,True,Considered,Travel,Paid-Program,True,True,True,High,Variable,True,Basic,IA,None,True,Professional
Garcia MRSEC Summer Scholars Program,Materials science research program at Stony Brook University for high school students. Students participate in hands-on research projects in nanotechnology and materials science.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Research,"Materials Science, Chemistry, Physics, Engineering",10-12,Free,In-person,7 weeks (summer),Medium,High,March 15,Low,True,Not required,Travel,Paid-Program,True,True,True,High,Variable,True,Basic,NY,None,True,Professional
COSMOS - California State Summer School for Mathematics and Science,"Four-week residential STEM program at UC campuses. High school students engage in hands-on research, labs, and field trips in various STEM disciplines.",https://pathwaystoscience.org/programs.aspx,Pathways to Science,Summer Program,"General STEM, Engineering, Computer Science, Biology",9-12,Free,In-person,4 weeks (summer),Medium,High,February 1,Low,True,Considered,Travel,Paid-Program,True,True,True,High,Variable,True,Basic,CA,None,True,Professional
Jackson Laboratory Summer Student Program,Eight-week genetics research internship for high school students at JAX laboratories. Students conduct independent research projects in genomics and genetics.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Internship,"Genetics, Biology, Biomedical Science",11-12,Free,In-person,8 weeks (summer),High,High,February 1,Low,True,Not required,Travel,Paid-Program,True,True,True,High,Variable,True,Basic,ME,None,True,Professional
MIT MITES - Minority Introduction to Engineering and Science,Six-week residential program introducing underrepresented high school students to engineering and science through rigorous academics and hands-on projects.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Summer Program,"Engineering, Computer Science, Mathematics, Physics",11-12,Free,In-person,6 weeks (summer),Medium,High,February 1,None,True,Considered,None,Free,True,True,True,High,True,True,Basic,MA,None,True,Professional
SERC Summer High School Apprenticeship Program,Environmental science internship at Smithsonian Environmental Research Center. Students conduct field and lab research on local ecosystems.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Internship,"Environmental Science, Biology, Ecology",10-12,Free,In-person,8 weeks (summer),Medium,High,March 1,Low,True,Not required,Travel,Paid-Program,True,True,True,High,Variable,True,Basic,MD,None,True,Professional
Carnegie Mellon SAMS - Summer Academy for Math and Science,"Six-week residential program providing underrepresented students with advanced coursework in math, science, and computer science. Includes college preparation workshops.",https://pathwaystoscience.org/programs.aspx,Pathways to Science,Summer Program,"Mathematics, Computer Science, Engineering, Physics",11-12,Free,In-person,6 weeks (summer),High,High,March 1,None,True,Considered,None,Free,True,True,True,High,True,True,Basic,PA,None,True,Professional
