name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Tinkercad - Introduction to 3D Design,"Beginner 3D design course teaching basic shapes, manipulation, and construction. Learn to create simple 3D models using browser-based CAD software. Build foundation for engineering and design thinking.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, CAD, Engineering, Design Thinking",3-12,Free,Online,1-2 hours,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - Name Tag Design,"Create personalized 3D name tags using text and shape tools. Learn extrusion, alignment, and grouping. Perfect beginner project introducing core CAD concepts through practical application.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, CAD, Personalization",3-8,Free,Online,30-60 minutes,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - House Design Project,"Design 3D house model using architectural principles. Learn walls, roofs, windows, and interior spaces. Apply mathematical concepts of scale, proportion, and spatial reasoning.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, Architecture, Engineering, Mathematics",4-12,Free,Online,2-3 hours,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - Keychain Design,"Create custom keychain designs for 3D printing. Learn design constraints, practical tolerances, and preparing models for manufacturing. Introduction to additive manufacturing concepts.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, Manufacturing, Engineering",4-12,Free,Online,1-2 hours,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - Robot Character Design,"Design creative robot characters using geometric shapes. Learn character design principles, proportions, and creative modeling. Combine engineering concepts with artistic expression.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, Art, Robotics, Character Design",3-10,Free,Online,1-2 hours,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - Castle Design,"Build medieval castle with towers, walls, and architectural features. Learn symmetry, duplication, and complex assembly. Historical architecture meets CAD skills.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, Architecture, History, Engineering",4-12,Free,Online,2-4 hours,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - Jewelry Design,"Design rings, pendants, and bracelets for 3D printing. Learn precision modeling, measurement, and wearable design constraints. Practical application of geometry and aesthetics.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, Fashion, Geometry, Manufacturing",5-12,Free,Online,1-3 hours,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - Mechanical Gears Design,"Design interlocking gears and mechanical systems. Learn gear ratios, teeth spacing, and mechanical advantage. Engineering principles through functional 3D design.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, Mechanical Engineering, Physics, Mathematics",6-12,Free,Online,2-3 hours,Medium,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - Box Design for 3D Printing,"Create functional boxes with lids and hinges. Learn assembly design, tolerances, and print-in-place mechanisms. Practical design for everyday objects.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, Product Design, Engineering",5-12,Free,Online,2-3 hours,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Tinkercad - Minecraft Character Design,Create Minecraft-style blocky characters and structures. Voxel-based design principles and pixel art translation to 3D. Engage game design enthusiasts in CAD.,https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"3D Design, Game Design, Art",3-10,Free,Online,1-2 hours,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
