name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
AoPS Beast Academy Online,"Comprehensive online math program for elementary students grades 2-5. Interactive lessons, adaptive practice, and engaging problem-solving with comic book style instruction.",https://artofproblemsolving.com/beast-academy,Art of Problem Solving,Learning Platform,Mathematics,2-5,Paid,Online,Self-paced (3-5 hours/week),None,Medium,Rolling,Medium,False,Not required,Course-Materials,$100-$500,False,True,True,Medium,True,False,Required,International,Low,False,None
AoPS Prealgebra,"Rigorous prealgebra course covering number theory, proportions, geometry basics, and problem-solving strategies. Live online classes with expert instructors for grades 6-8.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,6-8,Paid,Online,12-15 weeks (3-4 hours/week),Medium,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
AoPS Introduction to Algebra A,"First part of comprehensive algebra course covering equations, inequalities, functions, and polynomials. Interactive format with challenging problems for advanced middle school students.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,6-9,Paid,Online,12-15 weeks (3-4 hours/week),Medium,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
AoPS Introduction to Algebra B,"Second part of algebra course covering factoring, quadratics, systems of equations, and logarithms. Prepares students for advanced mathematics and competition math.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,7-9,Paid,Online,12-15 weeks (3-4 hours/week),Medium,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
AoPS Introduction to Counting & Probability,"Comprehensive combinatorics and probability course teaching counting techniques, permutations, combinations, and probability theory with challenging competition-style problems.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,7-10,Paid,Online,12-15 weeks (3-4 hours/week),Medium,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
AoPS Introduction to Number Theory,"Study of integers, divisibility, prime numbers, modular arithmetic, and Diophantine equations. Essential for math competitions like AMC and MATHCOUNTS.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,7-10,Paid,Online,12-15 weeks (3-4 hours/week),Medium,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
AoPS Introduction to Geometry,"Rigorous geometry covering triangles, circles, polygons, coordinate geometry, and transformations. Emphasizes proof-writing and problem-solving strategies.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,7-10,Paid,Online,12-15 weeks (3-4 hours/week),Medium,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
AoPS Intermediate Algebra,"Advanced algebra covering complex numbers, polynomials, functional equations, inequalities, and sequences. Prepares students for AIME and higher competitions.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,9-12,Paid,Online,12-15 weeks (3-4 hours/week),High,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
AoPS Intermediate Counting & Probability,"Advanced combinatorics including generating functions, recursion, PIE, and advanced probability. Competition mathematics at AIME level.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,9-12,Paid,Online,12-15 weeks (3-4 hours/week),High,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
AoPS Precalculus,"Comprehensive precalculus covering trigonometry, complex numbers, vectors, matrices, and conic sections. Prepares for AP Calculus and college math.",https://artofproblemsolving.com/online-school,Art of Problem Solving,Learning Platform,Mathematics,9-12,Paid,Online,12-15 weeks (3-4 hours/week),High,High,Session-based,High,True,Not required,Course-Materials,$500-$1000,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
