name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
FIRST Robotics Competition (FRC),"High school robotics competition where teams design, build, and program industrial-sized robots to compete in alliance-based matches. Teams receive a kit of parts and have 6 weeks to build their robot.",https://www.firstinspires.org/robotics/frc,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",9-12,"$6,000-$15,000",Regional,January-April (Build season + competitions),None,High,December (team registration),Prohibitive,FALSE,Middle+,Equipment,$2000+,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,National,None,TRUE,None
FIRST Robotics Competition - Build Season,"Six-week robot build period where FRC teams design, prototype, and build their competition robot using the Kit of Parts and additional materials.",https://www.firstinspires.org/robotics/frc,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",9-12,"$6,000-$15,000 (team registration + materials)",Regional,6 weeks (January-February),None,High,December (team registration),Prohibitive,FALSE,Middle+,Equipment,$2000+,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,National,None,TRUE,None
FIRST Robotics Competition - Regional Events,Regional competition events where FRC teams compete with their robots in alliance-based matches to qualify for championship.,https://www.firstinspires.org/robotics/frc,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",9-12,"$6,000-$15,000",Regional,2-3 weekends (March-April),None,High,Team registration by December,Prohibitive,FALSE,Middle+,None,$2000+,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,National,None,TRUE,None
FIRST Robotics Competition - Championship,Annual world championship event in Houston and Detroit for qualifying FRC teams. The ultimate robotics competition experience.,https://www.firstinspires.org/robotics/frc,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",9-12,Qualification required + travel expenses,Regional,1 week (April),None,High,December (team registration),None,FALSE,Any,Travel,Free,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,Select-regions,None,TRUE,None
FIRST Tech Challenge (FTC),Middle and high school robotics program where teams design and build robots using reusable parts to compete in head-to-head challenges with a sports-like atmosphere.,https://www.firstinspires.org/robotics/ftc,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",7-12,$275 registration + materials,Regional,September-April (Season + championships),None,High,August-September (team registration),Medium,FALSE,Any,Equipment,$100-500,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,National,None,TRUE,None
FIRST Tech Challenge - League Tournaments,Local league tournaments where FTC teams compete throughout the season. Teams earn ranking points to advance to championship events.,https://www.firstinspires.org/robotics/ftc,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",7-12,$275 team registration fee,Regional,October-February (multiple events),None,High,August-September (team registration),Medium,FALSE,Any,None,$100-500,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,National,None,TRUE,None
FIRST Tech Challenge - Super Regional Championships,Regional championship events where top FTC teams compete for advancement to the World Championship.,https://www.firstinspires.org/robotics/ftc,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",7-12,Qualification required,Regional,February-March,None,High,August-September (team registration),None,FALSE,Any,None,Free,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,Select-regions,None,TRUE,None
FIRST Tech Challenge - World Championship,Global championship event in Houston where the best FTC teams from around the world compete.,https://www.firstinspires.org/robotics/ftc,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",7-12,Qualification + travel required,Regional,4 days (April),None,High,August-September (team registration),None,FALSE,Any,Travel,Free,FALSE,FALSE,FALSE,High,TRUE,TRUE,None,Select-regions,None,TRUE,None
FIRST LEGO League (FLL),Elementary and middle school program introducing STEM concepts through hands-on robotics and research projects using LEGO technology.,https://www.firstinspires.org/robotics/fll,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",K-8,$225 + robot kit,Regional,August-February (Season + tournaments),None,High,October (team registration),Medium,FALSE,Any,None,$100-500,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,National,None,FALSE,None
FIRST LEGO League Discover (Ages 4-6),Introductory STEM program for youngest learners using LEGO DUPLO. Children explore science and engineering concepts through play.,https://www.firstinspires.org/robotics/fll,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",PreK-K,$100-200 per team,Regional,8-12 weeks,None,High,October (team registration),Low,FALSE,Any,None,Under-$100,FALSE,FALSE,FALSE,Low,TRUE,FALSE,None,National,None,TRUE,None
FIRST LEGO League Explore (Ages 6-10),Hands-on STEM program where teams build motorized models using LEGO WeDo 2.0 and create a poster to share their learning.,https://www.firstinspires.org/robotics/fll,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",1-4,$200-300 per team,Regional,12-16 weeks,None,High,October (team registration),Low,FALSE,Any,None,$100-500,FALSE,FALSE,FALSE,Low,TRUE,FALSE,None,National,None,TRUE,None
FIRST LEGO League Challenge (Ages 9-16),Competitive robotics program where teams design and program autonomous LEGO robots and complete an innovation project.,https://www.firstinspires.org/robotics/fll,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",4-8,$225 team registration + robot kit,Regional,12-16 weeks + tournaments,None,High,October (team registration),Medium,FALSE,Any,None,$100-500,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,National,None,TRUE,None
FIRST LEGO League - Regional Tournaments,Regional tournament competitions where FLL Challenge teams compete with their robots and present innovation projects.,https://www.firstinspires.org/robotics/fll,FIRST Robotics,Robotics Competition,"Engineering, Programming, Design",4-8,$225 + robot kit,Regional,1-2 days (December-February),None,High,Team registration by October,Medium,FALSE,Any,None,$100-500,FALSE,FALSE,FALSE,Low,TRUE,TRUE,None,National,None,TRUE,None
