name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
MATHCOUNTS School Competition,"Starting level of MATHCOUNTS competition series administered by coaches at individual schools. Students compete in Sprint, Target, and Team rounds to qualify for Chapter competition.",https://mathcounts.org/programs/mathcounts-competition-series,MATHCOUNTS,Math Competition,Mathematics,6-8,Free,School,3 hours (November),Medium,Medium,November registration,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS Chapter Competition,"Local competition where schools compete with up to 14 students (4 team members plus 10 individual competitors). Includes Sprint, Target, Team, and Countdown rounds.",https://mathcounts.org/programs/mathcounts-competition-series,MATHCOUNTS,Math Competition,Mathematics,6-8,Free,Regional,3 hours (February),Medium,Medium,January registration,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS State Competition,"State-level competition for top performers from Chapter competitions. Features all four rounds: Sprint, Target, Team, and Countdown with increasing difficulty.",https://mathcounts.org/programs/mathcounts-competition-series,MATHCOUNTS,Math Competition,Mathematics,6-8,Free,State,4 hours (March),High,Medium,Qualify at Chapter level,None,False,Any,Travel,Free,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
MATHCOUNTS National Competition,"Premier national mathematics competition for middle school students. Top 4 individuals from each state compete in all-expenses-paid event with Sprint, Target, Team, and Countdown rounds.",https://mathcounts.org/programs/mathcounts-competition-series,MATHCOUNTS,Math Competition,Mathematics,6-8,Free (all expenses paid),National,3 days (May),Advanced,High,Qualify at State level,None,False,Any,Travel,Free,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
MATHCOUNTS Sprint Round,Timed 40-minute round with 30 problems testing speed and accuracy. No calculators permitted. Designed to challenge quick mathematical computation skills.,https://mathcounts.org/programs/competition-rules-faq,MATHCOUNTS,Math Competition,Mathematics,6-8,Free,Regional,40 minutes,Medium,Medium,Part of main competition,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS Target Round,"Problem-solving round with 8 multi-step problems in 4 sets, 6 minutes per set. Calculator use permitted. Tests mathematical reasoning and problem-solving processes.",https://mathcounts.org/programs/competition-rules-faq,MATHCOUNTS,Math Competition,Mathematics,6-8,Free,Regional,24 minutes,Medium,Medium,Part of main competition,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS Team Round,Collaborative round where 4-member teams work together to solve 10 problems in 20 minutes. Calculator use permitted. Encourages teamwork and mathematical collaboration.,https://mathcounts.org/programs/competition-rules-faq,MATHCOUNTS,Math Competition,Mathematics,6-8,Free,Regional,20 minutes,Medium,Medium,Part of main competition,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS Countdown Round,"Fast-paced oral competition for top individual scorers. Head-to-head matches with 45 seconds per problem, no calculators. Most exciting round with audience participation.",https://mathcounts.org/programs/competition-rules-faq,MATHCOUNTS,Math Competition,Mathematics,6-8,Free,Regional,30-45 minutes,High,Medium,Qualify with top scores,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS Math Video Challenge,Annual video competition where students create math-focused videos. Students explore real-world applications of mathematics while developing creativity and communication skills.,https://mathcounts.org/programs/math-video-challenge,MATHCOUNTS,Math Program,Mathematics,6-8,Free,Virtual,2-3 months,Medium,Medium,Spring submission,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS Club Program,"Year-round program providing resources for schools to start math clubs. Includes practice problems, coaching materials, and preparation for competitions.",https://mathcounts.org/programs/club-program,MATHCOUNTS,Math Program,Mathematics,6-8,Free,School,Weekly meetings,None,Medium,Year-round enrollment,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS Trainer Program,Professional development program for educators to become certified MATHCOUNTS trainers. Learn coaching strategies and competition preparation techniques.,https://mathcounts.org/programs/trainer-program,MATHCOUNTS,Math Program,Mathematics,6-8,Low-cost,Regional,1-2 days training,High,High,Summer workshops,Low,False,Any,None,Under-$100,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
MATHCOUNTS Problem of the Week,Weekly online math problems for continuous practice and skill development. Provides regular challenge problems with solutions to keep students engaged year-round.,https://mathcounts.org/programs/problem-week,MATHCOUNTS,Math Program,Mathematics,6-8,Free,Virtual,30 minutes weekly,Medium,Low,Ongoing participation,None,False,Any,None,Free,False,True,True,Medium,True,False,Basic,National,Optional,True,Adult
