name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
SWE - High School Scholarship Program,"Annual scholarship for female high school seniors planning to pursue ABET-accredited engineering programs. Awards range from $1,000-$5,000 based on academic achievement, leadership, and commitment to engineering. Multiple scholarships available.",https://swe.org/scholarships/high-school/,Society of Women Engineers,Scholarship,"Engineering, Technology, Computer Engineering",12,Free to apply,Virtual,1-2 hours application,Beginner-Intermediate,High,February 15 annually,None,N/A - This is financial aid,No,None,Free,True,True,False,High,True,No,High,National,No,Low,None
SWE - SWENext Club Program,"Year-round club program for middle and high school girls interested in engineering. Clubs meet regularly to explore engineering through projects, guest speakers, field trips, and competitions. Access to SWE mentors and resources.",https://alltogether.swe.org/swenext/,Society of Women Engineers,Program,"Engineering, Technology, All Engineering Fields",6-12,Free with school sponsorship,In-Person,Monthly meetings throughout school year,Beginner,High,Rolling - clubs can start anytime,None,N/A,No,Low,Free,True,True,True,High,True,Yes,Low,National,No,High,High
SWE - Engineering Design Competition for High School,"Annual engineering design competition where teams of high school girls solve real-world engineering challenges. Teams design, build, and present solutions. Includes mentorship from professional engineers and cash prizes.",https://swe.org/k-12-outreach/competitions/,Society of Women Engineers,Competition,"Engineering, Design, Problem Solving, All Engineering Fields",9-12,Free to enter,Hybrid,3-6 months project development,Beginner-Intermediate,High,March 1 annually,Low,Materials grants available,Yes,Low,Free,True,True,True,High,True,Optional,Moderate,National,No,High,High
SWE - Summer Engineering Camp for Girls,"Week-long residential summer camp for high school girls to explore engineering fields. Hands-on projects, lab tours, college campus visits, and mentorship from women engineers. Includes all meals and housing.",https://swe.org/k-12-outreach/summer-camps/,Society of Women Engineers,Camp,"Engineering, Technology, All Engineering Disciplines",9-11,$500-$800,In-Person,1 week residential summer,Beginner,High,April 15 annually,Medium,Scholarships available based on need,Yes,Low,$500-$1000,True,True,True,High,Conditional,Yes,Low,Multiple university locations,No,High,High
SWE - Collegiate Section Mentorship Program for HS Students,"Mentorship program connecting high school girls with women engineering students and professionals. Monthly meetings, career guidance, college prep support, and networking opportunities.",https://swe.org/membership/collegiate-mentorship/,Society of Women Engineers,Program,"Engineering, Career Development, All Engineering Fields",10-12,Free,Hybrid,Monthly meetings during school year,Beginner,High,September 1 annually,None,N/A,No,None,Free,True,True,True,High,True,Varies,Moderate,Regions with SWE collegiate sections,No,High,High
SWE - WE Local Conference High School Track,"Day-long conference for high school girls at regional SWE conferences. Attend workshops, hear from women engineers, participate in hands-on activities, and network with role models.",https://we-local.swe.org/high-school-track/,Society of Women Engineers,Program,"Engineering, Technology, Professional Development",9-12,$25-$50 registration,In-Person,1 day,Beginner,High,Varies by conference location,Low,Fee waivers available,Yes,Low,$50-$100,True,True,True,High,Conditional,Yes,Low,Multiple cities nationwide,No,High,High
SWE - Engineering Exploration Day,"Free one-day event for middle and high school girls to explore engineering through hands-on activities, lab tours, and interactions with women engineers. Hosted at universities and companies nationwide.",https://swe.org/k-12-outreach/exploration-days/,Society of Women Engineers,Program,"Engineering, Technology, All Engineering Fields",6-12,Free,In-Person,4-6 hours,Beginner,Moderate,Registration typically 2 weeks prior,None,N/A,No,None,Free,True,True,True,High,Conditional,Yes,Low,Multiple locations nationwide,Optional,Moderate,Moderate
SWE - Invent It. Build It. Competition,"National competition for high school teams to invent and build engineering solutions to societal challenges. Teams receive mentorship, present at regional events, and winners compete nationally.",https://swe.org/k-12-outreach/invent-it-build-it/,Society of Women Engineers,Competition,"Engineering, Innovation, Design, Problem Solving",9-12,Free to enter,Hybrid,4-6 months,Intermediate,High,February 1 annually,Low,Materials stipends provided,Yes,Low,Free,True,True,True,High,True,Optional for finals,Moderate,National,No,High,High
SWE - Virtual Career Exploration Series for High School,"Monthly virtual events featuring women engineers from various industries. Learn about engineering careers, ask questions, and explore different engineering paths. Free and accessible nationwide.",https://swe.org/k-12-outreach/virtual-career-series/,Society of Women Engineers,Program,"Engineering, Career Exploration, All Engineering Fields",9-12,Free,Virtual,1 hour monthly sessions,Beginner,Moderate,No deadline - ongoing program,None,N/A,No,None,Free,True,True,True,High,True,No,High,National - Virtual,No,Moderate,Moderate
SWE - Engineering Leadership Institute for High School Girls,"Multi-day residential program focused on engineering leadership skills for high school girls. Workshops on teamwork, communication, project management, and engineering ethics. Includes college prep guidance.",https://swe.org/k-12-outreach/leadership-institute/,Society of Women Engineers,Program,"Engineering, Leadership, Professional Development",10-12,$600-$900,In-Person,3-5 days residential summer,Intermediate,High,March 31 annually,Medium,Need-based scholarships available,Yes,Low,$500-$1000,True,True,True,High,Conditional,Yes,Low,Hosted at universities,No,High,High
