file_source,name,description,target_grade,reason_flagged,confidence_level,,Decisions
acs_programs.csv,ChemMatters Magazine,"Award-winning magazine for high school students that demystifies chemistry with exciting articles, games, and puzzles. Connects chemistry to everyday life and current events. Published quarterly with ",12-Sep,Found: \bteacher,LOW,,Keep
acs_programs.csv,Adventures in Chemistry,"Chemistry exploration program for elementary students featuring experiments, games, and science activities. Introduces young students to chemistry concepts through hands-on activities. Available throu",K-5,Found: \bteacher,LOW,,Keep
acs_programs.csv,Middle School Chemistry,"Chemistry education resource designed specifically for middle school students and teachers. Provides engaging content, activities, and experiments appropriate for middle school level. Builds foundatio",8-Jun,Found: \bteacher,LOW,,Remove
acs_programs.csv,Students & Educators,Promoting excellence in science education and outreach,K-12,Found: \beducator,LOW,,Remove
acs_programs.csv,inChemistry Magazine,The ACS student member magazine. The ACS clubs for undergraduate students in the U.S. and abroad. Get real-world experience through internships and summer research programs Hone your communication ski,K-12,Found: \bundergraduate,HIGH,,Remove
ai4all_programs.csv,AI4ALL at Stanford University,"Intensive 2-week residential AI summer program at Stanford. Learn machine learning fundamentals, neural networks, computer vision, and NLP. Hands-on projects with real-world datasets. Mentorship from ",11-Sep,Found: \bgraduate student; Found: \bfaculty,HIGH,,Keep
ai4all_programs.csv,AI4ALL at Princeton University,"Residential summer program introducing AI and machine learning at Princeton. Learn from world-renowned faculty. Hands-on coding workshops and research projects. Explore AI applications in healthcare, ",11-Sep,Found: \bfaculty,HIGH,,Keep
ai4all_programs.csv,AI4ALL at UC Berkeley,"Two-week immersive AI program at UC Berkeley. Introduction to machine learning, deep learning, and AI applications. Work alongside Berkeley researchers and PhD students. Project-based learning with re",11-Sep,Found: \bphd,HIGH,,Keep
ai4all_programs.csv,AI4ALL at Boston University,Residential AI summer program at Boston University. Fundamentals of artificial intelligence and machine learning. Python programming and data analysis. Work on team projects solving real-world challen,11-Sep,Found: \bfaculty,HIGH,,Keep
ai4all_programs.csv,AI4ALL at University of Michigan,"Two-week residential AI program at University of Michigan. Introduction to machine learning, neural networks, and AI ethics. Hands-on projects with Michigan faculty. Explore AI applications in healthc",11-Sep,Found: \bfaculty,HIGH,,Keep
ai4all_programs.csv,AI4ALL at Columbia University,"Two-week residential program at Columbia in New York City. Introduction to AI, machine learning, and data science. Work with Columbia faculty and researchers. Explore AI applications in urban challeng",11-Sep,Found: \bfaculty,HIGH,,Keep
ai4all_programs.csv,AI4ALL Online Programs,"Virtual AI summer programs for students unable to travel to campus programs. Live online instruction from university faculty. Interactive coding workshops and group projects. Learn Python, machine lea",11-Sep,Found: \bfaculty,HIGH,,Keep
ai4all_programs.csv,AI4ALL Alumni Network,Community of AI4ALL program alumni pursuing AI careers and education. Mentorship from college students and professionals. Career guidance and internship opportunities. Annual alumni events and reunion,12-Oct,Found: \bcollege student,MEDIUM,,Remove
amc_competitions.csv,AMC School Registration,Schools register to host AMC competitions for their students. Registration fee covers exam materials for unlimited students. Schools coordinate local administration. Teacher receives competition mater,12-Jun,Found: \bteacher,LOW,,Remove
ams_student_programs.csv,AMS Undergraduate Scholarship,"Merit-based scholarships for college students majoring in atmospheric science, meteorology, or related fields. Multiple awards available annually. Recipients gain access to AMS conferences, networking",College,Found: \bcollege student; Found: \bundergraduate; Found: \bprofessional development,MEDIUM,,Remove
ams_student_programs.csv,AMS Student Conference Travel Grants,"Travel grants for students to attend AMS Annual Meeting and present research. Supports undergraduate and graduate students presenting posters or papers. Grants cover registration, travel, and lodging ",College,Found: \bundergraduate; Found: \bgraduate student,HIGH,,Remove
ams_student_programs.csv,AMS Student Chapter Program,"Student-led chapters at universities providing meteorology community and professional development. Chapters organize weather discussions, guest speakers, field trips to National Weather Service office",College,Found: \bprofessional development,MEDIUM,,Remove
ams_student_programs.csv,AMS DataStreme Atmospheric Science Program,"Online professional development for educators teaching atmospheric science. While targeting teachers, enhances quality of meteorology education in classrooms. Provides current weather data, educationa",12-Sep,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,Remove
ams_student_programs.csv,AMS Graduate Fellowship in History of Science,"Fellowship supporting graduate students researching history of atmospheric sciences and meteorology. Awards fund dissertation research on development of meteorological science, technology, and institu",Graduate,Found: \bgraduate student,HIGH,,Remove
ams_student_programs.csv,AMS Student Membership Program,"Discounted professional membership for students ($35/year) providing access to journals, conference discounts, career resources, and networking. Members receive monthly publications, access to job boa",College,Found: \bprofessional development,MEDIUM,,Remove
ashg_dna_day_programs.csv,DNA Day Genetics Education Resources,"Free online educational resources for teaching and learning genetics. Lesson plans, videos, activities, and reading materials. Covers fundamental genetics, genomics, genetic testing, and bioethics. Al",12-Sep,Found: \bteacher,LOW,,Remove
ashg_dna_day_programs.csv,ASHG DNA Day Student Activities,"Interactive genetics activities for DNA Day celebrations. Hands-on experiments, case studies, and problem-solving activities. Learn about DNA structure, inheritance, genetic disorders, and personalize",12-Sep,Found: \bteacher,LOW,,Keep
ashg_dna_day_programs.csv,ASHG K-12 Genetics Education Resources Library,"Comprehensive online library of genetics teaching materials. Curated resources covering Mendelian genetics, molecular biology, genomics, and genetic medicine. Includes videos, simulations, readings, a",12-Sep,Found: \beducator,LOW,,Remove
ashrae_student_programs.csv,ASHRAE Student Member Program,"Free or discounted ASHRAE membership for undergraduate students. Access to technical publications, webinars, and conferences. Network with HVAC professionals and engineers. Attend chapter meetings and",College,Found: \bundergraduate; Found: \bprofessional development,HIGH,,Remove
ashrae_student_programs.csv,ASHRAE Student Design Competition,Annual design competition for ASHRAE student members. Teams design HVAC systems for real buildings. Apply engineering principles to sustainable building design. Cash prizes and recognition at ASHRAE c,College,Found: \bundergraduate; Found: \bgraduate student; Found: \bfaculty,HIGH,,Remove
ashrae_student_programs.csv,ASHRAE Undergraduate Engineering Scholarships,"Multiple scholarship opportunities for engineering students. Awards range from $3,000 to $10,000. Focus on HVAC&R, building automation, and energy systems. Regional and national scholarship programs. ",College,Found: \bundergraduate,MEDIUM,,Remove
