name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Scratch Programming Platform,"Free visual block-based programming platform from MIT for all ages. Create interactive stories, games, and animations by snapping together code blocks. No typing required - drag and drop programming. Share projects with global community of millions. Learn coding fundamentals: loops, conditionals, variables, events. Available in 70+ languages. Perfect introduction to computer science.",https://scratch.mit.edu/,MIT Scratch,Programming Platform,"Computer Science, Programming, Creative Computing",K-12,Free,Online,Self-paced,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch for Educators,"Complete educator resources for teaching with Scratch. Curriculum guides, lesson plans, and classroom activities. Step-by-step tutorials for teachers new to coding. Classroom management tools and student accounts. Assessment rubrics and learning standards alignment. Professional development resources. Active educator community for sharing ideas and support. Free workshop materials.",https://scratch.mit.edu/educators,MIT Scratch,Educator Resources,"Computer Science, Education",K-12,Free,Online,Self-paced,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch Ideas Page,"Curated project ideas and coding tutorials. Step-by-step guides for creating games, animations, and stories. Organized by difficulty level and topic. Video tutorials and activity cards. Perfect for self-directed learning or classroom use. Projects include: make music, create art, animate characters, build games. Download activity cards for offline use.",https://scratch.mit.edu/ideas,MIT Scratch,Tutorial Library,"Computer Science, Programming, Creative Arts",K-12,Free,Online,Self-paced,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
ScratchJr for Young Learners,"Simplified version of Scratch for ages 5-7. Introductory programming language for young children. Create interactive stories and games on tablet or computer. Designed for early elementary students. Teaches sequencing, problem-solving, and creativity. No reading required - visual interface. Great for kindergarten and early grades. Available as free app.",https://www.scratchjr.org/,MIT Scratch,Early Learning Platform,"Computer Science, Early Childhood Education",K-2,Free,Online,Self-paced,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch Coding Cards,"Physical and digital activity cards for learning Scratch. 75+ project ideas with step-by-step instructions. Organized by theme: games, animations, stories, music. Color-coded by difficulty level. Use in classroom or at home. Downloadable PDFs available free. Purchase printed deck or print yourself. Great for workshops and summer camps.",https://scratch.mit.edu/ideas,MIT Scratch,Activity Cards,"Computer Science, Programming",3-8,Free,Hybrid,Self-paced,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch Creative Computing Curriculum,"Complete free curriculum guide from Harvard Graduate School of Education. Seven units covering programming fundamentals through creative projects. Designed for classrooms, after-school programs, or self-study. Includes lesson plans, assessments, and facilitation tips. Emphasizes computational thinking and creativity. Used by educators worldwide. Available in multiple languages. Aligned with CS standards.",https://scratched.gse.harvard.edu/guide/,MIT Scratch,Curriculum Guide,"Computer Science, Computational Thinking",5-9,Free,Online,Semester course,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch Online Community,Global online community of young programmers. Share projects and get feedback. Remix and build on others' projects. Studios for collaborative work. Safe moderated environment. Learn from millions of shared projects. Weekly challenges and featured projects. Connect with peers worldwide. Develop digital literacy and citizenship skills.,https://scratch.mit.edu/explore,MIT Scratch,Online Community,"Computer Science, Digital Citizenship",K-12,Free,Online,Ongoing,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch Video Tutorials,"Library of video tutorials for learning Scratch. Short how-to videos covering all Scratch features. Topics include sprites, backdrops, sounds, and coding blocks. Step-by-step project walkthroughs. Beginner to advanced level content. Closed captions available. Great for visual learners. Use in flipped classroom or independent study.",https://scratch.mit.edu/ideas,MIT Scratch,Video Tutorials,"Computer Science, Programming",K-12,Free,Online,Self-paced,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch Design Studio Challenges,"Monthly themed programming challenges for students. Create projects based on specific themes or constraints. Learn new techniques and coding concepts. Community voting and featured projects. Great for motivation and inspiration. Past themes include climate change, music, storytelling. Build portfolio of diverse projects. Participate solo or with class.",https://scratch.mit.edu/studios/,MIT Scratch,Programming Challenges,"Computer Science, Creative Computing",3-12,Free,Online,Monthly challenges,Basic,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch Teacher Accounts,Free teacher accounts for classroom management. Create and manage student accounts. Monitor student projects and progress. Provide feedback on student work. Organize class studios for collaboration. Schedule and manage assignments. Privacy controls for student safety. Simplified registration for students. Essential tool for classroom use.,https://scratch.mit.edu/educators/register,MIT Scratch,Classroom Management,Computer Science Education,K-12,Free,Online,Academic year,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
Scratch Day Events,"Global network of Scratch Day events. Local gatherings for Scratchers to meet, share, and learn. Workshops, presentations, and hands-on activities. Organized by schools, libraries, museums, and community centers. Free events worldwide. Annual celebration of creative coding. Connect with local Scratch community. Family-friendly programming events.",https://day.scratch.mit.edu/,MIT Scratch,Community Event,"Computer Science, Community Building",K-12,Free,Regional,1-2 days,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,True,None,International,Optional,True,Peer
Scratch Extensions and Add-ons,"Additional coding blocks and features for advanced projects. Connect to hardware like micro:bit, LEGO, Makey Makey. Text-to-speech and translation capabilities. Music composition and video sensing. Machine learning blocks with Teachable Machine. Expands Scratch capabilities for complex projects. STEM integration opportunities. Great for advanced students.",https://scratch.mit.edu/about,MIT Scratch,Advanced Features,"Computer Science, Engineering, Robotics",5-12,Free,Online,Self-paced,Medium,High,Rolling,None,False,False,Equipment,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer
