name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
IXL Math - Kindergarten,"Comprehensive kindergarten math curriculum with 200+ skills. Counting to 20, number recognition, basic addition and subtraction, shapes, patterns, measurement, and comparison. Adaptive practice with instant feedback.",https://www.ixl.com/math/kindergarten,IXL Learning,Learning Platform,"Mathematics, Early Math",K,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - 1st Grade,"First grade math with 300+ skills. Addition and subtraction within 20, place value, time, money, measurement, data and graphs, and geometry. Standards-aligned adaptive learning.",https://www.ixl.com/math/grade-1,IXL Learning,Learning Platform,"Mathematics, Arithmetic",1,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - 2nd Grade,"Second grade math covering 400+ skills. Addition and subtraction within 100, place value to 1000, multiplication foundations, fractions, measurement, time, money, and data analysis.",https://www.ixl.com/math/grade-2,IXL Learning,Learning Platform,"Mathematics, Arithmetic",2,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - 3rd Grade,"Third grade math with 500+ skills. Multiplication and division, fractions, area and perimeter, time, measurement, data, and problem-solving. Interactive practice with real-world applications.",https://www.ixl.com/math/grade-3,IXL Learning,Learning Platform,"Mathematics, Multiplication, Fractions",3,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - 4th Grade,"Fourth grade math covering 600+ skills. Multi-digit multiplication and division, fractions and decimals, measurement conversions, geometry, and data interpretation. Comprehensive skill building.",https://www.ixl.com/math/grade-4,IXL Learning,Learning Platform,"Mathematics, Fractions, Decimals, Geometry",4,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - 5th Grade,"Fifth grade math with 700+ skills. Decimal operations, fraction operations, volume, coordinate planes, and algebraic thinking. Prepare for middle school mathematics.",https://www.ixl.com/math/grade-5,IXL Learning,Learning Platform,"Mathematics, Decimals, Algebra Basics",5,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - 6th Grade,"Sixth grade math covering 800+ skills. Ratios, rates, percentages, negative numbers, algebraic expressions, equations, area, surface area, and statistics. Middle school mathematics foundation.",https://www.ixl.com/math/grade-6,IXL Learning,Learning Platform,"Mathematics, Algebra, Ratios, Statistics",6,Paid,Online,Self-paced,Low,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - 7th Grade,"Seventh grade math with 900+ skills. Proportional relationships, rational numbers, linear equations, geometric constructions, probability, and statistics. Advanced middle school topics.",https://www.ixl.com/math/grade-7,IXL Learning,Learning Platform,"Mathematics, Algebra, Geometry, Probability",7,Paid,Online,Self-paced,Low,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - 8th Grade,"Eighth grade math covering 1000+ skills. Linear functions, systems of equations, transformations, Pythagorean theorem, exponents, and scientific notation. Algebra 1 preparation.",https://www.ixl.com/math/grade-8,IXL Learning,Learning Platform,"Mathematics, Algebra, Functions, Geometry",8,Paid,Online,Self-paced,Low,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - Algebra 1,"Complete Algebra 1 curriculum with 1000+ skills. Linear equations, inequalities, systems, quadratic functions, polynomials, factoring, and exponential functions. High school mathematics foundation.",https://www.ixl.com/math/algebra-1,IXL Learning,Learning Platform,"Mathematics, Algebra, Equations, Functions",8-10,Paid,Online,Self-paced,Low,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - Geometry,"Comprehensive geometry curriculum with 900+ skills. Proofs, transformations, congruence, similarity, trigonometry, circles, and coordinate geometry. Visual and interactive practice.",https://www.ixl.com/math/geometry,IXL Learning,Learning Platform,"Mathematics, Geometry, Trigonometry, Proofs",9-11,Paid,Online,Self-paced,Medium,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - Algebra 2,"Advanced algebra with 1100+ skills. Polynomials, rational expressions, logarithms, sequences, series, conic sections, and complex numbers. College preparatory mathematics.",https://www.ixl.com/math/algebra-2,IXL Learning,Learning Platform,"Mathematics, Algebra, Advanced Math",10-12,Paid,Online,Self-paced,Medium,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - Precalculus,"Precalculus curriculum with 800+ skills. Advanced functions, trigonometry, vectors, matrices, parametric equations, and polar coordinates. Preparation for calculus.",https://www.ixl.com/math/precalculus,IXL Learning,Learning Platform,"Mathematics, Precalculus, Trigonometry, Advanced Math",11-12,Paid,Online,Self-paced,High,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Math - Calculus,"Calculus curriculum covering limits, derivatives, integrals, and applications. AP Calculus AB/BC aligned content with comprehensive practice problems.",https://www.ixl.com/math/calculus,IXL Learning,Learning Platform,"Mathematics, Calculus, Advanced Math",11-12,Paid,Online,Self-paced,High,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Science - 2nd Grade,"Elementary science curriculum with 150+ skills. Plants and animals, habitats, matter, forces, energy, weather, and scientific inquiry. Interactive diagrams and real-world scenarios.",https://www.ixl.com/science/grade-2,IXL Learning,Learning Platform,"Science, Biology, Physics, Earth Science",2,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Science - 3rd Grade,"Third grade science with 200+ skills. Life cycles, ecosystems, properties of matter, forces and motion, weather patterns, and engineering design. NGSS-aligned curriculum.",https://www.ixl.com/science/grade-3,IXL Learning,Learning Platform,"Science, Biology, Physics, Engineering",3,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
IXL Science - 4th Grade,"Fourth grade science covering 250+ skills. Energy transfer, waves, structures of life, Earth systems, natural resources, and technology. Interactive science simulations.",https://www.ixl.com/science/grade-4,IXL Learning,Learning Platform,"Science, Physics, Biology, Earth Science, Technology",4,Paid,Online,Self-paced,None,Medium,Rolling,High,Limited,Optional,Subscription,$100-$500,True,True,True,High,True,False,Required,International,Optional,False,None
