name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Intro to Programming,"Learn the fundamentals of programming with HTML, CSS, and Python. Build your first web page and simple programs. Project-based learning with step-by-step guidance. No prior programming experience required. Great introduction to computer science concepts.",https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Udacity,Online Course,"Computer Science, Programming",9-12,Free,Online,3 months at 10 hours/week,None,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Python Programming,"Learn Python fundamentals including data types, control flow, functions, and object-oriented programming. Hands-on exercises and projects. Use Python for data analysis and automation. Beginner-friendly with no prerequisites. Industry-relevant skills.",https://www.udacity.com/course/introduction-to-python--ud1110,Udacity,Online Course,"Computer Science, Programming",9-12,Free,Online,5 weeks at 5-10 hours/week,None,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to HTML and CSS,Learn to build and style web pages with HTML and CSS. Create responsive layouts and modern web designs. Hands-on projects building real websites. Perfect for beginners interested in web development. Foundation for front-end development.,https://www.udacity.com/course/intro-to-html-and-css--ud001,Udacity,Online Course,"Computer Science, Web Development",9-12,Free,Online,3 weeks at 5-10 hours/week,None,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to JavaScript,"Learn JavaScript programming fundamentals including variables, functions, arrays, and DOM manipulation. Build interactive web applications. Projects include games and dynamic websites. Beginner-friendly introduction to programming. Essential web development skill.",https://www.udacity.com/course/intro-to-javascript--ud803,Udacity,Online Course,"Computer Science, Programming",9-12,Free,Online,6 weeks at 5-10 hours/week,Basic,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Version Control with Git,"Learn essential version control skills using Git and GitHub. Track code changes, collaborate on projects, and manage repositories. Industry-standard tool for software development. Hands-on practice with real workflows. Great for students working on coding projects.",https://www.udacity.com/course/version-control-with-git--ud123,Udacity,Online Course,Computer Science,10-12,Free,Online,4 weeks at 3-5 hours/week,Basic,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Machine Learning,"Learn machine learning fundamentals including supervised and unsupervised learning. Explore classification, regression, and clustering algorithms. Use Python and scikit-learn. Real-world projects and applications. Great introduction to AI and data science.",https://www.udacity.com/course/intro-to-machine-learning--ud120,Udacity,Online Course,"Computer Science, Artificial Intelligence, Machine Learning",11-12,Free,Online,10 weeks at 6-8 hours/week,Medium,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Data Science,"Learn data science basics including data analysis, visualization, and statistical thinking. Use Python, pandas, and matplotlib. Analyze real datasets and extract insights. Project-based learning with practical applications. Foundation for data careers.",https://www.udacity.com/course/intro-to-data-science--ud359,Udacity,Online Course,"Data Science, Computer Science",10-12,Free,Online,8 weeks at 6-8 hours/week,Medium,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
SQL for Data Analysis,"Learn SQL for querying and analyzing data. Write complex queries, join tables, and aggregate data. Essential skill for data science and analytics. Hands-on practice with real databases. Beginner-friendly introduction to databases.",https://www.udacity.com/course/sql-for-data-analysis--ud198,Udacity,Online Course,"Data Science, Computer Science",10-12,Free,Online,4 weeks at 5-7 hours/week,None,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Algorithms,"Learn fundamental algorithms and data structures. Understand sorting, searching, and graph algorithms. Analyze algorithm complexity and efficiency. Use Python for implementation. Great for competitive programming and CS preparation.",https://www.udacity.com/course/intro-to-algorithms--cs215,Udacity,Online Course,"Computer Science, Algorithms",11-12,Free,Online,12 weeks at 6-8 hours/week,Medium,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Artificial Intelligence,"Explore AI fundamentals including search algorithms, game playing, machine learning, and robotics. Learn from AI pioneer Sebastian Thrun. Hands-on projects implementing AI techniques. Challenging but rewarding introduction to AI. Great for students interested in cutting-edge technology.",https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,Udacity,Online Course,"Computer Science, Artificial Intelligence",11-12,Free,Online,16 weeks at 8-10 hours/week,High,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Computer Science,Learn programming and computational thinking using Python. Build a search engine and social network. Problem-solving and algorithm design. No prior experience required. Excellent foundation for further CS study.,https://www.udacity.com/course/intro-to-computer-science--cs101,Udacity,Online Course,Computer Science,9-12,Free,Online,12 weeks at 6-8 hours/week,None,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Data Visualization and D3.js,"Learn to create interactive data visualizations using D3.js. Build charts, graphs, and dashboards. Combine JavaScript, HTML, CSS, and data. Project-based learning with real datasets. Great for students interested in data presentation.",https://www.udacity.com/course/data-visualization-and-d3js--ud507,Udacity,Online Course,"Data Science, Computer Science",10-12,Free,Online,7 weeks at 5-7 hours/week,Medium,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Cybersecurity,"Learn cybersecurity fundamentals including network security, cryptography, and secure coding. Understand common threats and defense mechanisms. Hands-on labs and simulations. Great introduction to security careers. Relevant for all computer users.",https://www.udacity.com/course/intro-to-cybersecurity--ud1337,Udacity,Online Course,"Computer Science, Cybersecurity",10-12,Free,Online,8 weeks at 4-6 hours/week,Basic,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Statistics,"Learn statistical concepts and methods for data analysis. Descriptive statistics, probability, inference, and hypothesis testing. Use real datasets and statistical software. Foundation for data science and research. Accessible to beginners.",https://www.udacity.com/course/intro-to-statistics--st101,Udacity,Online Course,"Mathematics, Statistics, Data Science",10-12,Free,Online,8 weeks at 5-7 hours/week,Basic,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
Introduction to Deep Learning with PyTorch,Learn neural networks and deep learning using PyTorch. Build image classifiers and sentiment analyzers. Understand backpropagation and optimization. Hands-on projects with real applications. Advanced course for motivated students.,https://www.udacity.com/course/deep-learning-pytorch--ud188,Udacity,Online Course,"Computer Science, Artificial Intelligence, Deep Learning",11-12,Free,Online,8 weeks at 6-8 hours/week,High,Medium,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,None
