name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Future City Competition - Full Program,"Premier middle school engineering competition where teams design cities of the future. Students work in teams of 3-4 with educator and engineer mentor to imagine, research, design, and build cities using engineering principles. Create virtual city design, physical tabletop model from recycled materials, project plan, and presentation. Annual theme focuses on real-world engineering challenges like clean water, urban resilience, or sustainable food systems.",https://futurecity.org/,DiscoverE Future City,Engineering Competition,"Engineering, Urban Planning, Sustainability, Environmental Science",6-8,Low-cost ($25 registration plus materials),School-based with regional finals,5-6 months (September-January),None,High,January (regional competition dates),Low,Limited scholarships available,Fee assistance offered,Model materials ($20-75 estimated),Under-$100,DiscoverE diversity and inclusion initiatives,True,True,High,True,True,Basic,National,Optional,True,Professional
Future City - SimCity Virtual City Component,"Digital city design component where students use SimCity software to create virtual model of their future city. Teams apply urban planning principles, zoning regulations, infrastructure design, and resource management. Learn computer-aided design while addressing engineering challenges like transportation networks, energy systems, and residential/commercial balance. Virtual city must align with physical model and project narrative.",https://futurecity.org/how-it-works,DiscoverE Future City,Engineering Competition,"Engineering, Urban Planning, Computer-Aided Design, Systems Thinking",6-8,Low-cost (included in registration),School-based,2-3 months (October-December),None,High,December-January (submission),Low,Included in competition fee,Fee assistance offered,None,Under-$100,DiscoverE diversity and inclusion initiatives,True,True,High,True,False,Basic,National,Optional,True,Professional
Future City - Physical Model Construction,"Hands-on engineering component requiring teams to build tabletop city model from recycled materials. Students design and construct 3D representation of their future city incorporating innovative solutions to annual theme. Model must be entirely constructed from recycled materials and powered by single 9-volt battery. Develops practical engineering, problem-solving, and creative design skills. Demonstrates sustainable design principles through material choices.",https://futurecity.org/how-it-works,DiscoverE Future City,Engineering Competition,"Engineering, Design, Sustainability, Materials Science",6-8,Low-cost (materials $20-75),School-based,3-4 months (September-January),None,High,January (regional competition),Low,Material grants available,Recycled materials reduce costs,Model materials ($20-75 estimated),Under-$100,DiscoverE diversity and inclusion initiatives,True,True,High,True,True,None,National,Optional,True,Professional
Future City - Engineering Essay Component,"Written component requiring 1,500-word abstract describing city design and engineering solutions. Students research real-world engineering challenges, explain innovative solutions, and justify design choices with scientific evidence. Essay addresses annual theme through lens of urban planning, environmental engineering, and sustainability. Develops technical writing, research, and critical thinking skills. Teams cite sources and explain engineering principles.",https://futurecity.org/how-it-works,DiscoverE Future City,Engineering Competition,"Engineering, Technical Writing, Research, Urban Planning",6-8,Low-cost (included in registration),School-based,2-3 months (research and writing),None,High,December-January (submission),Low,Included in competition fee,Fee assistance offered,None,Under-$100,DiscoverE diversity and inclusion initiatives,True,True,High,True,False,Basic,National,Optional,True,Professional
Future City - Oral Presentation and Q&A,"Public speaking component where teams deliver 7-minute presentation to judges at regional competition. Students explain city design, demonstrate engineering solutions, and answer technical questions from panel of engineers and educators. Entire team participates in presentation and question session. Develops communication skills, confidence, and ability to defend engineering decisions. Judges evaluate technical knowledge, teamwork, and presentation quality.",https://futurecity.org/how-it-works,DiscoverE Future City,Engineering Competition,"Engineering, Public Speaking, Communication, Teamwork",6-8,Low-cost (included in registration),Regional competition venue,"Preparation throughout competition, presentation day in January",None,High,January (regional competition day),Low,Travel assistance may be available,Fee assistance offered,None,Under-$100,DiscoverE diversity and inclusion initiatives,True,True,High,True,True,None,National,Optional,True,Professional
Future City - Regional Competition Finals,"Regional competition events held across United States where teams compete for advancement to national finals. Teams present cities to judges, display physical models, and compete against other schools. Winners receive awards, scholarships, and advance to national competition in Washington, D.C. Regional events include engineering activities, networking with professionals, and celebration of student innovation. Over 40 regional competitions nationwide.",https://futurecity.org/,DiscoverE Future City,Engineering Competition,"Engineering, Urban Planning, Sustainability",6-8,Low-cost (included in registration),"Regional competition venues (universities, companies)",1-2 days (regional competition),Medium,High,January (varies by region),Low,Travel assistance may be available,Fee assistance offered,Transportation to regional venue,Under-$100,DiscoverE diversity and inclusion initiatives,True,True,High,True,True,None,National,Optional,True,Professional
Future City - National Finals Competition,"Premier national engineering competition in Washington, D.C. where regional winners compete for top honors and scholarships. Teams participate in engineering challenges, present to national judges, and tour capital landmarks. National finalists receive all-expense-paid trip including travel, hotel, and meals. Winners receive college scholarships up to $7,500, trophies, and national recognition. Meet students from across country and professional engineers.",https://futurecity.org/,DiscoverE Future City,Engineering Competition,"Engineering, Urban Planning, Sustainability",6-8,Free (travel fully funded for national finalists),"Washington, D.C.",3-4 days (February),High,High,February (national finals),None,All expenses paid for finalists,None,None,Free,DiscoverE diversity and inclusion initiatives,True,True,High,True,True,None,National,Optional,True,Professional
Future City - Educator Curriculum and Resources,"Comprehensive curriculum materials and resources for teachers facilitating Future City teams. Includes lesson plans, engineering design activities, project management guides, rubrics, and timeline templates. Free downloadable resources align with NGSS standards and support student learning in engineering, sustainability, and urban planning. Professional development webinars help educators guide teams effectively.",https://futurecity.org/resources,DiscoverE Future City,Engineering Competition,"Engineering Education, Urban Planning, Sustainability",6-8,Free,Online resources,Self-paced (educator preparation),None,High,Available year-round,None,N/A,None,None,Free,DiscoverE diversity and inclusion initiatives,True,True,High,True,False,Basic,National,None,False,None
Future City - Engineer Mentor Partnerships,"Volunteer engineer mentorship program connecting professional engineers with student teams. Engineers guide students through design process, provide technical expertise, ask probing questions, and share real-world engineering experience. Mentors meet regularly with teams throughout competition season. Exposes students to engineering careers and professional role models. Mentors receive training and resources from Future City organization.",https://futurecity.org/how-it-works,DiscoverE Future City,Engineering Competition,"Engineering, Mentorship, Career Exploration",6-8,Free (mentor provided),School-based with virtual options,5-6 months (mentor meetings throughout competition),None,High,Ongoing throughout competition season,None,N/A,None,None,Free,DiscoverE diversity and inclusion initiatives,True,True,High,True,False,Basic,National,None,True,Professional
Future City - Special Recognition Awards,"Additional awards recognizing excellence in specific categories beyond overall competition winners. Special awards include Best Use of Recycled Materials, Most Innovative Energy Solution, Outstanding Research, Best Teamwork, and theme-specific engineering awards. Sponsored by engineering companies and professional societies. Winners receive prizes, certificates, and recognition from industry partners. Celebrates diverse talents and innovative approaches.",https://futurecity.org/,DiscoverE Future City,Engineering Competition,"Engineering, Innovation, Sustainability",6-8,Free (included in competition),Regional and national competitions,Full competition participation,None,High,January-February (award announcements),None,Prize awards,None,None,Free,DiscoverE diversity and inclusion initiatives,True,True,High,True,True,None,National,Optional,True,Professional
