name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Galápagos Islands Student Expedition,"Explore the living laboratory of evolution where Darwin developed his theory. Students study endemic species, marine ecosystems, and conservation efforts while snorkeling with sea lions and observing giant tortoises.",https://www.nationalgeographic.com/expeditions/student-expeditions/galapagos/,National Geographic,Expedition Program,"Environmental Science, Biology, Marine Science",9-12,"$6,500",International,10 days,Basic,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Costa Rica Wildlife Conservation Expedition,"Immerse in tropical biodiversity while contributing to sea turtle conservation efforts. Students conduct field research, assist with wildlife monitoring, and learn about rainforest ecology.",https://www.nationalgeographic.com/expeditions/student-expeditions/costa-rica/,National Geographic,Expedition Program,"Environmental Science, Biology, Conservation",9-12,"$5,800",International,8 days,Basic,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,True,False,False,High,False,True,None,National,Optional,True,Professional
Peru Archaeological Discovery Expedition,"Explore ancient Incan civilization through hands-on archaeological work and cultural immersion. Students learn excavation techniques, artifact analysis, and Andean cultural traditions.",https://www.nationalgeographic.com/expeditions/student-expeditions/peru/,National Geographic,Expedition Program,"Archaeology, Anthropology, History",9-12,"$7,200",International,12 days,Basic,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Iceland Geology and Climate Expedition,"Study volcanic activity, glacial processes, and climate change effects in Iceland. Students examine geothermal features, ice caves, and learn about renewable energy solutions.",https://www.nationalgeographic.com/expeditions/student-expeditions/iceland/,National Geographic,Expedition Program,"Geology, Climate Science, Environmental Science",9-12,"$8,200",International,10 days,Basic,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Borneo Rainforest Conservation Expedition,"Experience tropical rainforest biodiversity while contributing to orangutan conservation efforts. Students conduct primate research, learn about deforestation impacts, and engage with local communities.",https://www.nationalgeographic.com/expeditions/student-expeditions/borneo/,National Geographic,Expedition Program,"Environmental Science, Biology, Conservation",9-12,"$9,500",International,14 days,Medium,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,True,False,False,High,False,True,None,National,Optional,True,Professional
Yellowstone Wildlife Ecology Expedition,"Study North American wildlife ecosystems and conservation efforts in America's first national park. Students track wolves, observe bison herds, and learn about ecosystem restoration.",https://www.nationalgeographic.com/expeditions/student-expeditions/yellowstone/,National Geographic,Expedition Program,"Environmental Science, Biology, Wildlife Management",9-12,"$4,200",National,7 days,Basic,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Alaska Marine Science Expedition,"Explore marine ecosystems of Southeast Alaska while studying whales, glaciers, and coastal ecology. Students participate in whale research and learn about climate change impacts on Arctic systems.",https://www.nationalgeographic.com/expeditions/student-expeditions/alaska/,National Geographic,Expedition Program,"Marine Science, Environmental Science, Climate Science",9-12,"$6,800",National,9 days,Basic,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Grand Canyon Geology Expedition,"Study geological processes and deep time through hands-on exploration of the Grand Canyon. Students learn rock identification, geological mapping, and Colorado River ecology.",https://www.nationalgeographic.com/expeditions/student-expeditions/grand-canyon/,National Geographic,Expedition Program,"Geology, Environmental Science, Earth Science",9-12,"$3,800",National,6 days,Basic,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Monterey Bay Marine Discovery Program,"Introduction to marine science through exploration of Monterey Bay's diverse marine ecosystem. Middle school students study kelp forests, marine mammals, and ocean conservation.",https://www.nationalgeographic.com/expeditions/student-expeditions/monterey-bay/,National Geographic,Educational Travel,"Marine Science, Environmental Science, Biology",6-8,"$2,800",National,5 days,None,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Washington DC Science and Exploration Program,"Explore science museums, research institutions, and National Geographic headquarters. Middle school students engage with scientists, visit labs, and learn about careers in exploration.",https://www.nationalgeographic.com/expeditions/student-expeditions/washington-dc/,National Geographic,Educational Travel,"Science, Geography, Technology",6-8,"$2,200",National,4 days,None,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
National Geographic Photography Workshop,Learn visual storytelling techniques from National Geographic photographers while exploring natural landscapes. Students develop technical photography skills and environmental awareness.,https://www.nationalgeographic.com/expeditions/student-expeditions/photography/,National Geographic,Educational Travel,"Photography, Media, Environmental Science",9-12,"$4,500",National,8 days,Basic,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Digital Storytelling and Conservation Expedition,"Combine multimedia storytelling with conservation science to create compelling narratives about environmental issues. Students use video, photography, and digital media tools.",https://www.nationalgeographic.com/expeditions/student-expeditions/digital-storytelling/,National Geographic,Educational Travel,"Media, Environmental Science, Technology",9-12,"$5,200",National,10 days,Medium,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
Paleontology Field Research Expedition,Participate in authentic paleontological research through fossil excavation and analysis. Students learn scientific research methods while contributing to ongoing paleontological discoveries.,https://www.nationalgeographic.com/expeditions/student-expeditions/paleontology/,National Geographic,Expedition Program,"Paleontology, Geology, Biology",9-12,"$4,800",National,9 days,Medium,High,Seasonal applications,Prohibitive,False,Middle+,Travel,$2000+,False,False,False,High,False,True,None,National,Optional,True,Professional
