group_id,index1,index2,name1,name2,stem_fields1,stem_fields2,url,name_similarity,recommendation,reason
VAR_0,546,548,Team America Rocketry Challenge (TARC),TARC National Finals Competition,"Aerospace Engineering, Physics, Rocketry, Engineering Design","Aerospace Engineering, Physics, Rocketry, Career Exploration",http://www.rocketcontest.org/,31,keep_separate,Different STEM fields
VAR_1,546,551,Team America Rocketry Challenge (TARC),TARC Educational Resources and Curriculum,"Aerospace Engineering, Physics, Rocketry, Engineering Design","Aerospace Engineering, Physics, Mathematics, Engineering Design",http://www.rocketcontest.org/,43,keep_separate,Different STEM fields
VAR_2,546,553,Team America Rocketry Challenge (TARC),TARC Scholarships and Prize Awards,"Aerospace Engineering, Physics, Rocketry, Engineering Design","Aerospace Engineering, Career Development",http://www.rocketcontest.org/,39,keep_separate,Different STEM fields
VAR_3,548,551,TARC National Finals Competition,TARC Educational Resources and Curriculum,"Aerospace Engineering, Physics, Rocketry, Career Exploration","Aerospace Engineering, Physics, Mathematics, Engineering Design",http://www.rocketcontest.org/,47,keep_separate,Different STEM fields
VAR_4,548,553,TARC National Finals Competition,TARC Scholarships and Prize Awards,"Aerospace Engineering, Physics, Rocketry, Career Exploration","Aerospace Engineering, Career Development",http://www.rocketcontest.org/,36,keep_separate,Different STEM fields
VAR_5,551,553,TARC Educational Resources and Curriculum,TARC Scholarships and Prize Awards,"Aerospace Engineering, Physics, Mathematics, Engineering Design","Aerospace Engineering, Career Development",http://www.rocketcontest.org/,48,keep_separate,Different STEM fields
VAR_6,547,549,TARC Qualifying Flight Submissions,TARC Rocket Design and Construction,"Aerospace Engineering, Physics, Data Collection, Documentation","Aerospace Engineering, CAD Design, Materials Science, Mathematics",http://www.rocketcontest.org/rules,41,keep_separate,Different STEM fields
VAR_7,547,550,TARC Qualifying Flight Submissions,TARC Safety Certification and Training,"Aerospace Engineering, Physics, Data Collection, Documentation","Aerospace Engineering, Safety Engineering, Physics",http://www.rocketcontest.org/rules,44,keep_separate,Different STEM fields
VAR_8,549,550,TARC Rocket Design and Construction,TARC Safety Certification and Training,"Aerospace Engineering, CAD Design, Materials Science, Mathematics","Aerospace Engineering, Safety Engineering, Physics",http://www.rocketcontest.org/rules,55,keep_separate,Different STEM fields
VAR_9,554,555,TEAMS Middle School Competition,TEAMS High School Competition,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,87,keep_separate,Different target grades
VAR_10,554,556,TEAMS Middle School Competition,TEAMS Written Test Component,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,58,keep_separate,Different target grades
VAR_11,554,557,TEAMS Middle School Competition,TEAMS Design/Build Component,"Engineering, Mathematics, Science",Engineering,http://www.tsaweb.org/TEAMS,58,keep_separate,Different STEM fields
VAR_12,554,558,TEAMS Middle School Competition,TEAMS Preparation Resources,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,41,keep_separate,Different subject (ai)
VAR_13,554,559,TEAMS Middle School Competition,TSA TEAMS Championship,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,49,keep_separate,Different subject (mathematics)
VAR_14,555,556,TEAMS High School Competition,TEAMS Written Test Component,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,56,keep_separate,Different target grades
VAR_15,555,557,TEAMS High School Competition,TEAMS Design/Build Component,"Engineering, Mathematics, Science",Engineering,http://www.tsaweb.org/TEAMS,56,keep_separate,Different STEM fields
VAR_16,555,558,TEAMS High School Competition,TEAMS Preparation Resources,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,43,keep_separate,Different subject (ai)
VAR_17,555,559,TEAMS High School Competition,TSA TEAMS Championship,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,51,keep_separate,Different subject (mathematics)
VAR_18,556,557,TEAMS Written Test Component,TEAMS Design/Build Component,"Engineering, Mathematics, Science",Engineering,http://www.tsaweb.org/TEAMS,64,keep_separate,Different STEM fields
VAR_19,556,558,TEAMS Written Test Component,TEAMS Preparation Resources,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,51,keep_separate,Different subject (ai)
VAR_20,556,559,TEAMS Written Test Component,TSA TEAMS Championship,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,48,keep_separate,Different subject (mathematics)
VAR_21,557,558,TEAMS Design/Build Component,TEAMS Preparation Resources,Engineering,"Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,44,keep_separate,Different STEM fields
VAR_22,557,559,TEAMS Design/Build Component,TSA TEAMS Championship,Engineering,"Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,44,keep_separate,Different STEM fields
VAR_23,558,559,TEAMS Preparation Resources,TSA TEAMS Championship,"Engineering, Mathematics, Science","Engineering, Mathematics, Science",http://www.tsaweb.org/TEAMS,45,keep_separate,Different subject (mathematics)
VAR_24,602,1674,International Olympiad in Informatics (IOI) - USA Team,USACO - USA Computing Olympiad,"Computer Science, Algorithms","Computer Science, Programming, Algorithms",http://www.usaco.org/,33,keep_separate,Different STEM fields
