name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Computer Science Fundamentals - Course A,"Introduction to computer science for pre-readers. Students learn programming concepts through visual programming blocks, focusing on sequencing, loops, and problem-solving skills.",https://code.org/educate/curriculum/express-course,Code.org,Online Course,"Computer Science, Programming",K-1,Free,Online,Self-paced (10-15 hours),None,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,Basic,National,None,False,None
Computer Science Fundamentals - Course B,"Programming fundamentals for early readers using visual blocks. Students explore basic programming concepts including loops, events, and simple algorithms through interactive activities.",https://code.org/educate/curriculum/elementary-school,Code.org,Online Course,"Computer Science, Programming",1-2,Free,Online,Self-paced (15-20 hours),None,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Computer Science Fundamentals - Course C,"Intermediate programming concepts for elementary students. Introduction to loops, conditionals, and functions through drag-and-drop programming in engaging games and activities.",https://code.org/educate/curriculum/elementary-school,Code.org,Online Course,"Computer Science, Programming",2-3,Free,Online,Self-paced (20-25 hours),Basic,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Computer Science Fundamentals - Course D,"Advanced elementary programming covering nested loops, functions with parameters, and basic algorithms. Students create interactive stories and games while learning logical thinking.",https://code.org/educate/curriculum/elementary-school,Code.org,Online Course,"Computer Science, Programming",3-4,Free,Online,Self-paced (25-30 hours),Basic,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
CS Discoveries,"Comprehensive computer science curriculum for middle school covering programming, web development, data science, and artificial intelligence through hands-on projects and creative expression.",https://code.org/educate/csd,Code.org,Online Course,"Computer Science, Programming",6-8,Free,Online,Semester (18-20 weeks),None,High,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Adult
CS Principles,"AP Computer Science Principles equivalent course covering programming, algorithms, data representation, cybersecurity, and the impact of computing on society through collaborative projects.",https://code.org/educate/csp,Code.org,Online Course,"Computer Science, Programming",9-12,Free,Online,Full year (30-35 weeks),Basic,High,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Adult
Hour of Code - Minecraft,One-hour introduction to programming using Minecraft characters and environments. Students learn basic coding concepts through block-based programming in a familiar gaming context.,https://code.org/minecraft,Code.org,Coding Program,"Computer Science, Programming",2-12,Free,Online,1 hour,None,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,Basic,National,None,False,None
Hour of Code - Star Wars,Programming introduction featuring Star Wars characters and storylines. Students use visual programming blocks to guide BB-8 and other characters through coding challenges and adventures.,https://code.org/starwars,Code.org,Coding Program,"Computer Science, Programming",2-12,Free,Online,1 hour,None,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,Basic,National,None,False,None
Hour of Code - Frozen,Creative programming activity using Disney Frozen characters. Students learn basic programming concepts while creating interactive animations and controlling character movements through code.,https://code.org/frozen,Code.org,Coding Program,"Computer Science, Programming",K-8,Free,Online,1 hour,None,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
CS Fundamentals Express,Accelerated introduction to computer science fundamentals combining concepts from multiple grade levels. Perfect for students who want to quickly learn basic programming concepts.,https://code.org/educate/curriculum/express-course,Code.org,Online Course,"Computer Science, Programming",4-12,Free,Online,Self-paced (10-20 hours),None,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,Basic,National,None,False,None
App Lab Programming,JavaScript programming environment for creating mobile apps and interactive websites. Students learn text-based coding while building real applications with user interfaces and data storage.,https://code.org/educate/applab,Code.org,Online Course,"Computer Science, Programming",8-12,Free,Online,Project-based (varies),Medium,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Web Lab Development,"HTML, CSS, and web development fundamentals for creating responsive websites. Students learn front-end web development skills through hands-on projects and real-world applications.",https://code.org/educate/weblab,Code.org,Online Course,"Computer Science, Programming",6-12,Free,Online,Project-based (varies),Basic,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Game Lab Programming,"JavaScript-based game development environment for creating interactive 2D games. Students learn programming concepts through game design including sprites, animations, and user interaction.",https://code.org/educate/gamelab,Code.org,Online Course,"Computer Science, Programming",6-12,Free,Online,Project-based (varies),Medium,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
CS in Algebra,Integration of computer science concepts with algebra curriculum. Students learn programming while reinforcing mathematical concepts through computational thinking and problem-solving activities.,https://code.org/educate/algebra,Code.org,Online Course,"Computer Science, Programming",7-9,Free,Online,Semester integration,Basic,High,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Adult
CS in Science,Computer science integration with science curriculum using computational modeling and data analysis. Students explore scientific concepts through programming and simulation activities.,https://code.org/educate/science,Code.org,Online Course,"Computer Science, Programming",6-12,Free,Online,Curriculum integration,Basic,High,Open enrollment,None,False,Any,None,Free,True,True,True,High,True,False,Basic,National,None,False,None
