name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
FIRST LEGO League Explore,"Introductory LEGO robotics program for younger students. Teams work together to explore real-world themes, build motorized LEGO models, and create Show Me posters.",https://www.firstinspires.org/,FIRST,Competition,"Robotics, Engineering, Programming",K-4,Paid,In-person,12-16 weeks (2 hours/week),None,High,Regional events,Medium,True,Optional,Equipment,$100-$500,False,True,True,Medium,True,True,Helpful,National,Medium,True,Teacher
FIRST LEGO League Challenge,"Competitive robotics program for grades 4-8. Teams design, build, and program LEGO robots to complete missions on a themed game board while also researching real-world problems.",https://www.firstinspires.org/,FIRST,Competition,"Robotics, Engineering, Programming",4-8,Paid,In-person,12-16 weeks (3-4 hours/week),Low,High,Regional events,Medium,True,Optional,Equipment,$100-$500,False,True,True,Medium,True,True,Helpful,National,Medium,True,Teacher
VEX IQ Competition,"Elementary and middle school robotics competition using VEX IQ platform. Students build and program robots, work in teams, and compete in challenges.",https://www.vexrobotics.com/,VEX Robotics,Competition,"Robotics, Engineering, Programming",4-8,Paid,In-person,12-20 weeks (3-5 hours/week),Low,High,Regional events,Medium,True,Optional,Equipment,$500-$1000,False,True,True,Medium,True,True,Helpful,National,Medium,True,Teacher
VEX Robotics Competition,"High school robotics competition with VEX V5 platform. Teams design, build, and program advanced robots for strategic gameplay. Includes engineering notebook documentation.",https://www.vexrobotics.com/,VEX Robotics,Competition,"Robotics, Engineering, Programming",9-12,Paid,In-person,20-30 weeks (5-8 hours/week),Medium,High,Regional events,High,True,Optional,Equipment,$1000+,False,True,True,Medium,True,True,Helpful,National,Low,True,Teacher
FIRST Tech Challenge,"Middle and high school robotics competition. Teams design, build, and program robots using Android platform. Combines hardware design with software programming.",https://www.firstinspires.org/,FIRST,Competition,"Robotics, Engineering, Programming",7-12,Paid,In-person,16-24 weeks (4-6 hours/week),Medium,High,Regional events,High,True,Optional,Equipment,$1000+,False,True,True,Medium,True,True,Required,National,Medium,True,Professional
FIRST Robotics Competition,"Premier high school robotics challenge. Teams build large-scale robots in 6-week build season, compete in regional and world championships. Industry mentorship and college scholarships.",https://www.firstinspires.org/,FIRST,Competition,"Robotics, Engineering, Programming",9-12,Paid,In-person,6 weeks intense + competition season,Medium,High,January-April,High,True,Optional,Equipment-Travel,$1000+,False,True,True,Medium,True,True,Required,National,Medium,True,Professional
Arduino Youth Robotics Clubs,"Afterschool robotics programs using Arduino microcontrollers. Students learn electronics, programming, and build custom robots. Flexible curriculum for all skill levels.",https://www.arduino.cc/,Arduino Education,Afterschool Program,"Robotics, Electronics, Programming",6-12,Paid,In-person,Academic year (2-3 hours/week),Low,High,Rolling,Medium,True,Optional,Equipment,$100-$500,False,True,True,Medium,True,True,Helpful,National,Low,True,Teacher
FIRST Robotics Summer Camps,"Week-long robotics camps introducing students to FIRST programs. Hands-on robot building, programming workshops, and team challenges.",https://www.firstinspires.org/,FIRST,Camp,"Robotics, Engineering, Programming",4-12,Paid,In-person,1 week (full day),None,High,Summer sessions,Medium,True,Optional,None,$100-$500,False,True,True,Medium,True,True,None,National,Low,True,Teacher
VEX Robotics Summer Camps,"Intensive robotics camps using VEX platforms. Students learn robot design, build skills, and programming. Culminates in mini-competition.",https://www.vexrobotics.com/,VEX Robotics,Camp,"Robotics, Engineering, Programming",5-12,Paid,In-person,1-2 weeks (full day),None,High,Summer sessions,Medium,True,Optional,None,$500-$1000,False,True,True,Medium,True,True,None,National,Low,True,Teacher
VEX VR Virtual Robotics,Online robotics programming using VEXcode VR simulator. Students code virtual robots without physical hardware. Accessible and low-cost entry to robotics.,https://www.vexrobotics.com/,VEX Robotics,Online Class,"Robotics, Programming, Computer Science",4-12,Free,Online,Self-paced,None,Medium,None,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,Low,False,None
