name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
National Merit Scholarship Program - STEM Award,"$2,500 scholarship for high school seniors demonstrating exceptional STEM abilities. Based on PSAT/NMSQT scores and academic excellence in science and mathematics.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"General STEM, Mathematics, Science",11-12,Free,Online,Variable (application),High,Medium,October 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
NSBE Jr. High School STEM Scholarship,"$3,000 scholarship for African American high school students pursuing STEM degrees. Recognizes academic achievement and leadership in engineering and technology.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"Engineering, Computer Science, Technology",9-12,Free,Online,Variable (application),Medium,Medium,April 30,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
SWE High School Scholarship,"$3,000 scholarship for female high school students planning to study engineering or computer science. Recognizes women pursuing STEM careers.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"Engineering, Computer Science",11-12,Free,Online,Variable (application),Medium,Medium,February 15,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Dell Scholars Program - STEM Track,"$20,000 scholarship for low-income high school students pursuing STEM degrees. Includes laptop and ongoing support throughout college.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"General STEM, Computer Science, Engineering",12,Free,Online,Variable (application),Medium,High,December 1,None,True,Required,None,Free,True,True,True,High,True,False,Required,National,Optional,True,None
Coca-Cola Scholars Program - STEM Award,"$20,000 scholarship for high school seniors with outstanding leadership and STEM achievement. Highly competitive national scholarship.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"General STEM, Science, Mathematics",12,Free,Online,Variable (application),High,Medium,October 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Gates Scholarship - STEM Emphasis,Full tuition scholarship for minority high school seniors pursuing STEM fields. Covers full cost of attendance not covered by financial aid.,https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"General STEM, Computer Science, Engineering, Science",12,Free,Online,Variable (application),High,High,September 15,None,True,Required,None,Free,True,True,True,High,True,False,Required,National,Optional,True,None
Ron Brown Scholar Program - STEM,"$40,000 scholarship for African American high school seniors pursuing STEM. Renewable award for exceptional academic achievement.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"General STEM, Engineering, Science, Technology",12,Free,Online,Variable (application),High,High,January 9,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Intel Science Talent Search Scholarship,"$7,500-$250,000 for high school seniors with exceptional STEM research projects. Recognizes independent research in science and mathematics.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"Science, Mathematics, Engineering, Computer Science",12,Free,Online,Variable (application),High,Medium,November 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
STEM Education Coalition Scholarship,"$2,500 for high school students planning STEM careers. Recognizing commitment to science, technology, engineering, and mathematics.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"General STEM, Engineering, Technology",11-12,Free,Online,Variable (application),Medium,Medium,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Best Buy @ 15 Scholarship - Technology Track,"$2,500 scholarship for high school students pursuing technology and computer science. For students with GPA 2.5+ interested in tech careers.",https://bigfuture.collegeboard.org/scholarships,College Board BigFuture,Scholarship,"Computer Science, Technology, Software Engineering",11-12,Free,Online,Variable (application),Low,Medium,February 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
