name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
SplashLearn Math - Pre-Kindergarten,"Game-based PreK math program covering counting 1-10, number recognition, basic shapes, colors, patterns, and comparisons. Interactive games and activities designed for early learners. Free and premium content available.",https://www.splashlearn.com/math/preschool,SplashLearn,Learning Platform,"Mathematics, Early Math, Counting",PreK,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Math - Kindergarten,"Kindergarten math games covering counting to 20, addition and subtraction basics, place value, measurement, shapes, and data. Aligned to Common Core standards with engaging characters and rewards.",https://www.splashlearn.com/math/kindergarten,SplashLearn,Learning Platform,"Mathematics, Arithmetic, Geometry",K,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Math - 1st Grade,"First grade math curriculum with 350+ games. Addition and subtraction within 20, place value to 100, measurement, time, money, and geometry. Personalized learning paths adapt to student progress.",https://www.splashlearn.com/math/grade-1,SplashLearn,Learning Platform,"Mathematics, Addition, Subtraction, Place Value",1,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Math - 2nd Grade,"Second grade math with 400+ interactive games. Addition and subtraction within 100, place value to 1000, multiplication foundations, measurement, time, money, and data. Real-time progress tracking.",https://www.splashlearn.com/math/grade-2,SplashLearn,Learning Platform,"Mathematics, Multiplication, Place Value, Measurement",2,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Math - 3rd Grade,"Third grade math featuring 450+ games. Multiplication and division, fractions, area and perimeter, time, measurement, and data analysis. Adaptive difficulty adjusts to student mastery level.",https://www.splashlearn.com/math/grade-3,SplashLearn,Learning Platform,"Mathematics, Multiplication, Division, Fractions",3,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Math - 4th Grade,"Fourth grade math with 500+ engaging games. Multi-digit multiplication and division, fractions and decimals, measurement conversions, geometry, and data interpretation. Standards-aligned curriculum.",https://www.splashlearn.com/math/grade-4,SplashLearn,Learning Platform,"Mathematics, Fractions, Decimals, Geometry",4,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Math - 5th Grade,"Fifth grade math curriculum with 550+ games. Decimal operations, fraction operations, volume, coordinate planes, and algebraic thinking. Prepares students for middle school mathematics.",https://www.splashlearn.com/math/grade-5,SplashLearn,Learning Platform,"Mathematics, Decimals, Fractions, Algebra Basics",5,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Reading - Pre-Kindergarten,"PreK reading program introducing letter recognition, phonics basics, sight words, and pre-reading skills. Interactive stories and activities build early literacy foundation through play.",https://www.splashlearn.com/ela/preschool,SplashLearn,Learning Platform,"Reading, Literacy, Phonics",PreK,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Reading - Kindergarten,"Kindergarten reading curriculum with phonics, sight words, letter sounds, simple sentences, and reading comprehension. Engaging stories and games develop foundational reading skills.",https://www.splashlearn.com/ela/kindergarten,SplashLearn,Learning Platform,"Reading, Phonics, Literacy, Sight Words",K,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Reading - 1st Grade,"First grade reading program covering phonics rules, sight words, vocabulary development, reading fluency, and comprehension strategies. Interactive leveled readers with comprehension questions.",https://www.splashlearn.com/ela/grade-1,SplashLearn,Learning Platform,"Reading, Phonics, Comprehension, Vocabulary",1,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Reading - 2nd Grade,"Second grade reading with advanced phonics, vocabulary expansion, reading comprehension, and writing basics. Diverse texts including fiction, nonfiction, and poetry with skill-building activities.",https://www.splashlearn.com/ela/grade-2,SplashLearn,Learning Platform,"Reading, Comprehension, Vocabulary, Writing",2,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Reading - 3rd Grade,"Third grade reading focusing on fluency, comprehension strategies, literary analysis, vocabulary development, and grammar. Complex texts with higher-level thinking questions.",https://www.splashlearn.com/ela/grade-3,SplashLearn,Learning Platform,"Reading, Comprehension, Grammar, Literary Analysis",3,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Medium,False,None
SplashLearn Parent Dashboard,"Comprehensive parent dashboard with real-time progress tracking, skill mastery reports, time spent learning, and personalized recommendations. Monitor child learning and identify areas for improvement.",https://www.splashlearn.com/parents,SplashLearn,Learning Platform,"Educational Technology, Parent Engagement",PreK-5,Freemium,Online,Variable,None,Medium,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,High,False,Parent
SplashLearn Rewards and Motivation System,"Gamification features with virtual coins, pet customization, rewards, and achievement badges. Motivate children to practice regularly through engaging game mechanics and personalized avatars.",https://www.splashlearn.com/,SplashLearn,Learning Platform,"Educational Gamification, Motivation",PreK-5,Freemium,Online,Self-paced,None,Low,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,False,None
SplashLearn Adaptive Learning Engine,"AI-powered adaptive learning technology that personalizes difficulty, pacing, and content based on individual student performance. Identifies knowledge gaps and provides targeted practice for mastery.",https://www.splashlearn.com/,SplashLearn,Learning Platform,"Educational Technology, Adaptive Learning, AI",PreK-5,Freemium,Online,Self-paced,None,High,Rolling,Low,Not applicable,Not required,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,False,None
