rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,HackerRank - Competitive Programming and Challenges,Program/Initiative,Artificial Intelligence/Machine Learning,Low,Virtual,9-12,0.597,https://www.hackerrank.com/,"Platform offering coding challenges, competitions, and certifications. Free access to practice problems in algorithms, data structures, AI, and more. Regular competitions with prizes. This Program foc..."
2,Scholly - AI and Machine Learning Scholarship,Scholarship,Artificial Intelligence/Machine Learning,Low,Virtual,11-12,0.567,https://myscholly.com/computer-science-scholarships/,"$500-$2,000 scholarship for students exploring artificial intelligence and machine learning. Open to students learning about neural networks, data science, or AI applications. Submit project descripti..."
3,Codeforces Problem Archive,Learning Platform,Software Engineering,Low,Online,9-12,0.556,https://codeforces.com/problemset,"Extensive archive of 7000+ programming problems across all difficulty levels. Problems tagged by topic including algorithms, data structures, math, and more. This Learning Platform focuses on Computer..."
4,Pioneer Academics - Artificial Intelligence and Machine Learning,Other,Artificial Intelligence/Machine Learning,High,Online,11-12,0.545,https://pioneeracademics.com/subjects/,"Research track exploring artificial intelligence, machine learning algorithms, and neural networks. Work with professor specializing in AI to develop original research project. Topics may include comp..."
5,Introduction to Machine Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,11-12,0.539,https://www.udacity.com/course/intro-to-machine-learning--ud120,"Learn machine learning fundamentals including supervised and unsupervised learning. Explore classification, regression, and clustering algorithms. Use Python and scikit-learn. Real-world projects and ..."
6,Coding Rooms - Data Structures and Algorithms,Learning Platform,Software Engineering,Low,Online,9-12,0.530,https://www.codingrooms.com/curriculum,"Computer science fundamentals covering arrays, linked lists, stacks, queues, trees, graphs, sorting, searching, and algorithm analysis. Essential for competitive programming and technical interviews. ..."
7,Stanford Pre-Collegiate Artificial Intelligence,Summer Program,Artificial Intelligence/Machine Learning,High,Residential,9-12,0.526,https://summerinstitutes.spcs.stanford.edu/,"Advanced AI and machine learning program covering neural networks, computer vision, natural language processing, and AI ethics. Programming projects using Python and ML frameworks. Learn from Stanford..."
8,TKS - Artificial Intelligence and Machine Learning Focus,Program/Initiative,Artificial Intelligence/Machine Learning,High,Online,8-12,0.525,https://www.tks.world/program,"Deep dive into AI and machine learning within TKS program. Learn neural networks, computer vision, natural language processing, and AI ethics. Build AI-powered applications and models. Work on real-wo..."
9,Polygence - Computer Science and AI Projects,Mentorship Program,Artificial Intelligence/Machine Learning,High,Online,8-12,0.515,https://www.polygence.org/programs,"One-on-one mentorship in computer science, artificial intelligence, and machine learning. Build software applications, train neural networks, or explore computational theory. Projects can include deve..."
10,Brilliant.org Machine Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,10-12,0.498,https://brilliant.org/courses/machine-learning/,"Introduction to AI and machine learning concepts. Learn classification, regression, and neural networks through interactive visualizations. No advanced math required initially. Build ML intuition. Gre..."
11,Artificial Intelligence Learning Path,Other,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.473,https://skillsbuild.org/students,"Comprehensive learning path covering AI fundamentals, machine learning concepts, and practical applications. Students learn about neural networks, AI ethics, and real-world AI implementations. Suitabl..."
12,AI Scholars,Summer Program,Artificial Intelligence/Machine Learning,High,Residential,9-12,0.469,https://www.cmu.edu/pre-college/,"Intensive summer program exploring artificial intelligence and machine learning. Students work on AI projects, learn from CMU faculty, and gain hands-on experience with cutting-edge AI technologies. C..."
13,Learn Machine Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,11-12,0.468,https://www.codecademy.com/learn/machine-learning,"Introduction to machine learning concepts using Python. Learn supervised learning, data preprocessing, and model evaluation techniques for beginners. This Online Course focuses on Computer Science, Da..."
14,Raising Student Voice - AI and Machine Learning Challenge,Competition,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.464,https://www.raisingstudentvoice.com/competitions/ai-ml,Competition focused on artificial intelligence and machine learning projects for high school students. Students develop AI models to solve real-world problems. This Competition focuses on Artificial I...
15,AI4ALL Open Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,12-SEP,0.464,https://ai-4-all.org/open-learning/,"Free self-paced AI curriculum available year-round. Video lectures, coding exercises, and projects. Learn AI fundamentals at your own pace. Topics include machine learning, neural networks, and AI eth..."
