name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Scholly - National STEM Achievement Scholarship,"$1,000-$5,000 scholarship for high school students pursuing STEM degrees. Open to all students with minimum 3.0 GPA in STEM courses. Essay required describing STEM passion and career goals. All STEM majors eligible including science, technology, engineering, and mathematics. One-time award for college expenses. No geographic restrictions. Application includes transcript and letter of recommendation.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,1-2 hours,Low,Low,March,None,Scholarship-Award,Not required,None,Free,False,True,True,Low,True,False,Required,National,Low,False,None
Scholly - Black Students in STEM Scholarship,"$2,500-$10,000 scholarship specifically for Black high school students pursuing STEM careers. Recognizing and supporting Black excellence in science, technology, engineering, and mathematics. Essay about overcoming challenges and commitment to STEM. Minimum 2.5 GPA required. Priority for students from underserved communities. Renewable with reapplication and maintaining good academic standing. Multiple awards given annually.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,2-3 hours,Low,Low,April,None,Scholarship-Award,Preferred,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Scholly - Future Coders Scholarship,"$500-$2,500 scholarship for students learning programming and computer science. Open to high school students with interest in software development, web development, or app creation. Submit portfolio of coding projects or essay about programming journey. All skill levels welcome from beginners to advanced. No minimum GPA requirement. Judges evaluate passion and potential over experience.",https://myscholly.com/computer-science-scholarships/,Scholly,Scholarship,"Computer Science, Programming, Software Development, Web Development",9-12,Free,Virtual,2-4 hours,Low,Low,May,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Scholly - Women in Tech Scholarship,"$1,000-$5,000 scholarship for female students pursuing computer science or technology degrees. Addressing gender gap in technology fields. Essay describing how you will contribute to diversity in tech industry. Minimum 3.0 GPA preferred. Open to all high school grades. Preference for students participating in coding clubs, hackathons, or tech competitions.",https://myscholly.com/computer-science-scholarships/,Scholly,Scholarship,"Computer Science, Technology, Software Engineering, Information Technology",9-12,Free,Virtual,1-2 hours,Low,Low,February,None,Scholarship-Award,Not required,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Scholly - Cybersecurity Future Leaders Award,"$1,500-$3,000 scholarship for students interested in cybersecurity and information security careers. Open to students learning about ethical hacking, network security, or digital forensics. Essay about importance of cybersecurity in modern world. Participation in CyberPatriot or similar programs helpful. No GPA requirement. Focus on students committed to protecting digital infrastructure.",https://myscholly.com/computer-science-scholarships/,Scholly,Scholarship,"Cybersecurity, Information Security, Computer Science, Ethical Hacking",10-12,Free,Virtual,1-2 hours,Low,Low,March,None,Scholarship-Award,Not required,None,Free,False,True,True,Low,True,False,Required,National,Low,False,None
Scholly - AI and Machine Learning Scholarship,"$500-$2,000 scholarship for students exploring artificial intelligence and machine learning. Open to students learning about neural networks, data science, or AI applications. Submit project description or essay about AI potential. All experience levels welcome. Emphasis on ethical AI development and social applications of machine learning.",https://myscholly.com/computer-science-scholarships/,Scholly,Scholarship,"Artificial Intelligence, Machine Learning, Data Science, Computer Science",10-12,Free,Virtual,2-3 hours,Medium,Low,April,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Scholly - Aspiring Engineers Scholarship,"$1,000-$5,000 scholarship for high school students planning to pursue engineering degrees. All engineering disciplines eligible including mechanical, electrical, civil, chemical, and biomedical. Essay describing engineering problem you want to solve. Minimum 3.0 GPA preferred. Participation in robotics, engineering clubs, or STEM competitions encouraged.",https://myscholly.com/engineering-scholarships/,Scholly,Scholarship,"Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering",10-12,Free,Virtual,2-3 hours,Medium,Low,March,None,Scholarship-Award,Not required,None,Free,False,True,True,Low,True,False,Required,National,Low,False,None
Scholly - Women in Engineering Award,"$2,000-$7,500 scholarship for female students pursuing engineering education. Addressing underrepresentation of women in engineering fields. Essay about overcoming gender barriers and engineering aspirations. Minimum 2.5 GPA required. Priority for students from underrepresented minorities. Support for students who will be first in family to attend college.",https://myscholly.com/engineering-scholarships/,Scholly,Scholarship,"Engineering, STEM, Mechanical Engineering, Biomedical Engineering",9-12,Free,Virtual,2-3 hours,Low,Low,April,None,Scholarship-Award,Preferred,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Scholly - Sustainable Engineering Scholarship,"$500-$3,000 scholarship for students passionate about environmental engineering and sustainability. Open to students interested in renewable energy, green technology, or sustainable design. Essay describing how engineering can solve environmental challenges. No minimum GPA. Focus on innovative thinking and environmental commitment.",https://myscholly.com/engineering-scholarships/,Scholly,Scholarship,"Engineering, Environmental Engineering, Renewable Energy, Sustainability",9-12,Free,Virtual,1-2 hours,Low,Low,May,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Scholly - Robotics and Automation Scholarship,"$1,000-$4,000 scholarship for students interested in robotics engineering and automation. Participation in FIRST Robotics, VEX Robotics, or similar programs encouraged. Essay or video describing robotics project or team experience. Open to all skill levels. Emphasis on teamwork and problem-solving abilities.",https://myscholly.com/engineering-scholarships/,Scholly,Scholarship,"Robotics, Engineering, Automation, Mechatronics, Design",9-12,Free,Virtual,2-4 hours,Low,Low,February,None,Scholarship-Award,Not required,None,Free,False,True,True,Low,True,False,Required,National,Low,False,None
Scholly - Future Scientists Award,"$500-$3,000 scholarship for students pursuing careers in natural sciences. Open to students interested in biology, chemistry, physics, or earth sciences. Essay describing scientific question you want to answer. Science fair participation or research experience helpful but not required. Minimum 3.0 GPA in science courses preferred.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"Science, Biology, Chemistry, Physics, Earth Science",9-12,Free,Virtual,2-3 hours,Low,Low,March,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Scholly - Environmental Science Leaders,"$1,000-$4,000 scholarship for students passionate about environmental conservation and climate science. Essay about environmental issue affecting your community and proposed solutions. Open to students interested in environmental science, ecology, or conservation biology. Volunteer work in environmental organizations encouraged.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"Environmental Science, Ecology, Conservation, Climate Science, Sustainability",9-12,Free,Virtual,2-3 hours,Low,Low,April,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Scholly - Biomedical Science Scholarship,"$1,500-$5,000 scholarship for students interested in biomedical sciences and healthcare. Open to students pursuing biology, biochemistry, or pre-medicine. Essay describing disease or medical condition you want to research. Healthcare volunteering or laboratory experience valued. Commitment to improving health outcomes.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"Biomedical Science, Biology, Biochemistry, Pre-Medicine, Health Science",10-12,Free,Virtual,2-3 hours,Medium,Low,February,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Scholly - Chemistry Innovation Award,"$500-$2,500 scholarship for students pursuing chemistry or chemical engineering. Open to students taking chemistry courses and interested in chemical research or industry. Essay about chemical innovation that impacts daily life. Laboratory coursework encouraged. No minimum GPA requirement.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"Chemistry, Chemical Engineering, Biochemistry, Materials Science",10-12,Free,Virtual,1-2 hours,Low,Low,May,None,Scholarship-Award,Not required,None,Free,False,True,True,Low,True,False,Required,National,Low,False,None
Scholly - Physics and Astronomy Scholarship,"$500-$2,000 scholarship for students passionate about physics or astronomy. Essay describing physics concept that fascinates you or astronomical discovery you find inspiring. Open to students taking physics courses. Participation in astronomy clubs or physics competitions encouraged. No GPA requirement.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"Physics, Astronomy, Astrophysics, Space Science",9-12,Free,Virtual,1-2 hours,Low,Low,March,None,Scholarship-Award,Not required,None,Free,False,True,True,Low,True,False,Required,National,Low,False,None
Scholly - Math Excellence Scholarship,"$500-$2,500 scholarship for students excelling in mathematics. Open to students planning to major in mathematics, statistics, or actuarial science. Submit transcript showing strong math performance. Essay describing favorite math concept and real-world applications. Math competition participation helpful.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"Mathematics, Statistics, Applied Mathematics, Actuarial Science",10-12,Free,Virtual,1-2 hours,Medium,Low,April,None,Scholarship-Award,Not required,None,Free,False,True,True,Low,True,False,Required,National,Low,False,None
Scholly - Data Science Scholars,"$1,000-$3,000 scholarship for students interested in data science and analytics. Open to students learning data analysis, statistical modeling, or data visualization. Submit portfolio of data projects or essay about data applications. Knowledge of Python or R helpful but not required.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"Data Science, Statistics, Analytics, Mathematics, Computer Science",10-12,Free,Virtual,2-4 hours,Medium,Low,March,None,Scholarship-Award,Not required,None,Free,True,True,True,Low,True,False,Required,National,Low,False,None
Scholly - Minority STEM Leaders Scholarship,"$1,500-$7,500 scholarship for underrepresented minority students pursuing STEM degrees. Open to Black, Hispanic/Latinx, and Native American students. Essay about experiences with diversity in STEM and future goals. Minimum 2.5 GPA required. Priority for first-generation college students and those from low-income families. Multiple awards annually.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,2-3 hours,Low,Low,March,None,Scholarship-Award,Preferred,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Scholly - First-Generation STEM Scholars,"$1,000-$5,000 scholarship for first-generation college students pursuing STEM degrees. Open to students whose parents did not complete four-year college degree. Essay about challenges of being first-generation and commitment to STEM. Minimum 2.5 GPA. Priority for students from underrepresented minorities and low-income families.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,2-3 hours,Low,Low,April,None,Scholarship-Award,Preferred,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Scholly - Low-Income STEM Achievers,"$1,500-$7,500 scholarship for students from low-income families pursuing STEM degrees. Financial need-based award supporting students who face economic barriers. Essay about overcoming financial challenges while pursuing STEM. Documentation of family income required. Minimum 2.5 GPA. Multiple awards annually.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,2-3 hours,Low,Low,May,None,Scholarship-Award,Required,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Scholly - Rural STEM Students Award,"$500-$3,000 scholarship for students from rural communities pursuing STEM education. Recognizing unique challenges of accessing STEM opportunities in rural areas. Essay describing how rural background shapes STEM interests. Limited access to advanced courses will not count against applicants. Commitment to bringing STEM knowledge back to rural communities valued.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,1-2 hours,Low,Low,March,None,Scholarship-Award,Preferred,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Scholly - STEM for Social Good Scholarship,"$500-$2,500 scholarship for students planning to use STEM for positive social impact. Open to all STEM majors with community service orientation. Essay describing how you will apply STEM to help underserved communities. Volunteer work or community projects encouraged. No minimum GPA.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Social Impact, Community Service, Applied STEM",9-12,Free,Virtual,1-2 hours,Low,Low,April,None,Scholarship-Award,Not required,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Scholly - Young Innovators STEM Award,"$1,000-$5,000 scholarship for students demonstrating innovation in STEM. Open to students with inventions, research projects, or creative STEM solutions. Submit portfolio or project description. All STEM fields eligible. Judges evaluate originality, technical execution, and potential impact.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Innovation, Entrepreneurship, Applied Science",9-12,Free,Virtual,2-4 hours,Medium,Low,May,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Scholly - High School STEM Research Award,"$500-$3,000 scholarship for students conducting independent STEM research. Open to students with science fair projects, research internships, or independent studies. Submit research abstract or project description. All STEM research topics eligible. Judges evaluate research quality and student contribution.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Research, Scientific Method, Independent Study",9-12,Free,Virtual,2-4 hours,Medium,Low,February,None,Scholarship-Award,Not required,None,Free,True,True,True,Low,True,False,Required,National,Low,False,None
Scholly - Students with Disabilities in STEM,"$500-$3,000 scholarship for students with disabilities pursuing STEM education. Essay about how disability shapes your STEM approach and goals. All disabilities eligible including physical, learning, and mental health. Commitment to accessible STEM education and careers. No GPA requirement.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,1-2 hours,Low,Low,March,None,Scholarship-Award,Not required,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
