name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
PBS Kids - Curious George: Rocket Run,"Build and launch rockets with Curious George. Learn physics concepts including thrust, weight, and trajectory. Design rockets by selecting fuel types and nose cones. Ages 4-7 experiment with trial and error to reach space.",https://pbskids.org/games/engineering/,PBS Kids,Learning Platform,"Physics, Engineering, Aerospace, Problem Solving",PreK-2,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
PBS Kids - Sid the Science Kid: Bug Garden,"Explore life science and ecology with Sid. Plant seeds, water gardens, and observe insect life cycles. Learn about plant growth, pollination, and ecosystems. Ages 3-6 develop observation and classification skills.",https://pbskids.org/games/science/,PBS Kids,Learning Platform,"Life Science, Biology, Ecology, Observation",PreK-1,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
PBS Kids - Cyberchase: Thirteen Ways of Looking at a Half,"Explore fractions and equivalence with Cyberchase characters. Divide shapes and quantities to understand halves, quarters, and equal parts. Ages 6-8 develop fraction sense and spatial reasoning through interactive puzzles.",https://pbskids.org/games/math/,PBS Kids,Learning Platform,"Mathematics, Fractions, Geometry, Problem Solving",1-3,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
PBS Kids - Wild Kratts: Creature Power,"Learn animal biology and adaptations with Wild Kratts brothers. Activate creature powers to explore animal abilities and habitats. Ages 4-8 discover zoology, classification, and biological adaptations through interactive adventures.",https://pbskids.org/games/science/,PBS Kids,Learning Platform,"Biology, Zoology, Animal Science, Ecology",PreK-3,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
PBS Kids - Peg + Cat: Chicken Problem,"Solve math problems with Peg and Cat using addition and subtraction. Count chickens and solve real-world word problems. Ages 3-5 develop early numeracy, counting skills, and problem-solving strategies.",https://pbskids.org/games/math/,PBS Kids,Learning Platform,"Mathematics, Counting, Addition, Problem Solving",PreK-K,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,High,False,Parent
PBS Kids - Design Squad: Build a Skyscraper,"Engineering design challenge building stable structures. Test materials, design foundations, and create earthquake-resistant buildings. Ages 6-8 learn structural engineering, material properties, and iterative design.",https://pbskids.org/games/engineering/,PBS Kids,Learning Platform,"Engineering, Structural Design, Physics, Problem Solving",1-3,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
PBS Kids - Dinosaur Train: Dinosaur Sorting,"Classification and sorting activity with dinosaurs. Sort dinosaurs by characteristics including diet, habitat, and time period. Ages 3-6 develop scientific classification, categorization, and logical thinking.",https://pbskids.org/games/science/,PBS Kids,Learning Platform,"Paleontology, Classification, Biology, Logic",PreK-1,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
PBS Kids - Odd Squad: Odd Squad Gadget Lab,"Solve math mysteries using gadgets and problem-solving. Apply arithmetic, patterns, and logic to complete agent missions. Ages 5-8 develop computational thinking and mathematical reasoning.",https://pbskids.org/games/math/,PBS Kids,Learning Platform,"Mathematics, Logic, Patterns, Problem Solving",K-3,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
PBS Kids - Nature Cat: Nature Explore,"Outdoor science exploration with Nature Cat. Investigate ecosystems, weather, and natural phenomena. Ages 3-6 learn earth science, biology, and environmental awareness through virtual nature adventures.",https://pbskids.org/games/science/,PBS Kids,Learning Platform,"Earth Science, Ecology, Biology, Environmental Science",PreK-1,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
PBS Kids - Molly of Denali: Sled Dog Dash,"Math and strategy game planning sled dog race routes. Calculate distances, estimate time, and manage resources. Ages 5-8 apply measurement, estimation, and problem-solving while learning Alaskan culture.",https://pbskids.org/games/math/,PBS Kids,Learning Platform,"Mathematics, Measurement, Estimation, Problem Solving",K-3,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Medium,False,Parent
