name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Research Science Institute (RSI) at MIT,"Most prestigious free summer research program for high school students worldwide. Six weeks at MIT conducting original research with mentors from MIT, Harvard, and other institutions. Highly selective program for top STEM students.",https://www.cee.org/programs/research-science-institute,Center for Excellence in Education / MIT,Research Opportunity,"All Sciences, Mathematics, Engineering, Computer Science",11,Free,In-Person,6 weeks residential summer,Advanced,High,January 15 annually,None,Fully-funded program,No,None,Free,True,True,True,High,True,Yes,Low,International,No,High,High
Columbia University Science Honors Program (SHP),Academic year program for NYC-area high school students. Saturday morning classes and research seminars in science and mathematics. Taught by Columbia faculty. Students engage with cutting-edge research topics.,https://www.columbia.edu/cu/shp/,Columbia University,Research Opportunity,"Physics, Chemistry, Biology, Mathematics, Computer Science, Earth Science",9-12,Free,In-Person,"Academic year, Saturdays 10am-12:30pm",Advanced,High,February 1 annually,None,Free program,No,Low,Free,True,True,True,High,Conditional,Yes,Low,NYC Metro Area,Low,High,High
Polygence Research Academy - Virtual Mentorship,One-on-one virtual research mentorship connecting high school students with PhD mentors. Students design and complete independent research projects over 10-16 weeks. Flexible scheduling and broad research topics available.,https://www.polygence.org/,Polygence,Research Opportunity,"All Sciences, Engineering, Mathematics, Computer Science, Social Sciences",9-12,"$2,995-$4,995",Virtual,"10-16 weeks, flexible schedule",Intermediate-Advanced,High,Rolling admissions,High,Scholarships available,Yes,Low,$1000+,True,True,True,High,True,No,High,International,No,Medium,High
Simons Summer Research Program at Stony Brook,"Seven-week paid research internship at Stony Brook University. Students work closely with faculty mentors on cutting-edge research in science, math, or engineering. Weekly stipend provided. Program culminates in research symposium.",https://www.stonybrook.edu/simons/,Stony Brook University,Research Opportunity,"Physics, Chemistry, Biology, Mathematics, Computer Science, Engineering",11-12,Free with stipend,In-Person,7 weeks residential summer,Advanced,High,January 15 annually,None,"$2,500 stipend provided",No,None,Free,True,True,True,High,True,Yes,Low,National,No,High,High
Johns Hopkins University Research Internship,"Summer research program pairing high school students with JHU faculty. Work in biomedical, engineering, or science labs. Gain hands-on research experience and learn about academic careers. Program includes weekly seminars.",https://www.jhu.edu/summer-programs/,Johns Hopkins University,Research Opportunity,"Biomedical Research, Biology, Chemistry, Engineering, Medicine",11-12,Free,In-Person,8 weeks summer,Advanced,High,February 15 annually,Low,Stipend available for some positions,Yes,Low,Free,True,True,True,High,Conditional,Yes,Low,Baltimore Metro Area,No,High,High
Garcia Center for Polymers at Engineered Interfaces - Summer Research,Seven-week residential research program at Stony Brook for high school students. Focus on materials science and polymer research. Students design and conduct experiments with mentorship from faculty and graduate students.,https://www.stonybrook.edu/garcia-materials/,Stony Brook University,Research Opportunity,"Materials Science, Chemistry, Physics, Engineering",10-12,Free,In-Person,7 weeks residential summer,Intermediate-Advanced,High,February 1 annually,None,Fully-funded with housing,No,None,Free,True,True,True,High,True,Yes,Low,National,No,High,High
Rockefeller University Summer Science Research Program (SSRP),"Paid summer research internship at prestigious research institution. High school students work full-time in labs alongside scientists. Weekly seminars, career guidance, and end-of-summer research presentations. Highly competitive.",https://www.rockefeller.edu/education/high-school/,Rockefeller University,Research Opportunity,"Biomedical Research, Biology, Biochemistry, Genetics, Neuroscience",11-12,Free with stipend,In-Person,7 weeks summer,Advanced,High,February 1 annually,None,"$3,000 stipend provided",No,None,Free,True,True,True,High,True,Yes,Low,National,No,High,High
Broad Summer Scholars Program (BSSP),"Five-week paid summer research program at Broad Institute of MIT and Harvard. Students conduct genomics and biomedical research. Professional development workshops, college prep, and mentorship from leading scientists.",https://www.broadinstitute.org/bssp,Broad Institute,Research Opportunity,"Genomics, Computational Biology, Biomedical Research, Genetics",11-12,Free with stipend,In-Person,5 weeks summer,Advanced,High,March 1 annually,None,Stipend and travel support provided,Yes,None,Free,True,True,True,High,True,Yes,Low,National,No,High,High
NASA SEES (STEM Enhancement in Earth Science) Virtual Internship,"Free virtual summer internship focused on Earth science research. Students work with NASA scientists on real research projects. Weekly webinars, online collaboration, and final presentations. No travel required.",https://www.nasa.gov/stem/sees/,NASA,Research Opportunity,"Earth Science, Climate Science, Environmental Science, Remote Sensing",9-12,Free,Virtual,6 weeks summer,Intermediate,High,March 15 annually,None,N/A,No,None,Free,True,True,True,High,True,No,High,National,No,Medium,High
Veritas Research Scholars Program,"Year-long virtual research mentorship program. Students work one-on-one with PhD mentors to complete independent research projects. Flexible scheduling, comprehensive research training, and support through publication/competition submission.",https://www.veritas.org/research-scholars/,Veritas Scholars,Research Opportunity,"All Sciences, Engineering, Mathematics, Computer Science, Social Sciences",9-12,"$2,500-$4,000",Virtual,"9-12 months, 2-4 hours per week",Intermediate-Advanced,High,Rolling admissions,High,Limited scholarships available,Yes,Low,$1000+,True,True,True,High,True,No,High,International,No,Medium,High
