name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
SkillsUSA 3D Visualization and Animation,"Competition testing skills in 3D modeling, animation, and rendering. Students create 3D assets, animations, and visual presentations using industry-standard software. Judged on technical proficiency, creativity, and adherence to project specifications. Prepares students for careers in game design, film, and engineering visualization.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"3D Modeling, Animation, Computer Graphics, Design Technology",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),Medium,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Medium,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,Basic,National,Optional,True,Adult
SkillsUSA CAD Architecture,"Technical drawing and Computer-Aided Design competition focused on architectural design. Students create detailed architectural plans, elevations, and 3D models using CAD software. Tests knowledge of building codes, structural principles, and design standards. Develops skills for architecture and construction careers.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Architecture, CAD, Engineering Design, Construction Technology",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),Medium,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Medium,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,Basic,National,Optional,True,Adult
SkillsUSA CAD Engineering,"Engineering design competition using Computer-Aided Design software. Students create detailed engineering drawings, assemblies, and technical documentation. Tests mechanical design principles, geometric dimensioning and tolerancing (GD&T), and manufacturing considerations. Aligns with industry standards for engineering drafting.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Mechanical Engineering, CAD, Engineering Design, Manufacturing",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),Medium,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Medium,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,Basic,National,Optional,True,Adult
SkillsUSA Computer Programming,"Software development competition testing coding skills in multiple programming languages. Students solve algorithmic problems, debug code, and develop functional applications. Covers object-oriented programming, data structures, algorithms, and software design patterns. Prepares students for computer science careers.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Computer Science, Programming, Software Development",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),Medium,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Low,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,Basic,National,Optional,True,Adult
SkillsUSA Cybersecurity,"Information security competition testing network defense, vulnerability assessment, and incident response. Students identify security threats, implement protective measures, and respond to simulated cyber attacks. Covers ethical hacking, network security, cryptography, and security policy. Aligns with industry certifications and cybersecurity careers.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Cybersecurity, Information Technology, Network Security",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),High,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Low,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,High-speed-required,National,Optional,True,Adult
SkillsUSA Electronics Technology,"Hands-on electronics competition testing circuit design, troubleshooting, and repair. Students work with analog and digital circuits, microcontrollers, and electronic components. Includes practical skills in soldering, circuit analysis, and electronic system design. Prepares for careers in electronics engineering and technology.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Electronics, Electrical Engineering, Circuit Design",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),Medium,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Medium,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,Basic,National,Optional,True,Adult
SkillsUSA Engineering Technology/Design,"Team-based engineering design competition solving real-world problems. Teams research, design, prototype, and present engineering solutions using technical documentation and CAD models. Emphasizes STEM integration, teamwork, and engineering design process. Tests both technical skills and professional presentation abilities.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Engineering, Design, Technology, STEM Integration",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),Medium,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Medium,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,Basic,National,Optional,True,Adult
SkillsUSA Mobile Robotics Technology,"Robotics competition where students program and operate mobile robots to complete challenges. Teams design, build, and program autonomous robots to navigate obstacles, complete tasks, and demonstrate technical capabilities. Covers programming, sensors, motors, and robot control systems. Emphasizes problem-solving and iterative design.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Robotics, Engineering, Programming, Mechatronics",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),Medium,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,High,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,Basic,National,Optional,True,Adult
SkillsUSA Network Systems Administration,"IT infrastructure competition testing network configuration, server administration, and troubleshooting. Students configure routers, switches, servers, and network services. Covers Windows and Linux administration, network protocols, and IT security. Prepares for industry certifications (Cisco, CompTIA) and IT careers.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Information Technology, Networking, Systems Administration",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),Medium,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Low,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,High-speed-required,National,Optional,True,Adult
SkillsUSA Precision Machining,"Advanced manufacturing competition testing CNC programming and manual machining skills. Students program CNC mills and lathes, read blueprints, use precision measuring tools, and produce machined parts to exact specifications. Emphasizes safety, quality control, and manufacturing processes. Career pathway to manufacturing engineering.",https://www.skillsusa.org/competitions/skillsusa-championships/,SkillsUSA,Technical Competition,"Manufacturing, Machining, CNC Programming, Engineering",9-12,Under-$100 (membership + registration),Regional and national competition sites,6-8 months (preparation + competitions),High,High,"Fall (regional), Spring (state/national)",Low,Limited scholarships available,School-sponsored,Medium,Under-$100,SkillsUSA inclusion initiatives,True,True,High,Limited,True,Basic,National,Optional,True,Adult
