name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
"Niche $50,000 Scholarship","No essay required! Monthly scholarship drawing for $50,000 awarded to one high school or college student. Simply create a free Niche profile to enter.",https://www.niche.com/colleges/scholarships/,Niche,Scholarship,All STEM,9-12,Free,Online,Variable (5-15 minutes),None,Low,Monthly,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Niche $2,000 No Essay Scholarship","Monthly $2,000 scholarship with no essay required. Open to high school and college students. Winners selected through monthly drawings.",https://www.niche.com/colleges/scholarships/,Niche,Scholarship,All STEM,9-12,Free,Online,Variable (5-10 minutes),None,Low,Monthly,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"STEM Major Scholarship - $10,000","Scholarship for high school seniors planning to major in STEM fields including engineering, computer science, mathematics, or natural sciences. Requires essay on STEM career goals.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Engineering, Computer Science, Mathematics, Science",12,Free,Online,Variable (2-4 hours),Medium,Low,May 31,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Women in STEM Scholarship - $5,000",Scholarship supporting female students pursuing STEM degrees. Applicants must demonstrate strong academic performance and commitment to STEM career.,https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,All STEM,11-12,Free,Online,Variable (2-3 hours),Medium,Low,June 30,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
"Computer Science Excellence Award - $7,500","Award for high school students demonstrating excellence in computer science through coursework, projects, or competitions. Essay on programming experience required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Computer Science, Programming",10-12,Free,Online,Variable (3-5 hours),High,Low,April 15,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Engineering Future Leaders Scholarship - $8,000",Scholarship for aspiring engineers demonstrating leadership and innovation. Requires essay on engineering project or design challenge completed.,https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Engineering, Design",11-12,Free,Online,Variable (3-4 hours),Medium,Low,March 31,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Environmental Science Scholarship - $5,000",Award for students passionate about environmental science and sustainability. Essay on environmental impact project or research required.,https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Environmental Science, Biology, Ecology",11-12,Free,Online,Variable (2-4 hours),Medium,Low,May 1,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Mathematics Achievement Scholarship - $6,000",Recognition for high school students with exceptional mathematics abilities. Requires proof of math competition participation or advanced coursework.,https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,Mathematics,10-12,Free,Online,Variable (2-3 hours),High,Low,April 30,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Biomedical Sciences Scholarship - $7,000","Scholarship for students interested in biomedical research, medicine, or healthcare sciences. Essay on healthcare innovation or medical research interest required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Biomedical Science, Biology, Medicine",11-12,Free,Online,Variable (3-4 hours),Medium,Low,June 15,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Robotics and Automation Scholarship - $5,500","Award for students involved in robotics clubs, competitions, or automation projects. Portfolio of robotics work required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Robotics, Engineering, Computer Science",9-12,Free,Online,Variable (2-4 hours),Medium,Low,May 15,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Data Science and Analytics Scholarship - $6,500","Scholarship for students interested in data science, statistics, or analytics. Essay on data-driven project or analysis required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Data Science, Statistics, Mathematics",11-12,Free,Online,Variable (3-5 hours),High,Low,April 1,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Chemistry Innovation Award - $5,000",Award for students with strong chemistry background and interest in chemical sciences. Lab experience or chemistry project description required.,https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Chemistry, Science",11-12,Free,Online,Variable (2-3 hours),Medium,Low,May 30,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Physics Scholar Award - $6,000",Recognition for students excelling in physics coursework or physics-related projects. Essay on physics concept application required.,https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Physics, Science",10-12,Free,Online,Variable (2-4 hours),High,Low,April 20,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Aerospace Engineering Scholarship - $8,500","Scholarship for students passionate about aerospace, aviation, or space exploration. Essay on aerospace career aspirations required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Aerospace Engineering, Engineering, Physics",11-12,Free,Online,Variable (3-4 hours),Medium,Low,March 15,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Cybersecurity Future Professionals - $7,000","Award for students interested in cybersecurity, information security, or ethical hacking. Portfolio or project description required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Cybersecurity, Computer Science, Technology",10-12,Free,Online,Variable (3-5 hours),High,Low,May 10,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Marine Biology Scholarship - $5,500","Scholarship for students interested in marine science, oceanography, or aquatic biology. Essay on ocean conservation required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Marine Biology, Biology, Environmental Science",11-12,Free,Online,Variable (2-4 hours),Medium,Low,June 1,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Artificial Intelligence Scholarship - $9,000","Award for students exploring AI, machine learning, or neural networks. Project demonstrating AI application required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Artificial Intelligence, Computer Science, Machine Learning",11-12,Free,Online,Variable (4-6 hours),High,Low,April 10,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Biotechnology Innovation Scholarship - $6,500","Scholarship for students interested in biotechnology, genetic engineering, or bioinformatics. Essay on biotech application required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Biotechnology, Biology, Genetics",11-12,Free,Online,Variable (3-4 hours),High,Low,May 20,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Renewable Energy Scholarship - $7,500","Award for students passionate about renewable energy, sustainability, or green technology. Project or essay on energy solutions required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Environmental Science, Engineering, Physics",11-12,Free,Online,Variable (3-5 hours),Medium,Low,April 25,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Mechanical Engineering Scholarship - $8,000",Scholarship for aspiring mechanical engineers. Portfolio of engineering projects or CAD designs required.,https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Mechanical Engineering, Engineering, Design",11-12,Free,Online,Variable (3-4 hours),Medium,Low,March 20,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Neuroscience Research Scholarship - $7,500","Award for students interested in neuroscience, brain research, or cognitive science. Essay on neuroscience topic required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Neuroscience, Biology, Psychology",11-12,Free,Online,Variable (3-5 hours),High,Low,May 5,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Applied Mathematics Scholarship - $6,000",Scholarship for students applying mathematics to real-world problems. Project demonstrating mathematical modeling required.,https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Mathematics, Applied Mathematics, Statistics",11-12,Free,Online,Variable (3-4 hours),High,Low,April 5,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Electrical Engineering Award - $7,000","Award for students interested in electrical engineering, electronics, or circuit design. Portfolio of electrical projects required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Electrical Engineering, Engineering, Technology",11-12,Free,Online,Variable (3-4 hours),Medium,Low,March 25,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
"Climate Science Scholarship - $6,500","Scholarship for students focused on climate change, meteorology, or atmospheric science. Essay on climate action required.",https://www.niche.com/colleges/scholarships/stem/,Niche,Scholarship,"Climate Science, Environmental Science, Meteorology",10-12,Free,Online,Variable (2-4 hours),Medium,Low,May 25,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
