name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
National STEM Scholars High School Award,"Merit-based scholarship for outstanding high school STEM students. $5,000 award recognizing academic excellence in science, technology, engineering, and mathematics fields.",https://www.petersons.com/stem-scholars-hs,Peterson's,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),High,Low,March 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Future Engineers High School Scholarship,"$3,500 scholarship for high school students pursuing engineering. For students with strong math and science grades planning engineering degrees.",https://www.petersons.com/future-engineers-hs,Peterson's,Scholarship,"Engineering, Mathematics, Physics",10-12,Free,Online,Variable (application),High,Low,April 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Women in STEM High School Leadership Award,"$4,000 scholarship supporting female high school STEM leaders. For girls demonstrating leadership in science and technology fields.",https://www.petersons.com/women-stem-leadership-hs,Peterson's,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,May 1,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Computer Science Excellence High School Scholarship,"$3,000 award for high school computer science students. Recognizing programming skills, software projects, and CS achievement.",https://www.petersons.com/cs-excellence-hs,Peterson's,Scholarship,"Computer Science, Programming, Software Engineering",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Mathematics Achievement High School Award,"$2,500 scholarship for mathematics excellence. For high school students with outstanding math performance and competition experience.",https://www.petersons.com/math-achievement-hs,Peterson's,Scholarship,"Mathematics, Statistics, Applied Mathematics",9-12,Free,Online,Variable (application),High,Low,February 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Science Research Scholars High School Program,"$4,500 award for high school science researchers. Supporting students with original research projects in any science field.",https://www.petersons.com/science-research-hs,Peterson's,Scholarship,"Biology, Chemistry, Physics, Environmental Science",10-12,Free,Online,Variable (application),High,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Minority STEM Leaders High School Scholarship,"$3,500 scholarship for underrepresented minorities in STEM. Supporting African American, Hispanic, and Native American high school students.",https://www.petersons.com/minority-stem-leaders-hs,Peterson's,Scholarship,"Computer Science, Engineering, Mathematics, Science",9-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Technology Innovation High School Award,"$2,000 scholarship for technology innovators. For high school students with tech projects, apps, or innovative solutions.",https://www.petersons.com/tech-innovation-hs,Peterson's,Scholarship,"Technology, Computer Science, Engineering",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biology Excellence High School Scholarship,"$2,500 award for biology students. Recognizing academic excellence and laboratory skills in biological sciences.",https://www.petersons.com/biology-excellence-hs,Peterson's,Scholarship,"Biology, Life Sciences, Biotechnology",9-12,Free,Online,Variable (application),Variable,Low,March 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Chemistry Achievement High School Award,"$3,000 scholarship for chemistry students. For high school students with outstanding chemistry grades and lab experience.",https://www.petersons.com/chemistry-achievement-hs,Peterson's,Scholarship,"Chemistry, Chemical Engineering, Biochemistry",9-12,Free,Online,Variable (application),Variable,Low,February 28,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Physics and Astronomy High School Scholarship,"$3,500 award for physics students. Supporting high school students with strong physics grades and research interests.",https://www.petersons.com/physics-hs,Peterson's,Scholarship,"Physics, Astronomy, Astrophysics",10-12,Free,Online,Variable (application),High,Low,April 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Environmental Science High School Scholarship,"$2,500 scholarship for environmental advocates. For students passionate about conservation, ecology, and sustainability.",https://www.petersons.com/environmental-hs,Peterson's,Scholarship,"Environmental Science, Biology, Ecology",9-12,Free,Online,Variable (application),Variable,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Robotics Engineering High School Award,"$4,000 scholarship for robotics students. For high school students in robotics clubs, competitions, or building robotic systems.",https://www.petersons.com/robotics-hs,Peterson's,Scholarship,"Robotics, Engineering, Computer Science",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
First Generation STEM High School Scholarship,"$3,000 award for first-generation students in STEM. Supporting students whose parents did not complete four-year degrees.",https://www.petersons.com/first-gen-stem-hs,Peterson's,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Considered,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Cybersecurity High School Scholarship,"$2,500 award for future cybersecurity professionals. For high school students interested in information security and ethical hacking.",https://www.petersons.com/cybersecurity-hs,Peterson's,Scholarship,"Cybersecurity, Computer Science, Information Technology",10-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biomedical Science High School Award,"$4,000 scholarship for biomedical students. Supporting high school students interested in medical research and healthcare science.",https://www.petersons.com/biomedical-hs,Peterson's,Scholarship,"Biomedical Science, Biology, Chemistry",11-12,Free,Online,Variable (application),High,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
