name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Bold.org - Women in Technology Scholarship,"$500-$5,000 scholarship for female high school students pursuing computer science or technology degrees. Open to students demonstrating passion for technology and commitment to careers in tech. Essay required describing how you will use technology to make positive impact. Preference given to underrepresented minorities in tech. Renewable annually with reapplication. Funds can be used for tuition, books, technology, or educational expenses.",https://bold.org/scholarships/computer-science/,Bold.org,Scholarship,"Computer Science, Technology, Software Engineering, IT",9-12,Free,Virtual,1-3 hours,None,Low,Rolling,None,Scholarship-Award,Not required,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Bold.org - Future Black Tech Leaders Scholarship,"$1,000-$10,000 scholarship specifically for Black high school students pursuing computer science, software engineering, or technology fields. Must demonstrate academic achievement (minimum 3.0 GPA) and passion for technology careers. Essay describing how you will contribute to increasing Black representation in tech industry. Preference for first-generation college students and students from low-income backgrounds. Letters of recommendation optional but encouraged.",https://bold.org/scholarships/computer-science/,Bold.org,Scholarship,"Computer Science, Software Engineering, Technology, Programming",9-12,Free,Virtual,2-3 hours,Medium,Low,Various,None,Scholarship-Award,Preferred,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Bold.org - Coding for Change Scholarship,"$500-$2,500 scholarship for students interested in using programming to create social impact. Open to all high school students learning to code or developing software applications. Submit portfolio of coding projects or description of app/website you want to build to help your community. No minimum GPA required. Judges evaluate creativity, technical skill, and potential social impact. Perfect for self-taught programmers.",https://bold.org/scholarships/computer-science/,Bold.org,Scholarship,"Computer Science, Programming, Software Development, App Development",9-12,Free,Virtual,2-4 hours,Low,Low,Quarterly,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Bold.org - Cybersecurity Scholars Award,"$1,000-$3,000 scholarship for students pursuing cybersecurity education and careers. Open to high school students interested in information security, ethical hacking, or cybersecurity. Essay describing importance of cybersecurity and your career goals. Participation in CyberPatriot or similar competitions helpful but not required. Priority for students from underrepresented groups in cybersecurity field.",https://bold.org/scholarships/computer-science/,Bold.org,Scholarship,"Cybersecurity, Information Security, Computer Science, Ethical Hacking",9-12,Free,Virtual,1-2 hours,Low,Low,Semi-annual,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Bold.org - Future Engineers Scholarship,"$500-$5,000 scholarship for high school students pursuing engineering degrees. All engineering disciplines eligible including mechanical, electrical, civil, chemical, and biomedical. Essay describing engineering problem you want to solve and impact it would have. Minimum 3.0 GPA preferred. Special consideration for students from low-income families and first-generation college students. One-time award for college expenses.",https://bold.org/scholarships/engineering/,Bold.org,Scholarship,"Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering",10-12,Free,Virtual,2-3 hours,Medium,Low,Annual,None,Scholarship-Award,Preferred,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Bold.org - Black Women in Engineering Scholarship,"$2,000-$10,000 scholarship exclusively for Black female students pursuing engineering degrees. Addressing underrepresentation of Black women in engineering fields. Essay about overcoming challenges and commitment to engineering career. Minimum 2.5 GPA required. Participation in STEM clubs, robotics teams, or engineering competitions encouraged. Preference for students demonstrating financial need.",https://bold.org/scholarships/engineering/,Bold.org,Scholarship,"Engineering, STEM, Mechanical Engineering, Biomedical Engineering",9-12,Free,Virtual,2-3 hours,Low,Low,Annual,None,Scholarship-Award,Preferred,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Bold.org - Renewable Energy Engineering Scholarship,"$1,000-$4,000 scholarship for students passionate about sustainable energy and environmental engineering. Open to students planning to study renewable energy, environmental engineering, or sustainable design. Essay describing how you will contribute to clean energy future. Projects or research in solar, wind, or green technology highly valued. No GPA requirement.",https://bold.org/scholarships/engineering/,Bold.org,Scholarship,"Engineering, Environmental Engineering, Renewable Energy, Sustainability",9-12,Free,Virtual,1-2 hours,Low,Low,Semi-annual,None,Scholarship-Award,Not required,None,Free,True,True,True,Medium,True,False,Required,National,Low,False,None
Bold.org - Robotics and Automation Scholarship,"$500-$3,000 scholarship for students interested in robotics engineering, automation, or mechatronics. Participation in FIRST Robotics, VEX Robotics, or similar programs encouraged. Essay or video describing robot you designed or role on robotics team. Open to all skill levels. Emphasis on creativity and problem-solving rather than competition wins.",https://bold.org/scholarships/engineering/,Bold.org,Scholarship,"Robotics, Engineering, Automation, Mechatronics, Design",9-12,Free,Virtual,2-4 hours,Low,Low,Quarterly,None,Scholarship-Award,Not required,None,Free,True,True,True,Low,True,False,Required,National,Low,False,None
Bold.org - Math Excellence Scholarship,"$500-$2,500 scholarship for students excelling in mathematics and pursuing math-related degrees. Open to students planning to major in mathematics, statistics, actuarial science, or applied mathematics. Submit transcript showing strong math performance. Essay describing favorite math concept and its real-world applications. Participation in Math Olympiad or MATHCOUNTS encouraged but not required.",https://bold.org/scholarships/mathematics/,Bold.org,Scholarship,"Mathematics, Statistics, Applied Mathematics, Actuarial Science",10-12,Free,Virtual,1-2 hours,Medium,Low,Annual,None,Scholarship-Award,Not required,None,Free,False,True,True,Low,True,False,Required,National,Low,False,None
Bold.org - Women in Mathematics Award,"$1,000-$5,000 scholarship for female students pursuing mathematics education or careers. Addressing gender gap in mathematics fields. Essay about mathematical passion and how you will inspire other girls in math. Minimum 3.0 GPA in math courses. Priority for students from underrepresented minorities. One letter of recommendation from math teacher.",https://bold.org/scholarships/mathematics/,Bold.org,Scholarship,"Mathematics, Pure Mathematics, Applied Mathematics, Math Education",9-12,Free,Virtual,2-3 hours,Medium,Low,Annual,None,Scholarship-Award,Not required,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
