name,category,description,word_count,stem_fields,target_grade_standardized
Student Programs & Resources,Chemistry Program,"Student Programs & Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",28,"Chemistry, Chemical Engineering",9-12
Latest Contest Results,Math Competition,"Latest Contest Results This Math Competition focuses on Mathematics and serves grade 6-12 students. The program requires Competition day commitment, 30, available school-based. Prerequisites: Medium level.",26,Mathematics,6-12
Math League Bookstore,Math Competition,"Math League Bookstore This Math Competition focuses on Mathematics and serves grade 6-12 students. The program requires Competition day commitment, 30, available school-based. Prerequisites: Medium level.",26,Mathematics,6-12
The Math League,Math Competition,"The Math LeagueSearch ... This Math Competition focuses on Mathematics and serves grade 6-12 students. The program requires Competition day commitment, 30, available school-based. Prerequisites: Medium level.",27,Mathematics,6-12
Taking Math Contests Online,Math Competition,"Taking Math Contests Online This Math Competition focuses on Mathematics and serves grade 6-12 students. The program requires Competition day commitment, 30, available school-based. Prerequisites: Medium level.",27,Mathematics,6-12
Schools Register for Contests,Math Competition,"Schools Register for Contests This Math Competition focuses on Mathematics and serves grade 6-12 students. The program requires Competition day commitment, 30, available school-based. Prerequisites: Medium level.",27,Mathematics,6-12
Celebrating Chemistryin Print,Outreach Program,"Celebrating Chemistryin Print This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",27,"Chemistry, Chemical Engineering",9-12
Past Issues ofCelebrating Chemistry,Outreach Program,"Past Issues ofCelebrating Chemistry This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",28,"Chemistry, Chemical Engineering",9-12
National Chemistry Week Editions,Outreach Program,"National Chemistry Week Editions This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",28,"Chemistry, Chemical Engineering",9-12
Pre-College Programs,Summer Program,"Pre-College Programs This Summer Program focuses on Technology and serves grade 10-12 students. The program requires 3-6 weeks commitment, 7500, available residential. Prerequisites: Medium level.",25,Technology,11-12
Community Engagement & Leadership Development,Summer Program,"Community Engagement & Leadership Development This Summer Program focuses on Technology and serves grade 10-12 students. The program requires 3-6 weeks commitment, 7500, available residential. Prerequisites: Medium level.",28,Technology,10-12
