name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Stanford Pre-Collegiate Summer Institutes,"Three-week intensive summer courses for grades 8-11 in various subjects including computer science, engineering, humanities, and sciences. Single-subject enrichment with Stanford faculty. Residential and online options. Rigorous academic experience preparing students for college-level work. Includes lectures, labs, projects, and Stanford campus life.",https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,Summer Program,"Computer Science, Engineering, Science, Mathematics",8-11,8000,Hybrid,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,False,Basic,National,Required,True,Professional
Stanford Summer Humanities Institute,"Three-week residential program for grades 10-11 exploring humanities questions through seminars, workshops, and collaborative projects. Small seminar-style classes with Stanford faculty. Includes writing workshops, research projects, and cultural activities. Develops critical thinking and analytical writing skills.",https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,Summer Program,"Humanities, Social Science",10-11,9000,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
Stanford University Mathematics Camp (SUMaC),"Intensive four-week residential program for grades 10-11 in advanced mathematics. Focus on abstract mathematical thinking, proofs, and problem-solving. Two tracks: Program I (algebra and number theory) and Program II (topology and group theory). Taught by Stanford faculty and graduate students. Highly selective.",https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,Summer Program,Mathematics,10-11,9500,Residential,4 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
Stanford Pre-Collegiate Computer Science,"Three-week intensive computer science program covering programming, algorithms, data structures, and software development. Hands-on coding projects using Python, Java, or other languages. Learn from Stanford CS faculty and graduate students. Build portfolio projects. Residential experience includes tech talks and company visits.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Computer Science, Programming, Software Engineering",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
Stanford Pre-Collegiate Engineering,"Engineering design and problem-solving program introducing students to various engineering disciplines. Includes mechanical, electrical, biomedical, and computer engineering projects. Team-based design challenges, lab work, and prototype building. Meet Stanford engineering faculty and tour engineering labs.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Engineering, Design, Technology",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
Stanford Pre-Collegiate Artificial Intelligence,"Advanced AI and machine learning program covering neural networks, computer vision, natural language processing, and AI ethics. Programming projects using Python and ML frameworks. Learn from Stanford AI researchers. Explore AI applications and future implications. Requires programming background.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",10-12,9000,Residential,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
Stanford Pre-Collegiate Biomedical Sciences,"Exploration of biomedical research, biotechnology, and medical sciences. Laboratory techniques, research methods, and ethical issues in biomedicine. Visit Stanford medical facilities and research labs. Learn from medical faculty and researchers. Covers genetics, cell biology, and biomedical engineering.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Biomedical Science, Biology, Medicine",10-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
Stanford Pre-Collegiate Physics,"Advanced physics topics beyond high school curriculum including modern physics, quantum mechanics, and relativity. Laboratory experiments, problem-solving, and mathematical modeling. Taught by Stanford physics faculty. Prepares students for university-level physics. Requires strong math background.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Physics, Mathematics",10-12,8000,Residential,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
Stanford Pre-Collegiate Data Science,"Introduction to data science covering statistics, data analysis, visualization, and machine learning applications. Work with real datasets, learn Python and R, and develop data-driven projects. Includes statistical thinking, data ethics, and communication of findings. No prior programming required.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Data Science, Statistics, Computer Science",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
Stanford University-Level Online Math & Physics,"Advanced online courses offering Stanford University credit in mathematics and physics. College-level curriculum taught by Stanford instructors. Self-paced with regular assignments and exams. Covers topics like multivariable calculus, linear algebra, and advanced physics. Requires strong mathematical background.",https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,University Pre-College,"Mathematics, Physics",9-12,3500,Online,10 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,True,False,High-speed-required,National,Required,True,Professional
