name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
AI Scholars,"Intensive summer program exploring artificial intelligence and machine learning. Students work on AI projects, learn from CMU faculty, and gain hands-on experience with cutting-edge AI technologies. Covers neural networks, natural language processing, computer vision, and AI ethics. Residential program on CMU campus.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",10-12,9500,Residential,6 weeks,High,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional
CS Scholars,"Comprehensive computer science program for high school students. Learn programming, algorithms, data structures, and software development from CMU faculty. Work on real-world projects and collaborate with peers. Includes exposure to CMU School of Computer Science research. Residential summer experience.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Computer Science, Programming, Software Engineering",10-12,9500,Residential,6 weeks,High,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional
National High School Game Academy,"Game design and development program combining art, programming, and storytelling. Students create original video games working in teams. Learn game engines, 3D modeling, animation, and game design principles. Taught by CMU Entertainment Technology Center faculty. Portfolio-building opportunity.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Game Development, Computer Science, Design, Programming",10-12,9000,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,High-speed-required,National,Required,True,Professional
Computational Biology,"Interdisciplinary program at the intersection of biology, computer science, and mathematics. Learn bioinformatics, genomic analysis, computational modeling, and data science applications in biology. Work with real biological datasets and conduct research projects. Exposure to CMU computational biology research.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Computational Biology, Bioinformatics, Computer Science, Biology",10-12,9500,Residential,6 weeks,High,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional
Summer Academy for Math and Science,"Rigorous STEM program covering advanced mathematics and science topics. Students engage in problem-solving, research projects, and mathematical exploration. Learn from CMU faculty and graduate students. Includes laboratory work and computational methods. Prepares students for STEM majors.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Mathematics, Science, Physics, Chemistry",10-12,8500,Residential,6 weeks,High,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional
Architecture Program,"Intensive architecture and design program introducing students to architectural thinking and practice. Learn design principles, technical drawing, 3D modeling, and sustainable design. Work on design projects and visit Pittsburgh architecture sites. Studio-based learning with CMU School of Architecture faculty.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Architecture, Design, Engineering",10-12,8500,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,High-speed-required,National,Required,True,Professional
Design Program,"Explore communication design, product design, and environmental design. Learn design thinking methodology, prototyping, user research, and visual communication. Work on real design challenges and build portfolio. Taught by CMU School of Design faculty. Includes workshops and studio projects.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Design, UX Design, Product Design, Visual Communication",10-12,8500,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,High-speed-required,National,Required,True,Professional
Global Cultures and Emerging Technology,"Interdisciplinary program examining technology impact on global cultures and societies. Explore ethical issues, cultural perspectives on technology, and technology applications worldwide. Includes humanities and STEM perspectives. Learn about AI ethics, digital culture, and technology policy.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Technology, Computer Science, Ethics, Cultural Studies",10-12,8000,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional
Leadership Development Program,"Program developing leadership skills through workshops, team projects, and self-reflection. Learn about effective communication, ethical leadership, teamwork, and problem-solving. Includes community engagement projects and leadership simulations. Applicable to STEM and non-STEM careers.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Leadership, Management, Communication",10-12,5000,Residential,3 weeks,Basic,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional
Drama Program,"Intensive theater arts program with CMU School of Drama. Explore acting, directing, playwriting, and technical theater. Work on productions and develop performance skills. Learn from professional theater faculty. Includes workshops, rehearsals, and performances.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Theater Arts, Performance, Communication",10-12,8500,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,High-speed-required,National,Required,True,Professional
