name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
JASON Digital Lab Platform,"Comprehensive online STEM learning platform featuring interactive digital labs, career videos with scientists and engineers, and hands-on activities. Students explore real-world science through multimedia content including expeditions, research missions, and engineering challenges. Standards-aligned curriculum integrating science, technology, and engineering.",https://www.jason.org/,JASON Learning,STEM Program,"Science, Engineering, Technology, Environmental Science",K-12,School subscription required,Online platform,Ongoing (integrated into curriculum),None,High,None (ongoing access),Low,Depends on school subscription,School-provided access,None,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,None,True,Professional
JASON Career Exploration Videos,"Library of video content featuring real scientists, engineers, and researchers in action. Students learn about STEM careers through authentic workplace footage and scientist interviews. Videos showcase diverse professionals solving real-world problems. Connects classroom learning to career possibilities in science and engineering fields.",https://www.jason.org/,JASON Learning,STEM Program,"Science, Engineering, Technology, Career Development",6-12,School subscription required,Online platform,Flexible viewing (individual videos),None,Medium,None (ongoing access),Low,Depends on school subscription,School-provided access,None,Free,Diverse STEM professionals featured,True,True,High,True,False,High-speed-required,National,None,False,Professional
JASON Virtual Research Expeditions,"Immersive virtual expeditions where students join scientists on research missions. Interactive multimedia content explores topics like ocean exploration, space science, climate research, and wildlife conservation. Students analyze real data, solve problems, and experience scientific inquiry. Expedition-based learning with hands-on investigations.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Science, Marine Biology, Environmental Science, Earth Science",4-12,School subscription required,Online platform,4-6 weeks per expedition (classroom integration),None,High,None (ongoing access),Low,Depends on school subscription,School-provided access,None,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,None,True,Professional
JASON Engineering Design Challenges,"Project-based engineering activities where students design, build, and test solutions to real-world problems. Challenges include robotics, renewable energy, structural engineering, and environmental solutions. Students follow engineering design process from problem identification through prototyping and testing. Develops critical thinking and problem-solving skills.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Engineering, Technology, Design Thinking, Applied Science",3-12,School subscription required,Classroom and online,2-4 weeks per challenge,None,High,None (ongoing access),Low,Depends on school subscription,School-provided access,Low,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,None,True,Professional
JASON Student STEM Competitions,"National competitions where students apply JASON curriculum learning to solve challenges. Students submit project entries, videos, or designs demonstrating scientific understanding and innovation. Competitions aligned with JASON expedition themes and engineering challenges. Recognition and prizes for outstanding student work.",https://www.jason.org/student-programs/,JASON Learning,STEM Program,"Science, Engineering, Technology, Innovation",4-12,Free to enter,Online submission,Project development (varies),Basic,Medium,Annual competition deadlines,Low,N/A,None,Low,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
JASON Teacher Training and Professional Development,"Professional development for educators implementing JASON curriculum. While targeting teachers, enhances quality of STEM instruction benefiting students. Training covers inquiry-based learning, digital platform use, and integration strategies. Improved teaching leads to better student engagement and learning outcomes in science and engineering.",https://www.jason.org/programs/,JASON Learning,STEM Program,"STEM Education, Inquiry-based Learning",Teacher (benefits K-12 students),Included with school subscription,Online workshops,Ongoing professional development,None,High,None (ongoing offerings),None,N/A,None,None,Free,Equitable STEM education practices,True,True,High,True,False,High-speed-required,National,None,False,Professional
JASON Elementary STEM Program,"Age-appropriate STEM curriculum for elementary students (K-5). Hands-on activities and digital content introduce scientific concepts through exploration and discovery. Topics include life science, physical science, earth science, and engineering. Builds foundation for future STEM learning with engaging, interactive lessons.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Science, Engineering, Technology, Nature",K-5,School subscription required,Classroom and online,Integrated into science curriculum,None,High,None (ongoing access),Low,Depends on school subscription,School-provided access,None,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,None,True,Professional
JASON Middle School STEM Curriculum,"Comprehensive middle school science program (6-8) featuring interdisciplinary STEM content. Students engage with life science, physical science, earth/space science, and engineering design. Real-world applications and career connections make science relevant. Digital labs and hands-on investigations develop scientific thinking and 21st-century skills.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Science, Engineering, Technology, Data Analysis",6-8,School subscription required,Classroom and online,Full-year science curriculum,None,High,None (ongoing access),Low,Depends on school subscription,School-provided access,None,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,None,True,Professional
JASON High School STEM Resources,"Advanced STEM content and career exploration for high school students (9-12). In-depth scientific content, engineering projects, and research-based learning. Career videos feature scientists and engineers in diverse fields. Prepares students for college STEM programs and careers through rigorous, engaging curriculum.",https://www.jason.org/programs/,JASON Learning,STEM Program,"Science, Engineering, Technology, Research Methods, Career Preparation",9-12,School subscription required,Classroom and online,Supplemental curriculum resources,Basic,High,None (ongoing access),Low,Depends on school subscription,School-provided access,None,Free,JASON equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,None,True,Professional
JASON Family STEM Engagement Activities,"At-home science activities and resources for families to explore STEM together. Free activities extend classroom learning to home environment. Parents and students conduct experiments, explore nature, and learn about science careers. Builds family engagement in STEM education and supports student learning outside school.",https://www.jason.org/,JASON Learning,STEM Program,"Science, Engineering, Family Education",K-12,Free,Home-based,Flexible family activities,None,Low,None (ongoing access),None,N/A,None,Low,Free,JASON equity and inclusion initiatives,True,True,High,True,False,Basic,National,High,False,None
