name,original,enhanced,original_words,enhanced_words
Discover Chemistry,"Explore the interesting world of science with articles, videos and more.","Explore the interesting world of science with articles, videos and more. This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",11,35
Student Programs & Resources,Student Programs & Resources,"Student Programs & Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",4,28
High School Chemistry Student Programs and Resources,High School Chemistry Student Programs and Resources,"High School Chemistry Student Programs and Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available school-based. Prerequisites: Basic level.",7,31
National Chemistry Week 2025The Hidden Life of Spices,National Chemistry Week 2025The Hidden Life of Spices,"National Chemistry Week 2025The Hidden Life of Spices This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",8,32
Celebrating Chemistryin Print,Celebrating Chemistryin Print,"Celebrating Chemistryin Print This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",3,27
Past Issues ofCelebrating Chemistry,Past Issues ofCelebrating Chemistry,"Past Issues ofCelebrating Chemistry This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",4,28
National Chemistry Week Editions,National Chemistry Week Editions,"National Chemistry Week Editions This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",4,28
Brilliant.org Pre-Calculus,"Bridge to calculus covering functions, trigonometry, exponentials, and logarithms. Interactive graphs and visualizations. Develop mathematical reasoning and problem-solving skills. Preparation for AP Calculus or college mathematics.","Bridge to calculus covering functions, trigonometry, exponentials, and logarithms. Interactive graphs and visualizations. Develop mathematical reasoning and problem-solving skills. Preparation for AP Calculus or college mathematics. This Online Course focuses on Mathematics and serves grade 10-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Medium level.",26,48
Brilliant.org Calculus,"Interactive calculus course teaching limits, derivatives, and integrals through visual problems. Build calculus intuition with interactive explorations. Applications to physics, engineering, and optimization. Comprehensive coverage of single-variable calculus.","Interactive calculus course teaching limits, derivatives, and integrals through visual problems. Build calculus intuition with interactive explorations. Applications to physics, engineering, and optimization. Comprehensive coverage of single-variable calculus. This Online Course focuses on Mathematics, Calculus and serves grade 11-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: High level.",28,51
Brilliant.org Computer Science Fundamentals,"Introduction to computer science through interactive puzzles and challenges. Learn algorithms, data structures, and computational thinking. No coding required initially. Visual approach to CS concepts. Great foundation for programming.","Introduction to computer science through interactive puzzles and challenges. Learn algorithms, data structures, and computational thinking. No coding required initially. Visual approach to CS concepts. Great foundation for programming. This Online Course focuses on Computer Science and serves grade 8-12 students. The program requires Self-paced commitment, free, available online.",29,49
Brilliant.org Data Structures and Algorithms,"Advanced computer science covering arrays, trees, graphs, sorting, and searching. Interactive visualizations of algorithms. Problem-solving focus for competitive programming and interviews. Challenging course for motivated students.","Advanced computer science covering arrays, trees, graphs, sorting, and searching. Interactive visualizations of algorithms. Problem-solving focus for competitive programming and interviews. Challenging course for motivated students. This Online Course focuses on Computer Science, Algorithms and serves grade 10-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Medium level.",26,50
Brilliant.org Physics Fundamentals,"Interactive physics covering motion, forces, energy, and momentum. Visual simulations and interactive experiments. Build physics intuition through problem-solving. Algebra-based mechanics for high school students.","Interactive physics covering motion, forces, energy, and momentum. Visual simulations and interactive experiments. Build physics intuition through problem-solving. Algebra-based mechanics for high school students. This Online Course focuses on Physics and serves grade 9-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Basic level.",24,46
Brilliant.org Electricity and Magnetism,"Explore electromagnetism through interactive problems. Learn circuits, fields, and electromagnetic waves. Visual approach to complex concepts. Great for AP Physics preparation. Applications to technology and engineering.","Explore electromagnetism through interactive problems. Learn circuits, fields, and electromagnetic waves. Visual approach to complex concepts. Great for AP Physics preparation. Applications to technology and engineering. This Online Course focuses on Physics, Electricity and serves grade 10-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Medium level.",26,49
