name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
NYLF Medicine,"Nine-day leadership development program exploring medical careers and healthcare systems. Students participate in hands-on medical simulations, interact with healthcare professionals, visit medical facilities, and develop leadership skills. Learn about various medical specialties, healthcare ethics, and patient care. Offered in multiple cities nationwide.",https://www.nylf.org/programs/medicine,National Youth Leadership Forum,Leadership Program,"Medicine, Health Sciences, Biology",10-12,3200,Regional,9 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF Engineering,"Multi-day engineering career exploration and leadership program. Students work on engineering challenges, meet professional engineers, visit engineering firms and labs, and explore various engineering disciplines. Includes team projects, design competitions, and exposure to cutting-edge technology. Develops technical and leadership skills.",https://www.nylf.org/programs/engineering,National Youth Leadership Forum,Leadership Program,"Engineering, Technology, Design",10-12,2800,Regional,6 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF Cybersecurity,"Intensive cybersecurity leadership program teaching network security, ethical hacking, threat assessment, and digital forensics. Students learn from cybersecurity professionals, participate in capture-the-flag competitions, and explore career pathways in cybersecurity. Covers technical skills and leadership development. Offered at select locations.",https://www.nylf.org/programs/cybersecurity,National Youth Leadership Forum,Leadership Program,"Cybersecurity, Computer Science, Information Technology",10-12,2900,Regional,6 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF Advanced Medicine & Health Care,"Advanced medical leadership program for students serious about healthcare careers. Deep dive into medical specialties, surgical simulations, patient diagnosis, and healthcare leadership. Meet physicians, surgeons, and healthcare administrators. Includes hospital visits, medical ethics discussions, and career planning sessions.",https://www.nylf.org/,National Youth Leadership Forum,Career Exploration Program,"Medicine, Health Sciences, Healthcare Administration",10-12,3500,Regional,10 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF Explore STEM,"Broad STEM career exploration program exposing students to multiple STEM fields including engineering, technology, medicine, and research. Students meet professionals, visit companies and labs, participate in hands-on activities, and develop leadership skills. Ideal for students exploring STEM career options.",https://www.nylf.org/,National Youth Leadership Forum,Career Exploration Program,"Engineering, Technology, Medicine, Science",10-12,2700,Regional,6 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF Pathways to STEM,"Leadership program connecting students with STEM professionals and academic pathways. Learn about STEM college programs, careers, and opportunities. Includes college planning, resume building, and networking sessions. Meet successful STEM professionals and learn about their career journeys. Emphasis on underrepresented students in STEM.",https://www.nylf.org/,National Youth Leadership Forum,Leadership Program,"STEM, Engineering, Science, Technology",10-12,2500,Regional,5 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,True,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF Biomedical Science,"Program exploring intersection of medicine, biology, and technology. Students learn about biomedical research, biotechnology, genetic engineering, and medical innovations. Includes laboratory work, research presentations, and meetings with biomedical scientists. Covers career pathways in biomedical sciences.",https://www.nylf.org/,National Youth Leadership Forum,Career Exploration Program,"Biotechnology, Biomedical Science, Biology, Medicine",10-12,3000,Regional,7 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF Technology & Innovation,"Leadership program focused on emerging technologies and innovation. Explore artificial intelligence, robotics, software development, and tech entrepreneurship. Meet technology leaders, visit tech companies, and work on innovation projects. Learn about technology career pathways and leadership in tech industry.",https://www.nylf.org/,National Youth Leadership Forum,Career Exploration Program,"Technology, Computer Science, Robotics, AI",10-12,2900,Regional,6 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF National Security,"Program exploring careers in national security, intelligence, and defense technology. Learn about cybersecurity, intelligence analysis, defense systems, and national security policy. Meet professionals from defense and intelligence agencies. Includes leadership training and ethical discussions. Selective program.",https://www.nylf.org/,National Youth Leadership Forum,Leadership Program,"Cybersecurity, Technology, Defense Technology",10-12,3100,Regional,6 days,High,High,Check NYLF website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional
NYLF Women in STEM Leadership,"Leadership program specifically designed for young women interested in STEM careers. Address challenges women face in STEM, meet successful women in STEM fields, develop leadership confidence, and explore various STEM careers. Includes mentorship, networking, and skill-building workshops. Empowering program.",https://www.nylf.org/,National Youth Leadership Forum,Leadership Program,"Engineering, Technology, Science, Mathematics",10-12,2600,Regional,5 days,Medium,High,Check NYLF website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,Basic,National,Required,True,Professional
