name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Zearn Math - Kindergarten Curriculum,"Free comprehensive kindergarten math curriculum aligned to Eureka Math/EngageNY. Digital lessons with interactive activities, print materials, and independent learning support. Topics include counting, addition, subtraction, shapes, and measurement.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,Mathematics,K,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Grade 1 Curriculum,"Complete first grade math curriculum covering addition and subtraction within 20, place value, measurement, time, and geometry. Digital and printable lessons with visual models and word problems.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,Mathematics,1,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Grade 2 Curriculum,"Second grade math with focus on addition and subtraction within 100, place value to 1000, measurement, data, and geometry. Standards-aligned digital and print lessons.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,Mathematics,2,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Grade 3 Curriculum,"Third grade curriculum covering multiplication and division, fractions, area and perimeter, and time. Conceptual understanding with digital manipulatives and problem-solving practice.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,Mathematics,3,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Grade 4 Curriculum,"Fourth grade math including multi-digit operations, fraction operations, decimal notation, angle measurement, and geometric shapes. Rigorous problem-solving with visual supports.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,Mathematics,4,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Grade 5 Curriculum,"Fifth grade curriculum with decimal operations, fraction division, volume, coordinate planes, and algebraic thinking. Prepares students for middle school mathematics.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,Mathematics,5,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Grade 6 Curriculum,"Middle school math covering ratios, rates, negative numbers, algebraic expressions, equations, area, surface area, and statistics. Full year of standards-aligned instruction.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,"Mathematics, Algebra",6,Free,Online,Self-paced,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Grade 7 Curriculum,"Seventh grade mathematics including proportional relationships, operations with rational numbers, linear equations, geometric constructions, and probability. College-preparatory content.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,"Mathematics, Algebra, Geometry",7,Free,Online,Self-paced,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Grade 8 Curriculum,"Eighth grade curriculum preparing for high school algebra. Topics include transformations, linear relationships, systems of equations, functions, Pythagorean theorem, and bivariate data.",https://www.zearn.org/math-curriculum,Zearn Math,Learning Platform,"Mathematics, Algebra, Geometry",8,Free,Online,Self-paced,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Zearn Math - Family Resources,"Free resources for families to support math learning at home. Includes parent guides, progress tracking, tips for helping with homework, and understanding math concepts taught in Zearn.",https://www.zearn.org/families,Zearn Math,Learning Platform,"Mathematics, Family Education",K-8,Free,Online,Variable,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,High,False,Parent
Zearn Math - Independent Learning,"Self-directed learning platform allowing students to work through math curriculum independently at home. Automatic grading, hints, and immediate feedback support autonomous learning.",https://www.zearn.org/,Zearn Math,Learning Platform,Mathematics,K-8,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,Low,False,None
Zearn Math - Teacher Dashboard,"Free teacher tools for monitoring student progress, assigning lessons, and tracking mastery. Data-driven insights to support differentiated instruction in math.",https://www.zearn.org/,Zearn Math,Learning Platform,"Mathematics, Education",K-8,Free,Online,Variable,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,False,Teacher
