name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Art of Problem Solving (AOPS) - Alcumus,"Free adaptive online problem-solving system for math students. Provides unlimited practice problems that adjust difficulty based on performance. Covers algebra, geometry, number theory, and more. Tracks progress and awards achievements.",https://artofproblemsolving.com/alcumus,Art of Problem Solving,Program,"Mathematics, Problem Solving, Logic",6-12,Free,Virtual,"Self-paced, flexible hours",Beginner-Advanced,Medium,No deadline - ongoing access,None,N/A,No,None,Free,False,True,True,Low,True,No,High,International,No,Low,Low
MATHCOUNTS Competition Series,"National middle school mathematics competition with school, chapter, state, and national levels. Includes individual and team rounds testing problem-solving and computational skills. Free to participate with school registration.",https://www.mathcounts.org/programs/competition-series,MATHCOUNTS,Competition,"Mathematics, Problem Solving",6-8,Free with school sponsorship,In-Person,"School year preparation, competition days",Intermediate-Advanced,High,December 1 for registration,Low,"School-based, materials provided",No,Low,Free,False,True,True,Medium,True,Yes,Low,National,No,High,Medium
American Mathematics Competitions (AMC 8/10/12),"Series of mathematics competitions for middle and high school students. AMC 8 for grades 8 and below, AMC 10/12 for high school. Gateway to AIME and USA Math Olympiad. Annual competitions testing mathematical problem-solving.",https://www.maa.org/math-competitions/amc-810-12,Mathematical Association of America,Competition,"Mathematics, Problem Solving, Logic",6-12,School registration fee ($20-$60 per student),In-Person,75-150 minutes exam,Intermediate-Advanced,Low,November annually for registration,Low,Fee waivers available,Yes,Low,$50-$100,False,True,False,Low,True,Yes,Low,National,No,Low,None
USACO - USA Computing Olympiad,Free online computer programming competition with monthly contests throughout school year. Four divisions from Bronze to Platinum. Students solve algorithmic problems using programming. Top performers advance to training camp.,http://www.usaco.org/,USA Computing Olympiad,Competition,"Computer Science, Programming, Algorithms",6-12,Free,Virtual,"4-5 hour contests, monthly",Intermediate-Advanced,Low,Monthly contest windows,None,N/A,No,None,Free,False,True,True,Low,True,No,High,National,No,Medium,Low
Science Olympiad,"National STEM competition with 23 team events covering all science disciplines. Includes lab practicals, building events, and written tests. Competitions at regional, state, and national levels. Year-long preparation.",https://www.soinc.org/,Science Olympiad,Competition,"Biology, Chemistry, Physics, Earth Science, Engineering, Technology",6-12,$60-$200 per team,In-Person,"School year preparation, competition weekends",Intermediate-Advanced,High,"Fall registration, spring competitions",Medium,Some fee waivers available,Yes,Medium,$100-$500,False,True,False,Medium,Conditional,Yes,Low,National,No,High,High
Khan Academy Math Challenges,Free weekly math challenges for students of all levels. Problems range from elementary to advanced mathematics. Automated grading and explanations. Students earn points and badges for participation.,https://www.khanacademy.org/math,Khan Academy,Program,"Mathematics, All Topics",K-12,Free,Virtual,"Self-paced, flexible",Beginner-Advanced,Medium,No deadline - ongoing,None,N/A,No,None,Free,False,True,True,Medium,True,No,High,International,No,Low,None
Physics Bowl,"International high school physics competition with 40 multiple-choice questions. Division 1 for grades 10 and below, Division 2 for grades 11-12. Tests conceptual understanding and problem-solving in physics.",https://www.aapt.org/physicsbowl/,American Association of Physics Teachers,Competition,"Physics, Problem Solving",9-12,$25-$50 per student,In-Person,45 minutes exam,Intermediate-Advanced,Low,March annually,Low,Limited waivers,Yes,Low,$50-$100,False,True,False,Low,True,Yes,Low,International,No,Low,None
Codeforces - Competitive Programming Platform,Free online competitive programming platform with regular contests (2-3 per week). Rating system tracks progress. Problems range from beginner to advanced. Large community with editorials and discussions.,https://codeforces.com/,Codeforces,Competition,"Computer Science, Programming, Algorithms, Data Structures",9-12,Free,Virtual,2 hours per contest,Intermediate-Advanced,Low,Multiple contests weekly,None,N/A,No,None,Free,False,True,True,Low,True,No,High,International,No,Medium,Low
National Science Bowl,"Academic competition testing knowledge in biology, chemistry, physics, earth science, and mathematics. Fast-paced buzzer format with regional and national competitions. Teams of four students compete.",https://science.osti.gov/wdts/nsb,U.S. Department of Energy,Competition,"Biology, Chemistry, Physics, Earth Science, Mathematics",6-12,Free,In-Person,"School year preparation, competition day",Advanced,High,October registration,Low,Travel support for nationals,Yes,Low,Free,False,True,True,Medium,Conditional,Yes,Low,National,No,High,Medium
Brilliant.org - Problem Solving Courses and Challenges,"Interactive online learning platform with daily challenges in math, science, and computer science. Courses cover wide range from algebra to quantum computing. Free tier available with premium subscription option.",https://brilliant.org/,Brilliant,Program,"Mathematics, Physics, Computer Science, Data Science",8-12,"Free tier, $25/month premium",Virtual,"Self-paced, flexible",Intermediate-Advanced,Medium,No deadline - ongoing,Low,Free tier available,No,None,Free to $100-$500,False,True,True,Low,True,No,High,International,No,Low,None
