name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
CMU Robotics Academy - EV3 Intro to Programming,"Introduction to robotics programming using LEGO MINDSTORMS EV3. Learn sensors, motors, programming logic, and problem-solving. Free curriculum with lesson plans, videos, and student activities. No prior experience required.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Computer Science, Engineering, Programming",6-12,Free,Classroom,12-15 weeks,None,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - EV3 Advanced Programming,"Advanced EV3 programming covering data structures, advanced sensors, multi-threading, and complex algorithms. Build sophisticated autonomous robots. Free curriculum for experienced students.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Computer Science, Advanced Programming, Algorithms",8-12,Free,Classroom,12-15 weeks,Medium,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - VEX IQ Curriculum,Complete VEX IQ robotics curriculum for elementary and middle school. Build and program VEX IQ robots through project-based challenges. Includes engineering notebooks and competition preparation.,https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Engineering, Programming, Design",4-8,Free,Classroom,15-20 weeks,None,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - VEX V5 Curriculum,"High school VEX V5 robotics curriculum with advanced C++ programming. Design, build, and program competitive robots. Free comprehensive curriculum with teacher guides and student workbooks.",https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Computer Science, C++, Engineering Design",9-12,Free,Classroom,20-25 weeks,Low,High,Rolling,High,Limited,Optional,Equipment,$1000+,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Computer Science 2 (CS2),"Introductory computer science curriculum using robotics as teaching platform. Programming fundamentals, algorithms, data structures, and computational thinking. Language-agnostic concepts with robot implementation.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Computer Science, Programming, Algorithms, Computational Thinking",6-12,Free,Classroom,18-25 weeks,None,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Robotics Engineering 1,"Foundational robotics engineering curriculum covering mechanical design, sensors, actuators, and control systems. Hands-on projects building functional robots. Engineering design process emphasized.",https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Engineering, Mechanical Design, Electronics",9-12,Free,Classroom,18-20 weeks,None,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Robotics Engineering 2,"Advanced robotics engineering with kinematics, dynamics, path planning, and computer vision. Design complex autonomous systems. Prepares students for collegiate-level robotics.",https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Advanced Engineering, Computer Vision, Kinematics",10-12,Free,Classroom,18-20 weeks,High,High,Rolling,High,Limited,Optional,Equipment,$1000+,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Arduino Robotics,"Learn robotics and electronics using Arduino platform. Build sensors, actuators, and complete robot systems from scratch. Programming in C/C++ with hardware integration.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Electronics, Arduino, Programming, Engineering",8-12,Free,Classroom,12-15 weeks,Low,High,Rolling,Low,Limited,Optional,Equipment,$100-$500,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Python for Robotics,"Learn Python programming through robotics applications. Variables, loops, functions, and object-oriented programming with robot control. Modern language for versatile applications.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Computer Science, Python, Robotics, Programming",7-12,Free,Classroom,15-18 weeks,None,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Intro to AI and Machine Learning,"Introduction to artificial intelligence and machine learning using robotics. Teach robots to learn from data, recognize patterns, and make decisions. Accessible AI concepts for high schoolers.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Artificial Intelligence, Machine Learning, Robotics, Computer Science",9-12,Free,Classroom,10-12 weeks,Medium,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - LEGO WeDo Elementary Robotics,"Elementary robotics curriculum using LEGO WeDo 2.0. Introduce young students to engineering, programming, and scientific inquiry through age-appropriate projects. Visual block programming.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Engineering, Science, Elementary Programming",K-4,Free,Classroom,8-12 weeks,None,High,Rolling,Low,Limited,Optional,Equipment,$100-$500,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - CS2N (Computer Science Student Network),"Free online community and learning platform for K-12 computer science and robotics. Access curriculum, competitions, badges, and connect with global student network. Track progress and achievements.",https://www.cs2n.org/,Carnegie Mellon Robotics Academy,Program,"Computer Science, Robotics, Online Learning, Community",K-12,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Teacher
CMU Robotics Academy - Robotics Fundamentals,"Foundational robotics course covering robot anatomy, sensors, motors, programming basics, and engineering design. Platform-agnostic concepts applicable to any robotics system. Middle school entry point.",https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Engineering, Programming, Design",6-9,Free,Classroom,10-12 weeks,None,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Autonomous Vehicles,"Explore self-driving car technology through robotics. Learn sensors for navigation, path planning algorithms, obstacle avoidance, and decision-making systems. Current real-world applications.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Autonomous Systems, Computer Science, Engineering",10-12,Free,Classroom,8-10 weeks,Medium,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Robot Soccer,"Build and program robots to play autonomous soccer. Learn team coordination, strategy, real-time decision making, and competitive robotics. Engaging project-based curriculum.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Programming, Engineering, Strategy",7-12,Free,Classroom,10-12 weeks,Low,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Robotics Competitions Prep,"Prepare teams for robotics competitions including FIRST, VEX, and RoboCup. Competition strategy, robot optimization, team management, and documentation. Supplemental to core curriculum.",https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Competition, Engineering, Strategy",6-12,Free,Classroom,8-10 weeks,Medium,High,Rolling,High,Limited,Optional,Equipment-Travel,$1000+,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Computational Thinking Through Robotics,"Develop computational thinking skills using robots as learning tools. Problem decomposition, pattern recognition, abstraction, and algorithm design. Foundations for computer science.",https://www.cs2n.org/curriculum,Carnegie Mellon Robotics Academy,Curriculum,"Computational Thinking, Computer Science, Robotics",5-8,Free,Classroom,10-12 weeks,None,High,Rolling,Medium,Limited,Optional,Equipment,$500-$1000,True,True,True,High,True,False,Basic,International,Low,True,Teacher
CMU Robotics Academy - Teacher Professional Development,"Free professional development for educators teaching robotics and computer science. Online and in-person training, curriculum implementation support, and ongoing educator community.",https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Program,"Teacher Training, Robotics Education, Professional Development",K-12,Free,Online,Variable,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,Professional
CMU Robotics Academy - Robotics Challenges and Badges,"Online robotics challenges and digital badges through CS2N platform. Students complete projects, earn achievements, and demonstrate skills. Motivational system integrated with curriculum.",https://www.cs2n.org/,Carnegie Mellon Robotics Academy,Program,"Robotics, Computer Science, Gamification, Achievement",K-12,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,None
