name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Raising Student Voice - National STEM Competition,Annual national STEM competition for K-12 students to present innovative solutions to real-world problems. Students work in teams to develop projects addressing community challenges using STEM principles.,https://www.raisingstudentvoice.com/competitions/national-stem,Raising Student Voice,Competition,"Science, Technology, Engineering, Mathematics, Innovation",K-12,Free,Hybrid,3-6 months project development,Beginner,Moderate,Rolling deadlines by region,None,N/A,No,Low,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
Raising Student Voice - Youth Innovation Challenge,"Competition focused on student-led innovation projects addressing climate change, sustainability, and environmental issues. Open to middle and high school students nationwide.",https://www.raisingstudentvoice.com/competitions/innovation-challenge,Raising Student Voice,Competition,"Environmental Science, Engineering, Sustainability, Technology",6-12,Free,Online,2-4 months,Beginner-Intermediate,High,March 15 annually,None,N/A,No,None,Free,True,True,True,High,True,No,High,National,Optional,High,Moderate
Raising Student Voice - Elementary STEM Showcase,"Regional STEM showcase competition designed specifically for elementary students (K-5) to present science experiments, engineering projects, and mathematical discoveries.",https://www.raisingstudentvoice.com/competitions/elementary-showcase,Raising Student Voice,Competition,"Science, Engineering, Mathematics, Technology",K-5,Free,Regional,1-2 months,Beginner,High,April 30 annually,None,N/A,No,Low,Free,True,True,True,High,True,Yes,Low,Regional,Encouraged,Moderate,High
Raising Student Voice - Coding Championship,"National coding competition for middle and high school students featuring algorithm challenges, app development, and web design categories. All skill levels welcome.",https://www.raisingstudentvoice.com/competitions/coding-championship,Raising Student Voice,Competition,"Computer Science, Programming, Software Development, Web Design",6-12,Free,Online,1-3 months,Beginner-Advanced,Moderate,February 28 annually,None,N/A,No,None,Free,True,True,True,Moderate,True,No,High,National,No,High,Moderate
Raising Student Voice - Robotics Design Competition,"Team-based robotics competition where students design, build, and program robots to complete specific challenges. Includes beginner and advanced divisions.",https://www.raisingstudentvoice.com/competitions/robotics,Raising Student Voice,Competition,"Robotics, Engineering, Programming, Design",4-12,Free,Hybrid,3-5 months,Beginner-Intermediate,High,January 15 annually,Low,Equipment grants available,Yes,Moderate,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
Raising Student Voice - Women in STEM Competition,Competition specifically designed to encourage and celebrate female students in STEM fields. Projects can span all STEM disciplines with focus on real-world applications.,https://www.raisingstudentvoice.com/competitions/women-stem,Raising Student Voice,Competition,All STEM Fields,6-12,Free,Hybrid,2-4 months,Beginner-Advanced,High,May 1 annually,None,N/A,No,Low,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
Raising Student Voice - Math Olympiad Challenge,"Multi-level mathematics competition featuring problem-solving challenges, mathematical modeling, and applied mathematics. Separate divisions for elementary, middle, and high school.",https://www.raisingstudentvoice.com/competitions/math-olympiad,Raising Student Voice,Competition,"Mathematics, Applied Math, Problem Solving",3-12,Free,Online,1-2 months preparation,Intermediate-Advanced,Moderate,December 1 annually,None,N/A,No,None,Free,True,True,True,Moderate,True,No,High,National,No,Moderate,Low
Raising Student Voice - Science Fair Excellence,Traditional science fair competition with modern virtual presentation options. Students conduct original research and present findings across all science disciplines.,https://www.raisingstudentvoice.com/competitions/science-fair,Raising Student Voice,Competition,"Biology, Chemistry, Physics, Environmental Science, Earth Science",6-12,Free,Hybrid,3-6 months,Beginner-Advanced,High,March 1 annually,Low,Materials grants available,Yes,Moderate,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
Raising Student Voice - Engineering Design Challenge,"Annual engineering design competition where students develop solutions to real-world engineering problems. Includes civil, mechanical, electrical, and environmental engineering categories.",https://www.raisingstudentvoice.com/competitions/engineering-design,Raising Student Voice,Competition,"Engineering, Design, Problem Solving, Applied Science",7-12,Free,Hybrid,3-5 months,Intermediate,High,April 15 annually,Low,Materials funding available,Yes,Moderate,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
Raising Student Voice - AI and Machine Learning Challenge,Competition focused on artificial intelligence and machine learning projects for high school students. Students develop AI models to solve real-world problems.,https://www.raisingstudentvoice.com/competitions/ai-ml,Raising Student Voice,Competition,"Artificial Intelligence, Machine Learning, Computer Science, Data Science",9-12,Free,Online,2-4 months,Intermediate-Advanced,Moderate,February 1 annually,None,N/A,No,None,Free,True,True,True,Moderate,True,No,High,National,No,High,Moderate
Raising Student Voice - Environmental Solutions Competition,"Competition challenging students to develop innovative solutions to environmental challenges including pollution, conservation, and climate change.",https://www.raisingstudentvoice.com/competitions/environmental,Raising Student Voice,Competition,"Environmental Science, Ecology, Sustainability, Engineering",6-12,Free,Hybrid,2-4 months,Beginner-Intermediate,High,June 1 annually,None,N/A,No,Low,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
Raising Student Voice - Data Science Challenge,Competition where students analyze real-world datasets to extract insights and create data visualizations. Appropriate for students learning statistics and data analysis.,https://www.raisingstudentvoice.com/competitions/data-science,Raising Student Voice,Competition,"Data Science, Statistics, Mathematics, Computer Science",8-12,Free,Online,1-3 months,Intermediate,Moderate,March 30 annually,None,N/A,No,None,Free,True,True,True,Moderate,True,No,High,National,No,Moderate,Moderate
Raising Student Voice - Biomedical Innovation Competition,"Competition focused on biomedical engineering and health sciences. Students develop medical devices, health technologies, or biological research projects.",https://www.raisingstudentvoice.com/competitions/biomedical,Raising Student Voice,Competition,"Biomedical Engineering, Biology, Health Sciences, Medical Technology",9-12,Free,Hybrid,3-6 months,Intermediate-Advanced,High,April 1 annually,Low,Materials grants available,Yes,Moderate,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
Raising Student Voice - Cybersecurity Challenge,"High school cybersecurity competition covering ethical hacking, network security, cryptography, and digital forensics. Beginner-friendly with advanced categories.",https://www.raisingstudentvoice.com/competitions/cybersecurity,Raising Student Voice,Competition,"Cybersecurity, Computer Science, Information Technology, Cryptography",9-12,Free,Online,1-2 months,Beginner-Advanced,Moderate,January 30 annually,None,N/A,No,None,Free,True,True,True,Moderate,True,No,High,National,No,High,Moderate
Raising Student Voice - Space and Astronomy Challenge,"Competition focused on space science, astronomy, and aerospace engineering. Students design missions, conduct astronomical observations, or build model rockets.",https://www.raisingstudentvoice.com/competitions/space-astronomy,Raising Student Voice,Competition,"Astronomy, Aerospace Engineering, Physics, Space Science",6-12,Free,Hybrid,2-4 months,Beginner-Intermediate,High,May 15 annually,Low,Equipment grants available,Yes,Moderate,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
Raising Student Voice - Mobile App Development Challenge,"Competition where students design and develop mobile applications addressing social issues, education, health, or community needs.",https://www.raisingstudentvoice.com/competitions/mobile-app,Raising Student Voice,Competition,"Mobile Development, Computer Science, Software Engineering, UI/UX Design",7-12,Free,Online,2-4 months,Intermediate,Moderate,February 15 annually,None,N/A,No,None,Free,True,True,True,Moderate,True,No,High,National,No,High,Moderate
Raising Student Voice - Chemistry Research Competition,"Competition for original chemistry research projects including organic chemistry, biochemistry, analytical chemistry, and materials science.",https://www.raisingstudentvoice.com/competitions/chemistry,Raising Student Voice,Competition,"Chemistry, Biochemistry, Materials Science, Analytical Chemistry",9-12,Free,Hybrid,3-6 months,Intermediate-Advanced,High,March 15 annually,Low,Lab materials grants available,Yes,Moderate,Free,True,True,True,High,Moderate,Optional,Moderate,National,Optional,High,High
Raising Student Voice - 3D Design and Printing Challenge,"Competition focused on 3D modeling and printing technology. Students design functional objects, artistic creations, or solutions to engineering problems.",https://www.raisingstudentvoice.com/competitions/3d-design,Raising Student Voice,Competition,"Design, Engineering, Technology, Manufacturing",6-12,Free,Hybrid,1-3 months,Beginner-Intermediate,Moderate,April 30 annually,Low,Printing materials available,Yes,Low,Free,True,True,True,High,True,Optional,Moderate,National,Optional,Moderate,Moderate
Raising Student Voice - Game Development Competition,Competition where students create educational or entertaining video games using various programming languages and game engines.,https://www.raisingstudentvoice.com/competitions/game-dev,Raising Student Voice,Competition,"Computer Science, Programming, Game Design, Graphics",7-12,Free,Online,2-4 months,Intermediate,Moderate,January 31 annually,None,N/A,No,None,Free,True,True,True,Moderate,True,No,High,National,No,High,Moderate
Raising Student Voice - Renewable Energy Challenge,"Competition focused on renewable energy solutions including solar, wind, hydroelectric, and innovative sustainable energy technologies.",https://www.raisingstudentvoice.com/competitions/renewable-energy,Raising Student Voice,Competition,"Renewable Energy, Engineering, Physics, Environmental Science",8-12,Free,Hybrid,3-5 months,Intermediate,High,May 1 annually,Low,Materials grants available,Yes,Moderate,Free,True,True,True,High,True,Optional,Moderate,National,Optional,High,High
