name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
STEM Excellence High School Scholarship,"Annual scholarship for high school students excelling in STEM fields. $2,500 award for students demonstrating outstanding achievement in science, technology, engineering, or mathematics.",https://www.scholarships.com/stem-excellence-hs,Scholarships.com,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Women in Technology High School Award,"Supporting female high school students pursuing technology careers. $3,000 scholarship for girls interested in computer science, software engineering, and IT fields.",https://www.scholarships.com/women-tech-hs,Scholarships.com,Scholarship,"Computer Science, Technology, Software Engineering",9-12,Free,Online,Variable (application),Variable,Low,April 15,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Engineering Future Leaders High School Scholarship,"$2,000 scholarship for high school students planning to pursue engineering degrees. Open to students in grades 10-12 with strong math and science backgrounds.",https://www.scholarships.com/engineering-leaders-hs,Scholarships.com,Scholarship,"Engineering, Mathematics, Physics",10-12,Free,Online,Variable (application),High,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Minority STEM Champions High School Scholarship,"$2,500 award for underrepresented minority students in STEM. Supporting African American, Hispanic, and Native American high school students pursuing science and engineering.",https://www.scholarships.com/minority-stem-hs,Scholarships.com,Scholarship,"Computer Science, Engineering, Mathematics, Science",9-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Computer Science Innovators High School Award,"Recognizing high school students innovating in computer science. $1,500 scholarship for students with programming projects, apps, or computer science achievements.",https://www.scholarships.com/cs-innovators-hs,Scholarships.com,Scholarship,"Computer Science, Software Development, Programming",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Mathematics Excellence High School Scholarship,"$2,000 award for high school students excelling in mathematics. For students with outstanding math grades and participation in math competitions.",https://www.scholarships.com/math-excellence-hs,Scholarships.com,Scholarship,"Mathematics, Statistics, Applied Math",9-12,Free,Online,Variable (application),High,Low,March 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Science Research High School Scholarship,"Supporting high school students conducting original scientific research. $3,000 award for students with science fair projects or research publications.",https://www.scholarships.com/science-research-hs,Scholarships.com,Scholarship,"Biology, Chemistry, Physics, Environmental Science",9-12,Free,Online,Variable (application),High,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
First Generation STEM High School Scholarship,"$2,500 scholarship for first-generation high school students in STEM. Supporting students whose parents did not complete college.",https://www.scholarships.com/first-gen-stem-hs,Scholarships.com,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Considered,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Robotics and Automation High School Award,"$1,500 scholarship for high school students in robotics. For students participating in robotics clubs, competitions, or building robotic systems.",https://www.scholarships.com/robotics-hs,Scholarships.com,Scholarship,"Robotics, Engineering, Computer Science",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Environmental Science High School Scholarship,"Supporting high school environmentalists. $2,000 award for students passionate about environmental conservation and sustainability.",https://www.scholarships.com/environmental-hs,Scholarships.com,Scholarship,"Environmental Science, Biology, Ecology",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Physics and Astronomy High School Award,"$2,500 scholarship for high school physics and astronomy enthusiasts. For students with strong physics grades and interest in space sciences.",https://www.scholarships.com/physics-hs,Scholarships.com,Scholarship,"Physics, Astronomy, Astrophysics",9-12,Free,Online,Variable (application),High,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Chemistry Achievement High School Scholarship,"Recognizing excellence in chemistry. $1,500 award for high school students with outstanding chemistry performance and lab skills.",https://www.scholarships.com/chemistry-hs,Scholarships.com,Scholarship,"Chemistry, Chemical Engineering, Biochemistry",9-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biomedical Science High School Scholarship,"$3,000 award for high school students interested in biomedical sciences. Supporting future healthcare researchers and medical scientists.",https://www.scholarships.com/biomedical-hs,Scholarships.com,Scholarship,"Biomedical Science, Biology, Chemistry",11-12,Free,Online,Variable (application),High,Low,April 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Cybersecurity High School Scholarship,"Supporting future cybersecurity professionals. $2,000 scholarship for high school students interested in information security and ethical hacking.",https://www.scholarships.com/cybersecurity-hs,Scholarships.com,Scholarship,"Cybersecurity, Computer Science, Information Technology",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Data Science and Analytics High School Award,"$1,500 scholarship for high school students exploring data science. For students with coding and statistical analysis skills.",https://www.scholarships.com/data-science-hs,Scholarships.com,Scholarship,"Data Science, Statistics, Computer Science",10-12,Free,Online,Variable (application),High,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Aerospace Engineering High School Scholarship,"Supporting aspiring aerospace engineers. $2,500 award for high school students passionate about aviation and space exploration.",https://www.scholarships.com/aerospace-hs,Scholarships.com,Scholarship,"Aerospace Engineering, Engineering, Physics",9-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Artificial Intelligence High School Scholarship,"$3,000 award for high school students exploring AI and machine learning. Supporting the next generation of AI researchers.",https://www.scholarships.com/ai-hs,Scholarships.com,Scholarship,"Artificial Intelligence, Computer Science, Mathematics",10-12,Free,Online,Variable (application),High,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biology Excellence High School Scholarship,"Recognizing outstanding biology students. $2,000 award for high school students with exceptional biology grades and lab work.",https://www.scholarships.com/biology-hs,Scholarships.com,Scholarship,"Biology, Life Sciences, Biotechnology",9-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Software Development High School Award,"$1,500 scholarship for high school programmers and developers. For students with coding portfolios or software projects.",https://www.scholarships.com/software-dev-hs,Scholarships.com,Scholarship,"Software Development, Computer Science, Programming",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Renewable Energy High School Scholarship,"Supporting clean energy advocates. $2,500 award for high school students passionate about renewable energy and sustainability.",https://www.scholarships.com/renewable-energy-hs,Scholarships.com,Scholarship,"Environmental Science, Engineering, Physics",9-12,Free,Online,Variable (application),Variable,Low,April 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Rural STEM Students High School Scholarship,"$2,000 scholarship specifically for rural high school students in STEM. Addressing STEM education gaps in rural communities.",https://www.scholarships.com/rural-stem-hs,Scholarships.com,Scholarship,"Computer Science, Engineering, Mathematics, Science",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Considered,None,Free,True,True,True,High,True,False,Required,Rural areas,Optional,False,None
Game Development High School Scholarship,"$1,500 award for high school game developers. For students creating video games, mobile apps, or interactive media.",https://www.scholarships.com/game-dev-hs,Scholarships.com,Scholarship,"Game Development, Computer Science, Software Engineering",9-12,Free,Online,Variable (application),Variable,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Mechanical Engineering High School Scholarship,"$2,000 scholarship for aspiring mechanical engineers. For high school students interested in design, manufacturing, and mechanics.",https://www.scholarships.com/mechanical-eng-hs,Scholarships.com,Scholarship,"Mechanical Engineering, Engineering, Physics",10-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
